,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
0,2019-04-07,桐　生,1,6.79,6.81,6.81,6.81,6.77,6.84,0.14,0.11,0.09,0.17,0.14,0.23,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,吉　本　　正　昭,廣　瀬　　真　也,沼　田　　克　彦,近　江　　翔　吾,原　田　　正　己,関　根　　彰　人,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,55.5,50.0,53.9,51.7,51.0,51.6
1,2019-04-07,戸　田,1,6.78,6.76,6.79,6.92,6.81,6.74,0.09,0.13,0.27,0.33,0.29,0.28,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,塩　田　　雄　一,内　田　　　　圭,原　　　　義　昭,橋谷田　　佳　織,瀬　川　　公　則,山　下　　夏　鈴,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,55.6,54.8,43.5,55.4,45.5
2,2019-04-07,江戸川,1,6.63,6.65,6.68,6.56,6.74,6.66,0.04,0.17,0.17,0.18,0.0,0.02,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,石　田　　貴　洋,中　島　　昂　章,池　田　　真　治,金　山　　立　樹,間　野　　兼　礼,岡　部　　大　輝,0.5,0.0,0.0,0.5,0.0,1.0,51.1,51.0,53.6,53.0,51.8,51.4
3,2019-04-07,平和島,1,6.88,6.84,6.95,6.8,6.97,6.89,0.1,0.04,0.09,0.04,0.17,0.04,1,2,3,4,5,6.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,齋　藤　　竜　次,萩　原　　善　行,松　本　　博　昭,泥　谷　　一　毅,若　林　　義　人,井　手　　良　太,-0.5,0.0,-0.5,-0.5,-0.5,0.0,51.3,49.0,53.3,55.4,56.0,51.0
4,2019-04-07,多摩川,1,6.82,6.83,6.78,6.84,6.86,6.77,0.09,0.11,0.03,0.02,0.03,0.06,1,2,4,3,5,6.0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,向　井　　美　鈴,河　相　　秀　行,森　　　　秋　光,滝　沢　　芳　行,長　尾　　京志郎,広　瀬　　聖　仁,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,45.5,50.5,55.3,51.1,52.1,52.6
5,2019-04-07,蒲　郡,1,6.73,6.82,6.83,6.8,6.81,6.8,0.19,0.15,0.08,0.18,0.15,0.21,1,4,3,2,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,黒　野　　元　基,杉　山　　勝　匡,中　北　　将　史,天　野　　　　誠,福　田　　　　理,佐々木　　大　河,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,50.0,51.5,53.1,55.1,51.0
6,2019-04-07,常　滑,1,6.72,6.74,6.81,6.75,6.79,6.71,0.12,0.11,0.1,0.09,0.06,0.06,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,河　村　　　　了,仲　谷　　颯　仁,飯　島　　昌　弘,新　田　　泰　章,中　島　　孝　平,荒　井　　翔　伍,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,50.5,51.9,51.9,51.0,52.7
7,2019-04-07,　津　,1,6.79,6.74,6.84,6.81,6.79,6.73,0.15,0.01,0.03,0.14,0.2,0.14,1,2,3,4,5,6.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,一　瀬　　　　明,本　部　　真　吾,尾　形　　栄　治,柾　田　　敏　行,武　藤　　直　志,宮　村　　勇　哉,-0.5,-0.5,-0.5,-0.5,0.0,2.0,51.3,55.7,53.6,53.0,56.1,54.4
8,2019-04-07,びわこ,1,6.76,6.7,6.75,6.79,6.83,6.76,0.06,0.05,0.07,0.22,0.17,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,山　本　　光　雄,鈴　木　　貴　司,本　吉　　正　樹,喜　井　　つかさ,大古場　　　　貴,佐　藤　　謙史朗,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.8,57.3,56.0,46.5,50.0,54.6
9,2019-04-07,児　島,1,6.77,6.75,6.78,6.78,6.79,6.79,0.23,0.21,0.16,0.14,0.19,0.01,1,2,3,4,5,6.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,里　岡　　右　貴,阪　本　　勇　介,宮　西　　真　昭,小　倉　　康　典,浦　上　　拓　也,木　下　　雄　介,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,52.8,53.4,52.6,51.9,52.3,51.4
10,2019-04-07,徳　山,1,6.98,6.99,7.01,7.06,7.0,6.97,0.25,0.24,0.43,0.24,0.16,0.15,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,水　野　　望　美,中　田　　夕　貴,加　藤　　　　綾,豊　田　　　　結,犬　童　　千　秋,山　本　　梨　菜,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,46.5,47.1,48.9,58.4,50.4,49.2
11,2019-04-07,下　関,1,6.82,6.81,6.8,6.8,6.85,6.81,0.1,0.08,0.01,0.02,0.01,0.02,1,2,3,4,5,6.0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,福　来　　　　剛,吉　永　　則　雄,野　中　　一　平,谷　村　　一　哉,今　村　　　　豊,武　田　　光　史,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,51.0,51.4,51.9,51.9,51.0,53.7
12,2019-04-07,福　岡,1,6.86,6.95,6.94,6.93,6.94,6.95,0.1,0.24,0.15,0.06,0.12,0.06,1,2,3,5,6,4.0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,今　泉　　友　吾,渡　邉　　　　健,妻　鳥　　晋　也,粟　田　　　　祥,澤　田　　尚　也,木　場　　悠　介,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,51.0,54.8,54.7,55.1,51.4,52.4
13,2019-04-07,唐　津,1,6.66,6.73,6.71,6.77,6.75,6.75,0.29,0.1,0.2,0.13,0.19,0.35,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,堀　本　　和　也,前　田　　健太郎,橋　本　　　　明,村　上　　祐　次,中　島　　浩　哉,山　崎　　鉄　平,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.5,53.3,53.3,54.1,55.9,51.5
