date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,flying_1,flying_2,flying_3,flying_4,flying_5,flying_6,late_1,late_2,late_3,late_4,late_5,late_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6
2019-05-15,桐　生,1,6.67,6.78,6.75,6.82,6.78,6.71,.19,.18,.12,.05,.12,0.08,1,2,3,5,4,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,渋　田　　治　代,蜂　須　　瑞　生,加　藤　　奈　月,金　子　　千　穂,竹　野　　未　華,深　尾　　巴　恵,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,48.1,46.5,54.6,47.6,49.4,46.0
2019-05-15,江戸川,1,6.86,6.76,6.69,6.87,6.78,6.83,.01,.23,.18,.02,.00,0.13,1,2,3,4,5,6.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,松　井　　洪　弥,池　永　　　　太,渡　邉　　雄　朗,萩　原　　秀　人,妻　鳥　　晋　也,飯　山　　　　泰,0.5,0.5,1.0,0.0,0.5,0.5,52.7,51.6,51.2,53.0,53.3,51.1
2019-05-15,多摩川,1,6.76,6.75,6.79,6.72,6.81,6.74,.07,.05,.13,.06,.07,0.16,1,2,4,3,6,5.0,0,0,0,1,0,0,0.0,0.0,0.0,,0.0,0.0,小　川　　知　行,金　子　　順　一,木　下　　陽　介,藤　原　　菜　希,生　田　　波美音,瀬　川　　公　則,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.1,52.3,53.4,47.4,47.2,53.2
2019-05-15,　津　,1,6.75,6.75,6.69,6.71,6.68,6.74,.11,.01,.10,.05,.01,0.1,1,2,3,4,5,6.0,0,0,0,1,0,0,0.0,0.0,0.0,,0.0,0.0,村　松　　修　二,松　尾　　　　拓,茅　原　　悠　紀,西　野　　雄　貴,春　園　　功　太,仲　谷　　颯　仁,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.7,49.0,54.1,51.0,51.0,50.0
2019-05-15,三　国,1,6.67,6.80,6.76,6.68,6.81,6.85,.01,.07,.14,.12,.51,0.08,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,野　添　　貴　裕,塚　原　　武　之,平　瀬　　城　啓,角　山　　雄　哉,金　光　　佑　治,村　上　　彰　一,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.9,53.3,52.0,53.0,51.7,55.6
2019-05-15,住之江,1,6.91,6.94,6.89,6.94,6.87,6.95,.01,.03,.13,.07,.07,0.25,1,2,3,6,4,5.0,1,1,0,1,1,0,,,0.0,,,0.0,石　川　　哲　秀,池　田　　浩　美,富　澤　　祐　作,長谷川　　親　王,佐々木　　完　太,樫　葉　　次　郎,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.3,51.7,52.7,57.3,50.5,56.2
2019-05-15,児　島,1,6.77,6.78,6.76,6.79,6.80,6.81,.39,.29,.30,.31,.26,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,高　橋　　悠　花,千　葉　　真　弥,渡　邉　　真奈美,篠　木　　亜衣花,古　川　　　　舞,山　下　　夏　鈴,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,48.3,49.1,46.0,47.9,46.0,45.5
2019-05-15,下　関,1,6.83,6.86,6.80,6.77,6.78,6.82,.01,.09,.15,.53,.17,0.12,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,三　好　　　　一,鈴　木　　貴　司,佐　竹　　太　一,岡　本　　翔太郎,堤　　　　健　一,寺　島　　吉　彦,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,54.1,56.4,51.0,50.0,51.0,49.5
2019-05-15,福　岡,1,6.87,6.88,6.87,6.84,6.87,6.9,.25,.12,.05,.10,.05,0.1,1,2,3,4,5,6.0,0,0,1,1,0,0,0.0,0.0,,,0.0,0.0,白　井　　友　晴,吉　川　　勇　作,山　崎　　昭　生,藤　山　　翔　大,山　来　　和　人,中　嶋　　達　也,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,51.5,51.0,51.0,53.3,52.3
2019-05-15,唐　津,1,6.73,6.76,6.79,6.69,6.78,6.76,.04,.03,.04,.03,.16,0.21,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,吉　村　　正　明,川　崎　　公　靖,金　子　　猛　志,安河内　　　　健,國　弘　　翔　平,一　色　　雅　昭,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.0,51.0,56.6,54.7,49.0,53.2
2019-05-15,桐　生,2,6.72,6.83,6.82,6.78,6.83,6.75,.05,.01,.09,.08,.11,0.01,1,2,3,4,6,5.0,1,0,0,0,0,1,,0.0,0.0,0.0,0.0,,杉　江　　浩　明,内　山　　文　典,市　川　　　　猛,小　林　　一　樹,秋　田　　健太郎,太　田　　克　哉,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.5,53.1,51.0,56.6,60.5,50.5
2019-05-15,江戸川,2,6.82,6.78,6.88,6.96,7.03,6.87,.12,.05,.07,.01,.16,0.14,1,2,3,4,5,6.0,1,1,1,1,0,0,,,,,0.0,0.0,重　木　　輝　彦,若　林　　　　将,榎　　　　幸　司,三　角　　哲　男,東　本　　勝　利,室　田　　泰　史,0.5,0.5,0.5,0.5,0.0,0.0,49.5,51.8,51.5,51.4,53.1,54.5
2019-05-15,多摩川,2,6.76,6.82,6.75,6.81,6.85,6.94,.08,.04,.09,.17,.11,0.03,1,5,6,2,3,4.0,1,1,0,0,0,1,,,0.0,0.0,0.0,,山　田　　和　佐,喜多須　　杏　奈,羽　野　　直　也,岡　部　　大　輝,梶　野　　学　志,原　田　　秀　弥,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,54.5,48.9,51.6,51.0,51.0,53.8
2019-05-15,　津　,2,6.65,6.72,6.75,6.74,6.71,6.66,.06,.03,.12,.12,.09,0.05,1,2,3,4,5,6.0,1,1,0,0,0,0,,,0.0,0.0,0.0,0.0,上　野　　真之介,谷　野　　錬　志,真　庭　　明　志,今　村　　　　豊,水　摩　　　　敦,山　下　　和　彦,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,51.2,51.4,51.0,51.0,51.0,50.0
2019-05-15,三　国,2,6.67,6.68,6.75,6.77,6.73,6.75,.03,.22,.19,.11,.36,0.11,1,2,3,6,4,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,滝　沢　　芳　行,池　田　　雄　一,佐　藤　　大　騎,西　山　　祐　希,多　田　　有　佑,泥　谷　　一　毅,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.0,52.3,51.0,50.5,52.7,55.8
2019-05-15,住之江,2,6.86,6.83,6.85,6.87,6.87,6.91,.01,.05,.08,.11,.02,0.06,1,2,3,4,5,6.0,0,1,1,1,1,1,0.0,,,,,,岩　川　　仁　士,山　田　　佑　樹,服　部　　　　剛,益　田　　啓　司,土　屋　　太　朗,高　憧　　四　季,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,52.6,56.2,51.0,52.3,52.2,45.5
2019-05-15,児　島,2,6.71,6.72,6.84,6.72,6.79,6.85,.23,.19,.12,.16,.08,0.03,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,勝　浦　　真　帆,大　澤　　真　菜,伊　藤　　玲　奈,深　見　　亜由美,白　石　　佳　江,大　橋　　由　珠,0.0,-0.5,-0.5,0.0,0.0,0.0,46.0,45.0,45.5,44.5,46.0,50.8
2019-05-15,下　関,2,6.74,6.81,6.74,6.79,6.77,6.78,.12,.03,.03,.05,.15,0.09,1,2,3,4,5,6.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,片　山　　雅　雄,赤　池　　修　平,水　長　　照　雄,中　林　　秀　人,加　藤　　雅　之,澤　　　　大　介,-0.5,-0.5,0.0,-0.5,-0.5,0.0,50.5,51.5,51.0,58.9,51.0,51.0
2019-05-15,福　岡,2,6.88,6.97,6.89,6.91,6.94,6.88,.14,.08,.09,.23,.09,0.22,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,金　子　　貴　志,泉　　　　啓　文,川　上　　　　剛,木　村　　浩　士,山　田　　竜　一,野見山　　拓　己,0.0,-0.5,-0.5,-0.5,0.0,0.0,50.0,58.2,52.0,52.7,51.0,52.4
2019-05-15,唐　津,2,6.63,6.70,6.70,6.70,6.75,6.73,.03,.12,.02,.04,.02,0.01,5,1,2,3,4,6.0,0,0,1,1,0,0,0.0,0.0,,,0.0,0.0,中　田　　達　也,浅　見　　昌　克,前　田　　光　昭,井　町　　　　泰,渡　辺　　　　豊,増　田　　　　進,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,51.7,51.0,51.9,48.5,54.1,52.6
2019-05-15,桐　生,3,6.74,6.79,6.68,6.77,6.80,6.74,.18,.33,.15,.07,.06,0.04,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,池　田　　紫　乃,水　口　　由　紀,松　本　　晶　恵,定　野　　久　恵,宇　野　　弥　生,茶　谷　　　　桜,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,44.5,47.1,46.5,48.3,46.5,47.0
2019-05-15,江戸川,3,6.81,6.86,6.81,6.85,6.96,6.79,.21,.04,.07,.01,.24,0.15,1,2,3,4,5,6.0,0,0,1,1,0,0,0.0,0.0,,,0.0,0.0,植　田　　太　一,荒　井　　翔　伍,北　野　　輝　季,是　澤　　孝　宏,桑　原　　将　光,須　藤　　博　倫,0.0,0.5,0.5,0.0,0.5,0.5,58.0,52.5,51.9,50.5,51.7,51.0
2019-05-15,多摩川,3,6.80,6.85,6.76,6.69,6.83,6.77,.09,.06,.03,.32,.24,0.27,1,2,3,4,5,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,吉　田　　　　光,小　林　　　　泰,池　上　　裕　次,小　林　　基　樹,齋　藤　　達　希,板　橋　　侑　我,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,50.0,52.0,51.0,51.5,51.5,51.3
2019-05-15,　津　,3,6.71,6.77,6.74,6.74,6.75,6.67,.08,.00,.11,.15,.08,0.02,1,2,3,4,5,6.0,1,0,0,0,1,0,,0.0,0.0,0.0,,0.0,太　田　　和　美,西　島　　義　則,村　岡　　賢　人,中　辻　　崇　人,前　沢　　丈　史,原　田　　幸　哉,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,53.2,54.0,52.2,51.7,52.5,51.2
2019-05-15,三　国,3,6.77,6.71,6.74,6.76,6.80,6.82,.06,.17,.31,.14,.06,0.14,1,3,4,6,2,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,吉　田　　裕　平,森　　　　秋　光,市　橋　　卓　士,川　上　　聡　介,野　中　　義　生,遠　藤　　晃　司,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,51.1,54.4,51.0,55.8,52.3,52.6
2019-05-15,住之江,3,6.93,6.92,6.92,6.95,6.94,6.81,.04,.03,.10,.03,.04,0.08,1,2,3,5,6,4.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,,,高　山　　秀　雄,森　定　　晃　史,松　本　　庸　平,村　上　　奈　穂,沖　　　　　　悟,山　本　　兼　士,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,52.0,51.0,51.0,48.7,51.8,51.3
