,date,venue,raceNumber,exhibitionTime_1,exhibitionTime_2,exhibitionTime_3,exhibitionTime_4,exhibitionTime_5,exhibitionTime_6,exhibition_ST_1,exhibition_ST_2,exhibition_ST_3,exhibition_ST_4,exhibition_ST_5,exhibition_ST_6,exhibition_cource_1,exhibition_cource_2,exhibition_cource_3,exhibition_cource_4,exhibition_cource_5,exhibition_cource_6,exhibition_flying_flag_1,exhibition_flying_flag_2,exhibition_flying_flag_3,exhibition_flying_flag_4,exhibition_flying_flag_5,exhibition_flying_flag_6,exhibition_late_flag_1,exhibition_late_flag_2,exhibition_late_flag_3,exhibition_late_flag_4,exhibition_late_flag_5,exhibition_late_flag_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,temperature,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,water_temperature,wave_height,weather,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,wind_speed
0,2019-11-26,多摩川,1,6.82,6.85,6.71,6.77,6.76,6.77,0.05,0.12,0.04,0.04,0.01,0.0,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,中　嶋　　誠一郎,金　森　　史　吉,原　田　　智　和,桑　島　　和　宏,前　田　　　　翔,小　巻　　良　至,8.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.5,2,曇り,50.0,53.3,50.5,54.6,50.0,53.3,2
1,2019-11-26,蒲　郡,1,6.72,6.64,6.73,6.66,6.68,6.66,0.01,0.28,0.03,0.02,0.04,0.04,1,2,3,4,5,6.0,1,0,0,0,0,1,0,0,0,0,0,0,後　藤　　陽　介,夏　山　　亮　平,吉　岡　　　　誠,西　村　　豪　洋,國　分　　将太郎,有　田　　　　岳,10.0,-0.5,-0.5,-0.5,-0.5,-0.5,1.0,15.0,0,雨,55.5,57.0,55.5,51.2,52.3,50.5,0
2,2019-11-26,　津　,1,6.59,6.65,6.71,6.6,6.66,6.66,0.18,0.07,0.05,0.07,0.1,0.19,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,岡　　　　祐　臣,汐　崎　　正　則,後　藤　　正　宗,冨　成　　謙　児,間　野　　兼　礼,浦　田　　信　義,12.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,雨,53.6,54.4,53.8,51.4,52.1,50.5,1
3,2019-11-26,三　国,1,6.77,6.78,6.81,6.85,6.82,6.81,0.06,0.19,0.11,0.14,0.14,0.09,1,2,3,4,6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,原　　　　豊　土,近　藤　　稔　也,岩　井　　　　繁,片　山　　雅　雄,小　林　　孝　彰,相　原　　利　章,11.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,11.0,1,晴,54.9,53.5,60.6,50.5,51.4,51.7,1
4,2019-11-26,住之江,1,6.87,6.8,6.87,6.88,6.9,6.94,0.15,0.03,0.02,0.05,0.01,0.06,1,2,3,4,5,6.0,0,0,1,1,1,0,0,0,0,0,0,0,佐　藤　　享　子,蒲　原　　健　太,須　藤　　隆　雄,土　井　　祥　伍,宮　地　　孝四朗,金　子　　七　海,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.0,1,雨,50.1,52.0,51.0,53.4,54.1,47.8,1
5,2019-11-26,尼　崎,1,6.91,6.74,6.76,6.68,6.78,6.75,0.11,0.21,0.1,0.01,0.08,0.09,1,2,3,4,5,6.0,0,0,0,1,0,0,0,0,0,0,0,0,三　宅　　爾　士,佐　藤　　大　騎,山　崎　　昭　生,菅　沼　　佳　昭,高　柳　　成　聡,橋　本　　健　造,15.3,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,14.2,0,晴,57.2,51.0,51.2,50.5,51.7,50.0,4
6,2019-11-26,丸　亀,1,6.84,6.92,6.87,6.85,6.81,6.81,0.1,0.06,0.11,0.03,0.03,0.05,1,2,3,5,6,4.0,0,0,0,1,0,1,0,0,0,0,0,0,小　山　　　　勉,杉　本　　洋　一,豊　田　　訓　靖,渡　　　　修　平,小　野　　信　樹,津　留　　浩一郎,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,17.0,2,曇り,50.5,51.0,51.1,51.0,53.8,54.1,2
7,2019-11-26,児　島,1,6.72,6.76,6.72,6.77,6.68,6.67,0.09,0.13,0.14,0.03,0.1,0.17,1,2,3,4,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,井　内　　将太郎,福　田　　　　理,高　橋　　悠　花,前　川　　守　嗣,中　北　　　　涼,國　弘　　翔　平,14.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,18.0,3,曇り,51.6,54.0,47.0,58.7,47.0,50.0,2
8,2019-11-26,下　関,1,6.76,6.69,6.7,6.71,6.7,6.72,0.16,0.07,0.15,0.03,0.06,0.1,1,2,6,3,4,5.0,0,0,0,0,0,0,0,0,0,0,0,0,高　濱　　芳　久,檀　　　　将　太,今　林　　由　喜,浜　本　　裕　己,定　松　　勇　樹,松　尾　　基　成,13.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,16.0,2,曇り,52.6,50.0,51.7,50.5,51.6,55.1,2
9,2019-11-26,芦　屋,1,6.66,6.68,6.7,6.66,6.72,6.74,0.15,0.13,0.08,0.08,0.09,0.29,1,2,3,5,4,6.0,1,1,1,1,0,0,0,0,0,0,0,0,浅　見　　昌　克,田　頭　　　　実,北　岡　　　　淳,堂　原　　洋　史,高　橋　　二　朗,坪　内　　　　実,15.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15.0,2,晴,51.0,49.5,54.4,51.0,53.1,53.9,2
