date,venue,raceNumber,CS_ST_1_1,CS_ST_1_10,CS_ST_1_11,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_11,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_11,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_11,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_11,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_11,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_10,CS_cource_1_11,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_11,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_11,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_11,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_11,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_11,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_10,CS_frame_1_11,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_11,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_11,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_11,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_11,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_11,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_10,CS_race_1_11,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_11,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_11,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_11,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_11,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_11,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_10,CS_rank_1_11,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_11,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_11,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_11,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_11,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_11,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-01-02,桐　生,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.25,0.17,0.14,0.16,0.18, 59, 39, 41, 16, 12, 26, 47.37, 33.33, 23.08, 37.14, 37.93, 27.59, 57.89, 56.67, 42.31, 57.14, 65.52, 34.48, 62, 68, 25, 72, 18, 60,  0.00,  0.00, 44.44,  0.00, 44.44,  0.00,  0.00,  0.00, 66.67,  0.00, 44.44,  0.00,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,32.26,17.14,30.95,55.66,27.66,39.33,30.65,12.50,18.67,43.55,28.70,23.47,48.39,32.86,47.62,71.70,63.83,58.43,51.61,28.57,34.67,62.90,42.59,45.92,藤　井　　定　美,高　柳　　成　聡,太　田　　克　哉,鳥居塚　　孝　博,亀　山　　高　雅,鹿　島　　敏　弘,2787,3296,3560,3686,3970,4407, 5.05, 4.03, 4.88, 6.88, 5.64, 5.76, 5.39, 3.55, 3.81, 6.19, 4.85, 4.64
2019-01-02,江戸川,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.19,0.19,0.15,0.21, 35, 10, 32, 31, 14, 30, 32.39, 32.19, 34.48, 42.41, 34.67, 36.00, 49.30, 49.32, 46.90, 60.13, 50.00, 55.33, 37, 21, 11, 53, 40, 10, 36.60, 38.96, 31.97, 31.61, 41.67, 28.19, 54.25, 58.44, 51.70, 45.81, 56.41, 46.31,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,61.11,14.29,14.00,23.08,32.50, 0.00,54.55,10.00, 6.52,21.62,12.96, 5.08,81.48,39.29,22.00,46.15,47.50, 9.76,78.79,25.00,13.04,32.43,25.93, 8.47,石　渡　　鉄　兵,伊　倉　　　　光,岡　　　　悠　平,齋　藤　　　　篤,杉　村　　賢　也,金　山　　立　樹,3716,4779,4807,4194,4792,4976, 8.07, 4.36, 3.60, 4.46, 4.65, 2.22, 7.42, 3.47, 3.04, 4.04, 3.44, 2.19
2019-01-02,浜名湖,1,.04,,,.08,.02,,,,,,,.36,,,.15,.23,,,,,,,.14,,,.11,.35,.15,,,,,,.16,,,,.21,.19,,,,,,.14,,,,.22,.17,,,,,,.11,,,,.23,.12,,,,,,1,,,5,3,,,,,,,6,,,6,5,,,,,,,1,,,5,3,2,,,,,,2,,,,5,4,,,,,,4,,,,4,1,,,,,,4,,,,2,5,,,,,,1,,,5,2,,,,,,,6,,,3,4,,,,,,,1,,,5,3,2,,,,,,2,,,,6,5,,,,,,3,,,,5,1,,,,,,4,,,,2,5,,,,,,6,,,12,6,,,,,,,4,,,10,5,,,,,,,2,,,6,1,10,,,,,,9,,,,4,8,,,,,,8,,,,1,7,,,,,,3,,,,4,10,,,,,,５,,,３,２,,,,,,,６,,,５,５,,,,,,,４,,,４,５,５,,,,,,２,,,,３,４,,,,,,６,,,,３,５,,,,,,３,,,,４,６,,,,,,0.13,0.19,0.19,0.23,0.14,0.20, 15, 41, 24, 17, 18, 47, 36.36, 41.07, 36.21, 34.55, 27.27, 19.23, 60.00, 57.14, 48.28, 47.27, 43.64, 36.54, 57, 46,  4, 22, 53, 37, 30.82, 37.74, 36.84, 40.63, 31.10, 41.18, 47.80, 54.09, 53.80, 54.38, 48.17, 58.29,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,50.00,23.42,33.33,20.00,37.69, 5.33,46.61,28.32,29.79,25.23,34.56,10.87,70.00,44.14,50.45,37.00,57.69,14.67,64.41,51.33,51.06,43.93,52.94,15.22,山　田　　雄　太,長　野　　道　臣,渡　邊　　裕　貴,市　川　　美　宏,今　坂　　晃　広,鈴　木　　秀　茉,4150,3796,4625,4229,3981,4840, 6.63, 4.79, 5.16, 4.35, 5.72, 2.35, 6.33, 5.09, 5.17, 4.72, 5.24, 2.48
2019-01-02,蒲　郡,1,.27,,,.24,.32,,,,,,,.18,,,.22,.18,,,,,,,.14,,,.15,.30,,,,,,,.08,,,,.08,.36,,,,,,.02,,,.27,.09,,,,,,,.21,,,,.20,.28,,,,,,6,,,3,6,,,,,,,2,,,4,5,,,,,,,4,,,2,6,,,,,,,2,,,,2,6,,,,,,1,,,2,2,,,,,,,5,,,,5,2,,,,,,6,,,3,4,,,,,,,1,,,4,5,,,,,,,4,,,2,6,,,,,,,2,,,,3,6,,,,,,1,,,2,6,,,,,,,4,,,,5,2,,,,,,3,,,9,3,,,,,,,5,,,10,7,,,,,,,3,,,11,6,,,,,,,1,,,,2,8,,,,,,1,,,6,3,,,,,,,4,,,,1,7,,,,,,５,,,５,６,,,,,,,３,,,６,３,,,,,,,２,,,４,５,,,,,,,５,,,,６,６,,,,,,１,,,５,５,,,,,,,６,,,,４,５,,,,,,0.17,0.17,0.20,0.17,0.20,0.18, 60, 32, 48, 37, 35, 15, 38.19, 37.09, 33.57, 38.13, 36.81, 34.93, 52.78, 56.29, 54.29, 58.27, 54.86, 54.11, 69, 61, 56, 34, 77, 12, 34.92, 29.30, 29.73, 41.61, 29.41, 38.84, 53.97, 48.41, 44.59, 56.93, 47.06, 52.89,F0,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0,30.77,29.79,40.31,15.25,24.05,34.48,24.35,28.35,48.70,11.43,20.45,24.49,42.31,48.94,58.67,33.90,46.84,41.38,40.00,44.09,63.48,34.29,38.64,40.82,南　野　　利　騰,丹　下　　　　健,佐　藤　　博　亮,西　尾　　亮　輔,一　色　　雅　昭,豊　田　　訓　靖,4405,4139,4786,4752,3536,3544, 5.31, 5.06, 5.89, 3.76, 4.87, 4.69, 4.58, 4.74, 6.43, 3.57, 4.51, 4.42
2019-01-02,常　滑,1,.29,,,,.24,.21,,,,,,.19,,,.17,.28,,,,,,,.20,,,.12,.32,,,,,,,.23,,,.09,.05,,,,,,,.05,,,,.21,.04,,,,,,.15,,,.19,.16,,,,,,,2,,,,3,6,,,,,,3,,,1,4,,,,,,,5,,,5,4,,,,,,,5,,,6,1,,,,,,,1,,,,2,3,,,,,,6,,,6,6,,,,,,,2,,,,3,5,,,,,,3,,,1,5,,,,,,,5,,,6,4,,,,,,,5,,,6,1,,,,,,,1,,,,2,3,,,,,,6,,,4,6,,,,,,,9,,,,1,5,,,,,,1,,,6,6,,,,,,,1,,,8,1,,,,,,,4,,,10,2,,,,,,,7,,,,5,10,,,,,,1,,,5,2,,,,,,,５,,,,４,５,,,,,,２,,,６,６,,,,,,,４,,,５,３,,,,,,,６,,,６,３,,,,,,,２,,,,６,３,,,,,,転,,,６,６,,,,,,,0.16,0.19,0.20,0.16,0.19,   -, 48, 22, 52, 13, 54, 72, 34.62, 43.33, 31.19, 27.55, 35.54, 34.75, 48.08, 62.50, 54.13, 48.98, 49.59, 54.24, 45, 12,  7, 18, 14,  1, 55.56,  7.14, 68.75, 26.67, 29.41, 25.00, 61.11, 14.29, 87.50, 33.33, 52.94, 62.50,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,25.00,12.50,20.00,32.00,26.09, 0.00,11.67,20.48,15.22,28.97,22.43, 0.00,48.00,31.25,37.78,52.00,39.13, 0.00,26.67,30.12,26.09,47.66,45.79, 0.00,西　村　　豪　洋,多　田　　有　佑,水　野　　暁　広,間　野　　兼　礼,松　浦　　博　人,中　村　　駿　平,4565,4169,3856,4731,3877,5061, 5.08, 3.69, 4.11, 5.23, 4.61, 0.00, 3.43, 3.71, 3.54, 5.14, 4.93, 1.25
2019-01-02,　津　,1,.18,,,.25,.15,.09,.18,,.19,.18,,.23,,,.06,.37,.20,.28,,.23,,,.13,,,.15,.11,,.21,.13,.14,,,.14,,,.37,.12,,.20,.15,.25,,,.10,,,,.14,.03,.22,,.18,.18,,.20,,,,.16,.20,.31,,.04,.15,,1,,,2,4,5,5,,5,2,,5,,,2,6,2,1,,3,,,3,,,3,1,,5,6,4,,,3,,,6,5,,2,4,1,,,5,,,,4,1,3,,2,6,,2,,,,3,5,1,,6,3,,1,,,2,3,5,6,,4,2,,5,,,4,6,2,1,,3,,,3,,,2,1,,5,6,4,,,3,,,6,5,,2,4,1,,,5,,,,4,1,3,,2,6,,2,,,,3,5,1,,6,3,,5,,,10,3,12,9,,4,11,,2,,,6,5,9,3,,5,,,3,,,7,4,,3,11,12,,,2,,,10,1,,2,8,3,,,6,,,,1,8,6,,5,9,,5,,,,4,10,6,,1,8,,１,,,３,２,３,２,,４,５,,４,,,１,６,５,１,,３,,,３,,,３,１,,４,１,２,,,５,,,５,４,,５,５,４,,,３,,,,２,２,４,,４,６,,２,,,,３,６,５,,３,４,,0.16,0.21,0.17,0.17,0.20,0.18, 63, 58, 33, 34, 48, 62, 37.29, 50.00, 28.21, 23.08, 35.82, 32.81, 54.24, 65.63, 46.15, 35.38, 53.73, 50.00, 47, 20, 19, 45, 16, 56, 16.07, 44.26, 46.38, 48.28, 37.84, 42.42, 39.29, 67.21, 69.57, 67.24, 59.46, 51.52,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,47.80,38.02,41.46,34.04,20.00,21.62,23.75,37.07,31.78,26.36,12.50,28.89,59.89,52.08,58.54,55.32,30.00,43.24,33.75,54.31,54.21,43.64,35.42,48.89,岡　　　　祐　臣,松　本　　庸　平,岩　永　　雅　人,宇　野　　博　之,大　内　　裕　樹,天　野　　友　和,4261,4358,4630,4129,3819,3905, 6.26, 5.41, 5.68, 4.96, 3.70, 4.73, 3.88, 5.47, 5.26, 4.55, 3.96, 4.89
2019-01-02,三　国,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.19,0.17,0.18,0.17,0.19, 20, 67, 63, 59, 51, 14, 32.00, 34.91, 25.79, 41.95, 31.74, 36.75, 45.14, 51.48, 37.74, 57.47, 49.10, 49.40, 64, 13, 11, 19, 60, 57, 36.52, 36.51, 30.73, 37.65, 29.48, 32.42, 55.06, 47.09, 53.63, 52.47, 51.45, 47.25,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,36.84,55.56,32.00,50.00,23.33,13.64,57.76,20.48,16.96,30.95,23.08,20.69,78.95,66.67,44.00,55.00,50.00,22.73,81.03,30.12,31.25,48.41,48.08,34.48,西　村　　拓　也,高　野　　心　吾,吉　田　　和　仁,中　村　　守　成,汐　崎　　正　則,井　上　　尚　悟,4397,4527,4182,3605,3893,4750, 7.11, 6.00, 5.04, 5.85, 4.87, 3.64, 7.55, 3.69, 3.96, 5.32, 4.77, 4.15
2019-01-02,住之江,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.18,0.16,0.15,0.16,   -, 78, 79, 54, 21, 39, 23, 38.03, 33.11, 40.60, 35.00, 31.41, 32.19, 52.11, 43.71, 59.40, 47.86, 43.59, 48.63, 85, 78, 37, 52, 63, 87, 36.18, 30.43, 30.13, 34.64, 36.77, 44.67, 52.63, 40.99, 51.28, 58.17, 52.26, 64.00,F0,F0,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,12.50,21.21,46.84,13.16,19.61, 0.00,17.86,25.42,41.67,27.16,31.94, 0.00,12.50,36.36,55.70,34.21,33.33, 0.00,19.64,38.98,46.43,41.98,41.67, 0.00,佐　野　　隆　仁,野　間　　大　樹,濱　崎　　　　誠,佐　藤　　大　騎,井　上　　忠　政,松　山　　裕　基,3243,4508,4082,4651,4959,5046, 2.50, 4.06, 5.81, 4.24, 4.33, 1.00, 3.41, 4.20, 5.33, 4.51, 4.65, 1.00
2019-01-02,鳴　門,1,.15,,,.26,.18,,.27,.11,.14,.15,.12,.29,.23,,.16,.13,,.18,.19,.09,,.17,.25,.14,,,.30,.16,.13,.12,.13,,.14,.41,,,.17,.33,.28,.25,.22,.08,,.13,.21,,,,.32,.28,.12,.21,.17,.17,.09,.19,,,.09,.19,.11,.14,,.09,.26,.23,1,,,4,5,,2,3,6,4,3,5,6,,1,3,,4,6,2,,3,2,1,,,1,3,6,4,5,,4,2,,,4,1,3,4,4,4,,2,5,,,,4,1,3,2,6,5,2,6,,,2,3,5,5,,5,1,3,1,,,4,5,,2,3,6,4,3,5,6,,1,3,,4,6,2,,3,2,1,,,1,3,6,4,5,,4,2,,,6,1,3,5,4,4,,6,5,,,,4,1,3,2,6,4,2,6,,,2,3,4,5,,5,1,3,5,,,11,2,,6,11,2,8,4,2,9,,7,5,,5,10,3,,2,3,7,,,7,11,1,7,8,,3,2,,,9,1,12,6,10,4,,8,6,,,,5,9,1,10,4,11,3,4,,,8,7,12,7,,2,7,9,２,,,６,２,,５,５,５,４,６,３,１,,３,６,,５,５,６,,４,２,２,,,３,６,５,５,５,,４,６,,,５,２,５,４,４,２,,５,５,,,,２,２,２,３,５,５,２,１,,,３,４,４,６,,６,３,５,0.18,0.20,0.19,0.18,0.20,0.21, 32, 39, 61, 12, 14, 21, 32.21, 35.21, 33.78, 31.76, 50.00, 38.67, 50.34, 52.82, 49.32, 54.05, 65.97, 58.67, 34, 68, 13, 51, 59, 75, 38.51, 34.07, 37.41, 38.06, 32.62, 37.50, 56.76, 50.37, 53.74, 57.42, 54.61, 53.68,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,42.11,21.62,30.00,56.67,23.40, 0.00,43.33,28.42,20.00,40.44,19.48,37.50,63.16,45.95,44.62,76.67,41.49, 0.00,62.50,44.21,36.67,60.29,37.66,54.17,堀之内　　紀代子,高　田　　　　綾,近　藤　　稔　也,古　場　　輝　義,樫　葉　　次　郎,西　橋　　奈　未,4011,4694,3477,3161,3820,4961, 6.21, 4.54, 4.98, 6.77, 4.74, 1.86, 6.23, 4.83, 4.08, 5.87, 4.52, 5.26
2019-01-02,丸　亀,1,.16,,,.16,.08,.18,.13,.11,.33,,,.13,,,.22,.21,,.12,.15,.06,,,.23,,,,.16,.19,.11,.10,.11,.34,,.13,,,,.14,.21,.09,.17,.17,,,.28,,,,.33,.38,.11,.22,.09,,,.27,,,,.24,.08,.22,,.03,.31,,6,,,2,3,6,1,4,5,,,2,,,4,1,,5,6,3,,,4,,,,1,5,3,6,2,2,,3,,,,3,5,4,3,1,,,2,,,,6,6,3,5,1,,,5,,,,2,3,1,,4,6,,5,,,2,3,6,1,4,4,,,2,,,4,1,,5,6,3,,,4,,,,1,5,3,6,2,4,,3,,,,6,5,4,2,1,,,2,,,,4,6,3,5,1,,,5,,,,2,3,1,,4,6,,3,,,10,4,9,1,12,9,,,1,,,10,6,,1,7,1,,,8,,,,1,11,3,12,6,11,,2,,,,3,9,1,5,6,,,8,,,,3,11,1,10,7,,,5,,,,1,7,6,,2,11,,４,,,１,１,５,３,６,１,,,２,,,４,４,,５,５,４,,,６,,,,１,６,６,５,３,３,,５,,,,１,６,６,２,６,,,２,,,,６,５,４,６,２,,,３,,,,３,４,５,,３,６,,0.17,0.19,0.20,0.17,0.13,0.20, 48, 25, 26, 50,  3, 22, 21.59, 30.30, 30.77, 23.86, 34.44, 33.33, 37.50, 49.49, 47.25, 46.59, 50.00, 52.08,  7, 14, 59, 41, 10, 19, 36.84, 47.37, 40.00, 45.45,  5.56, 16.67, 47.37, 63.16, 60.00, 77.27, 11.11, 22.22,F0,F0,F0,F0,F2,F0,L0,L0,L0,L0,L0,L0,42.11,17.44,36.71,30.77,36.29,20.37,50.31,30.53,26.72,23.40,25.25,21.98,57.14,31.40,63.92,53.85,54.84,36.11,73.29,52.63,49.62,41.49,42.42,32.97,石　丸　　海　渡,木　谷　　賢　太,塩　田　　雄　一,吉　永　　泰　弘,嶋　　　　義　信,長谷川　　親　王,4772,4931,3578,3710,4529,3660, 5.66, 3.72, 5.99, 5.10, 5.51, 4.10, 6.75, 5.27, 5.06, 4.62, 4.68, 4.07
