date,venue,raceNumber,CS_ST_1_1,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_2_1,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_3_1,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_4_1,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_5_1,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_6_1,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_cource_1_1,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_2_1,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_3_1,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_4_1,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_5_1,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_6_1,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_frame_1_1,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_2_1,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_3_1,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_4_1,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_5_1,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_6_1,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_race_1_1,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_2_1,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_3_1,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_4_1,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_5_1,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_6_1,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_rank_1_1,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_2_1,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_3_1,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_4_1,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_5_1,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_6_1,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-04-27,桐　生,1,.11,,.21,.21,.13,,,.17,,.01,.18,.09,,,.23,,.09,,.09,.10,,.22,,.20,.37,.21,.19,,.22,,.03,.28,.19,,,.18,,.17,.13,.19,,,3,,6,5,2,,,5,,3,6,1,,,2,,4,,3,6,,4,,2,1,3,5,,3,,2,6,1,,,1,,5,2,3,,,3,,6,5,2,,,5,,3,6,1,,,2,,4,,3,5,,4,,2,1,3,5,,3,,2,4,1,,,1,,5,2,3,,,7,,1,7,5,,,2,,1,8,3,,,1,,6,,1,7,,9,,3,8,2,9,,6,,1,5,1,,,1,,1,6,6,,,６,,４,６,４,,,６,,６,４,１,,,６,,５,,３,６,,３,,５,３,転,６,,５,,５,６,６,,,５,,３,３,５,,,0.16,0.16,0.17,0.15,0.18,0.21, 60, 65, 23, 36, 59, 19, 29.17, 41.24, 31.96, 44.79, 32.99, 39.18, 41.67, 54.64, 46.39, 63.54, 41.24, 53.61, 56, 71, 50, 72, 16, 20, 42.47, 28.38, 35.63, 39.19, 28.95, 27.27, 57.53, 50.00, 52.87, 55.41, 42.11, 44.16,F0,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0, 0.00,23.53, 0.00,26.37,11.54,26.92,25.45,25.74, 5.00,20.56,16.87, 7.55, 0.00,35.29, 0.00,38.46,19.23,41.03,32.73,38.61,12.50,37.38,27.71,28.30,加　藤　　裕　太,小　川　　時　光,彦　坂　　径　冶,小　川　　知　行,塚　原　　武　之,渡　辺　　史　之,4814,4186,4915,3850,3594,4078, 0.00, 4.26, 1.22, 4.53, 3.35, 4.68, 4.05, 4.31, 2.55, 4.34, 3.72, 3.45
2019-04-27,多摩川,1,.05,,,,,,,.13,,,,,,,.07,,,,,,,.13,,,,,,,.36,.26,,,,,,.11,,,,,,,2,,,,,,,5,,,,,,,4,,,,,,,1,,,,,,,4,6,,,,,,1,,,,,,,2,,,,,,,6,,,,,,,4,,,,,,,1,,,,,,,6,4,,,,,,1,,,,,,,11,,,,,,,7,,,,,,,4,,,,,,,9,,,,,,,1,5,,,,,,2,,,,,,,１,,,,,,,６,,,,,,,３,,,,,,,１,,,,,,,５,６,,,,,,４,,,,,,,0.16,0.21,0.21,0.19,0.20,0.16,175,140,148,173,125,166, 32.47, 38.81, 33.33, 36.64, 32.48, 33.55, 48.70, 52.24, 51.06, 48.09, 44.59, 53.95, 54, 46, 55, 43, 39, 68, 36.67, 34.07, 29.05, 25.71, 33.51, 35.60, 53.33, 58.79, 45.27, 47.62, 56.02, 54.45,F1,F1,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,45.83,37.93,33.33,46.43,14.81,18.00,42.86,22.09,17.81,47.71,20.54,22.50,59.72,37.93,47.22,60.71,46.30,32.00,63.03,34.88,35.62,66.97,39.29,38.75,長　岡　　茂　一,池　田　　雷　太,塚　田　　修　二,荻　野　　裕　介,宮　内　　由紀英,澤　崎　　雄　哉,3227,3340,3377,4085,3293,4880, 5.90, 5.17, 5.28, 6.21, 4.50, 3.64, 6.03, 4.23, 4.04, 6.46, 4.56, 4.40
2019-04-27,浜名湖,1,.21,.21,.14,,,,,.24,,.20,.11,,,,.39,.19,.20,,,,,.33,.22,.21,,,,,.29,.23,.19,,,,,.20,.36,.31,,,,,6,6,4,,,,,4,,6,3,,,,1,4,5,,,,,6,2,2,,,,,1,1,2,,,,,6,6,4,,,,,5,3,4,,,,,5,,6,3,,,,1,4,5,,,,,6,2,5,,,,,1,4,2,,,,,5,6,4,,,,,3,8,6,,,,,8,,1,9,,,,3,10,2,,,,,4,9,3,,,,,1,5,9,,,,,2,9,4,,,,,５,５,５,,,,,６,,６,３,,,,４,４,６,,,,,６,１,５,,,,,２,５,不,,,,,４,５,４,,,,,0.18,0.23,0.21,0.18,0.17,0.23, 65, 22, 56, 40, 20, 38, 33.07, 39.53, 23.97, 41.23, 18.97, 29.37, 48.82, 60.47, 39.67, 57.02, 32.76, 44.44, 36, 18, 54,  8, 55, 26, 33.33, 37.50, 33.33, 14.29, 22.22, 12.50, 44.44, 62.50, 66.67, 28.57, 66.67, 37.50,F1,F0,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,16.67,21.43,31.25,42.31,38.71, 7.84,27.94,18.18,22.73,30.00,41.90, 6.12,33.33,35.71,50.00,57.69,45.16,17.65,39.71,34.55,41.82,46.36,52.38,26.53,岸　本　　雄　貴,有　田　　　　岳,山　崎　　善　庸,森　　　　弘　行,鈴　木　　幸　夫,石　原　　　　翼,4270,3398,4103,3467,2876,4989, 4.23, 4.32, 5.50, 5.69, 5.06, 2.76, 4.91, 3.93, 4.53, 4.85, 5.50, 3.20
2019-04-27,蒲　郡,1,.23,,.09,.19,,,,.16,.26,.14,,,,,.23,.19,.19,,,,,.14,.15,.17,,,,,.10,.14,.07,,,,,.25,,.20,.17,,,,6,,2,6,,,,4,1,6,,,,,1,6,6,,,,,6,6,6,,,,,2,3,6,,,,,3,,1,4,,,,5,,2,6,,,,4,1,5,,,,,1,4,6,,,,,5,6,5,,,,,2,3,6,,,,,3,,1,4,,,,6,,2,10,,,,2,6,1,,,,,4,8,4,,,,,2,7,8,,,,,2,8,9,,,,,4,,1,9,,,,５,,６,５,,,,６,６,６,,,,,５,６,５,,,,,３,６,５,,,,,４,４,１,,,,,６,,２,４,,,,0.17,0.17,0.16,   -,0.17,0.19, 24, 48, 11, 62, 55, 37, 40.27, 35.00, 32.40, 39.18, 32.73, 36.40, 57.96, 55.00, 50.00, 57.55, 46.36, 52.63, 61, 24, 27, 58, 70, 57, 27.69, 32.64, 47.09, 27.78, 31.60, 29.67, 47.52, 51.65, 65.47, 42.36, 52.40, 41.76,F1,F0,F1,F1,F0,F0,L0,L0,L0,L0,L0,L0,45.45, 0.00,14.29, 0.00,21.43,21.28,17.74,12.50,22.37, 7.25,26.25,23.76,54.55, 0.00,42.86,25.00,35.71,34.04,35.48,25.00,44.74,21.74,51.25,38.61,鈴　木　　智　啓,中　村　　将　隆,樋　口　　喜　彦,前　田　　　　滉,籾　山　　佳　岳,齋　藤　　和　政,4293,4982,4176,5068,4663,3637, 5.45, 0.00, 4.71, 2.63, 4.29, 4.36, 4.27, 3.36, 4.50, 2.81, 4.99, 4.56
2019-04-27,常　滑,1,.09,,.16,.19,,,,.40,,.25,.11,,,,.22,,.25,.30,,,,.20,.29,.05,,,,,.23,.25,.19,.09,,,,.39,.31,.23,,,,,6,,2,5,,,,1,,5,3,,,,3,,1,5,,,,2,3,5,,,,,4,5,1,3,,,,6,6,6,,,,,5,,2,4,,,,1,,6,3,,,,3,,1,5,,,,2,3,5,,,,,4,6,1,3,,,,5,4,5,,,,,4,,1,6,,,,8,,1,10,,,,8,,3,7,,,,3,11,2,,,,,5,10,4,11,,,,6,10,6,,,,,６,,４,３,,,,６,,５,６,,,,４,,６,６,,,,４,６,４,,,,,５,５,６,６,,,,６,６,６,,,,,0.15,0.19,0.19,0.15,0.15,0.21, 41, 69, 68, 56, 73, 60, 38.38, 27.91, 36.99, 36.56, 27.33, 34.74, 58.08, 40.31, 58.38, 47.31, 39.13, 51.05, 11,  4, 47, 38, 60, 41, 20.24, 24.36, 33.33, 38.89, 27.78, 26.76, 32.14, 30.77, 49.49, 51.11, 40.00, 43.66,F0,F0,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0, 6.25,35.42,24.00,28.57,63.64, 0.00,17.28,23.91,20.51,29.09,38.33, 0.00, 6.25,50.00,28.00,28.57,72.73, 0.00,29.63,44.57,28.21,47.27,51.67, 1.45,尾　上　　雅　也,樋　口　　範　政,坂　本　　徳　克,野　中　　義　生,落　合　　直　子,金　子　　千　穂,4953,4081,3565,3294,4289,5030, 2.13, 5.06, 4.12, 4.29, 6.64, 0.00, 3.83, 4.86, 3.74, 4.74, 5.60, 1.23
2019-04-27,住之江,1,.15,,.13,,.16,.19,,.14,,.03,.14,.13,,,.12,,.09,.23,.18,,,.07,.17,.10,,.05,.06,,.08,.09,.17,,.03,.19,,.22,,.28,.20,.18,,,6,,3,,5,4,,5,,1,3,6,,,5,,5,3,1,,,5,2,6,,3,4,,3,4,6,,2,1,,5,,1,2,4,,,6,,3,,5,4,,5,,1,3,4,,,4,,5,2,1,,,5,2,6,,3,4,,3,4,6,,2,1,,5,,1,2,3,,,7,,4,,1,7,,4,,3,7,5,,,7,,6,12,9,,,1,9,11,,2,10,,5,10,9,,2,7,,3,,4,10,4,,,２,,５,,３,２,,５,,３,１,４,,,５,,４,６,１,,,１,６,落,,２,１,,４,６,５,,Ｆ,５,,６,,６,５,４,,,0.20,0.17,0.15,0.11,0.17,0.17, 66, 67, 28, 69, 84, 32, 17.39, 60.00, 21.74, 20.00, 38.89, 46.67, 26.09, 73.33, 26.09, 40.00, 55.56, 46.67, 26, 83, 65, 66, 16, 72, 52.94, 15.38, 21.74, 26.09, 47.06, 23.08, 70.59, 23.08, 52.17, 47.83, 70.59, 26.92,F0,F1,F1,F1,F1,F0,L0,L0,L0,L0,L0,L0,30.00, 0.00, 0.00,38.89,27.27,42.86,21.51,15.91,36.67,25.00,31.65,19.82,35.00, 0.00, 0.00,44.44,36.36,42.86,38.71,28.41,50.00,35.42,50.63,31.53,山　川　　雄　大,白　石　　浩　二,田　中　　京　介,野　中　　一　平,吉　崎　　悠　司,信　濃　　由　行,4902,3498,4588,4850,4833,3620, 4.00, 0.00, 0.00, 5.22, 4.09, 5.43, 4.30, 3.75, 5.32, 4.48, 4.81, 4.17
2019-04-27,尼　崎,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.18,0.13,0.17,0.18,0.19, 68, 69, 44, 15, 45, 67,  0.00,  0.00, 22.22,  0.00, 12.50,  0.00,  0.00,  0.00, 66.67, 42.86, 12.50,  0.00, 28, 38, 52, 56, 16, 59, 25.00, 33.33,  0.00,  0.00,  0.00,  0.00, 50.00, 33.33,  0.00,  0.00,  0.00,  0.00,F0,F0,F1,F0,F1,F0,L0,L0,L0,L0,L0,L0,16.44,13.04,49.23,44.00, 6.25, 0.00,24.07,14.85,43.85,40.37,13.04, 0.00,36.99,21.74,69.23,65.33,12.50, 0.00,34.26,29.70,70.77,56.88,27.54, 0.00,高　山　　哲　也,松　本　　真　吾,尾　嶋　　一　広,照　屋　　厚　仁,小　寺　　拳　人,西　山　　祐　希,3122,3108,4472,4375,4800,4986, 4.01, 3.39, 6.48, 6.09, 2.50, 1.28, 4.09, 3.85, 6.45, 5.86, 3.51, 1.27
2019-04-27,鳴　門,1,.27,.16,,,,,,.12,.19,,,,,,.11,,,,,,,.17,,,,,,,.13,,,,,,,.14,,,,,,,4,6,,,,,,4,6,,,,,,6,,,,,,,2,,,,,,,3,,,,,,,6,,,,,,,4,6,,,,,,4,6,,,,,,6,,,,,,,2,,,,,,,3,,,,,,,6,,,,,,,2,10,,,,,,1,7,,,,,,4,,,,,,,6,,,,,,,7,,,,,,,5,,,,,,,６,２,,,,,,４,６,,,,,,５,,,,,,,４,,,,,,,５,,,,,,,６,,,,,,,0.15,0.19,0.19,0.18,0.15,0.16, 28, 65, 64, 10, 78, 69, 33.33,  0.00,  0.00, 25.00,  0.00,  0.00, 33.33,  0.00,  0.00, 37.50,  0.00,  0.00, 75, 69, 71, 76, 51, 55,  0.00,  0.00,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00, 50.00,  0.00,F0,F0,F1,F0,F1,F0,L0,L0,L0,L0,L0,L0,51.52,15.79,31.25,30.70,31.58, 0.00,48.94,14.29,29.41,21.88,24.68, 0.00,66.67,27.63,50.00,42.98,47.37, 0.00,65.25,29.46,45.10,36.46,45.45, 1.72,菅　　　　章　哉,笠　井　　広　幸,池　田　　剛　規,近　藤　　稔　也,浜　崎　　準　也,粟　田　　　　祥,4571,3750,4674,3477,4782,5025, 6.62, 3.92, 5.00, 4.94, 4.95, 1.12, 6.53, 3.89, 4.50, 4.30, 4.68, 1.38
2019-04-27,丸　亀,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.18,0.18,0.18,0.23,0.19,  6, 62, 17,  2, 10, 35, 30.38, 36.36, 27.39, 28.48, 35.63, 41.94, 46.84, 53.48, 45.86, 43.03, 51.88, 57.42,  1, 41, 48, 51, 45, 37, 36.08, 38.00, 33.65, 37.62, 45.00, 40.82, 57.73, 59.00, 57.69, 59.41, 55.00, 55.10,F0,F1,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,42.71,32.89,24.49,21.95, 0.00,21.15,37.61,28.57,35.58,17.05, 1.43,20.65,59.38,52.63,39.80,31.71, 3.23,38.46,49.54,42.86,55.77,29.55, 8.57,39.13,三　好　　勇　人,嶋　田　　貴　支,木　谷　　賢　太,藤　原　　真　也,谷　口　　知　優,越　智　　照　浩,4331,3478,4931,4185,5032,4010, 6.08, 5.36, 4.48, 4.02, 1.61, 4.52, 5.49, 4.71, 5.60, 3.68, 1.94, 4.46
2019-04-27,児　島,1,.19,.16,.24,,,,,.11,,.25,.12,,,,.21,,.15,.28,,,,.22,.18,.09,,,,,.18,.17,.24,,,,,.25,,.28,.09,,,,2,4,2,,,,,5,,1,3,,,,4,,1,2,,,,3,6,2,,,,,1,3,5,,,,,6,,6,6,,,,2,4,6,,,,,5,,1,3,,,,4,,1,2,,,,3,6,2,,,,,1,3,4,,,,,6,,5,6,,,,7,11,4,,,,,6,,3,8,,,,2,,2,9,,,,2,10,5,,,,,2,7,5,,,,,3,,4,9,,,,３,２,３,,,,,４,,５,３,,,,４,,２,３,,,,２,６,３,,,,,１,６,６,,,,,６,,６,５,,,,0.16,0.18,0.18,0.17,0.21,   -, 59, 60, 49, 29, 37, 44, 34.15, 56.67, 51.28, 44.12, 44.83, 45.16, 63.41, 66.67, 71.79, 55.88, 58.62, 64.52, 36, 47, 17, 65, 12, 19, 35.06, 29.17, 28.57, 29.87, 41.56, 43.94, 46.75, 43.06, 51.95, 51.95, 63.64, 57.58,F0,F0,F1,F1,F0,F1,L0,L0,L0,L0,L0,L0,44.59,30.43,27.03,38.36,24.11, 0.00,49.65,19.05,20.99,20.22,22.58, 0.00,74.32,47.83,36.49,58.90,38.39, 0.00,64.54,38.10,39.51,29.21,32.26, 0.00,山　地　　正　樹,早　川　　尚　人,大　川　　茂　実,坂　口　　貴　彦,池　田　　真　治,松　山　　裕　基,3933,4200,3261,4423,3561,5046, 6.64, 4.70, 4.55, 5.62, 4.58, 1.00, 6.43, 4.30, 4.51, 4.21, 4.24, 1.06
