date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-27, 66, 20, 15, 19, 54, 14, 33.94, 30.73, 32.42, 33.79, 50.00, 38.18, 48.42, 54.63, 50.68, 46.58, 64.16, 56.82,1,平和島
2019-05-27, 45, 44, 51, 52, 57, 48,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,多摩川
2019-05-27,  8, 13, 44, 27, 40, 43, 28.13, 32.14, 17.07, 30.30, 36.36, 60.00, 31.25, 57.14, 46.34, 48.48, 54.55, 74.29,1,浜名湖
2019-05-27, 32, 47, 37, 36, 66, 12, 35.00, 50.00, 22.22, 14.29, 50.00, 40.00, 60.00, 75.00, 44.44, 28.57, 66.67, 50.00,1,蒲　郡
2019-05-27, 55, 31, 21, 64, 52, 41, 39.68, 28.16, 37.50, 40.37, 36.36, 30.43, 57.14, 43.69, 50.00, 57.80, 61.16, 45.65,1,常　滑
2019-05-27, 41, 49, 43, 27, 44, 29, 37.76, 28.87, 28.06, 46.79, 35.90, 35.58, 53.15, 46.48, 36.69, 67.95, 48.72, 53.99,1,　津　
2019-05-27, 76, 28, 54, 70, 18, 78,  0.00, 39.29, 29.41,  4.55, 20.83, 32.00, 27.27, 53.57, 35.29,  9.09, 33.33, 48.00,1,鳴　門
2019-05-27,  8, 19,  5, 32, 22, 62, 35.14, 28.07, 25.71, 23.08, 44.95, 30.48, 52.25, 44.74, 40.95, 46.15, 59.63, 44.76,1,丸　亀
2019-05-27, 47, 36, 31, 45,  2, 59, 45.95, 34.51, 37.17, 30.09, 25.51, 33.98, 62.16, 48.67, 53.98, 46.02, 40.82, 54.37,1,若　松
2019-05-27, 58,  1, 44,  3, 30, 15, 24.76, 36.80, 40.08, 39.02, 40.08, 34.13, 42.38, 54.00, 58.37, 54.47, 56.12, 49.52,1,芦　屋
2019-05-27, 13, 56, 37, 36, 16, 62, 31.67, 37.64, 34.27, 26.74, 39.76, 28.83, 48.89, 53.37, 51.12, 41.71, 60.24, 41.72,1,唐　津
2019-05-27, 16, 74, 17, 54, 31, 15, 28.33, 39.71, 25.42, 16.07, 26.98, 34.78, 48.33, 52.94, 47.46, 35.71, 46.03, 47.83,1,大　村
2019-05-27, 69, 53, 74, 29, 63, 22, 30.56, 45.50, 39.56, 41.01, 37.56, 33.48, 46.76, 63.06, 57.33, 62.21, 56.56, 52.23,2,平和島
2019-05-27, 37, 25, 46, 35, 54, 13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2,多摩川
2019-05-27,  6, 15, 26, 49, 61, 39, 48.48, 10.34, 13.33, 33.33, 53.57, 41.38, 51.52, 31.03, 26.67, 55.56, 71.43, 51.72,2,浜名湖
2019-05-27, 33, 17, 28, 11, 31, 40, 26.32, 83.33, 27.78, 45.45, 33.33, 37.50, 47.37, 91.67, 44.44, 72.73, 52.38, 62.50,2,蒲　郡
2019-05-27,  9, 28, 19, 18, 58, 50, 38.26, 40.74, 28.57, 23.36, 41.44, 30.09, 53.91, 63.89, 40.82, 38.32, 62.16, 39.82,2,常　滑
2019-05-27, 24, 57, 68, 56, 46, 73, 24.56, 39.22, 32.12, 40.28, 31.58, 35.37, 37.72, 56.21, 52.55, 52.08, 43.86, 57.82,2,　津　
2019-05-27, 27, 74, 15, 58, 65, 73, 32.00, 59.26, 45.83, 13.64, 40.91, 41.94, 44.00, 85.19, 50.00, 36.36, 50.00, 87.10,2,鳴　門
2019-05-27, 48, 64, 25, 61, 53, 33, 33.04, 30.77, 22.55, 20.62, 31.25, 32.32, 56.25, 45.30, 39.22, 39.18, 50.00, 54.55,2,丸　亀
2019-05-27, 27, 16, 38, 11, 17, 33, 46.79, 33.64, 35.92, 25.00, 25.81, 36.63, 57.80, 50.91, 48.54, 47.92, 47.31, 50.50,2,若　松
2019-05-27, 39, 56,  2, 34, 22, 25, 35.19, 31.10, 36.89, 37.30, 37.66, 35.74, 58.37, 46.41, 59.02, 52.87, 55.65, 53.19,2,芦　屋
2019-05-27, 20, 32, 67, 50, 55, 26, 40.72, 27.43, 28.88, 38.86, 33.51, 44.51, 55.69, 41.71, 50.80, 56.57, 55.32, 64.02,2,唐　津
2019-05-27, 57, 30, 56, 46, 47, 14, 22.22, 20.97,  7.41, 34.62, 22.22, 44.12, 34.92, 30.65, 20.37, 67.31, 52.38, 55.88,2,大　村
2019-05-27, 58, 26, 33, 55, 28, 68, 38.89, 40.74, 32.57, 35.05, 35.27, 31.70, 60.65, 54.63, 53.21, 45.79, 51.79, 50.00,3,平和島
2019-05-27, 27, 70, 22, 53, 20, 64,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,3,多摩川
2019-05-27, 11, 29, 57,  4, 64, 47, 37.14, 34.15, 28.00, 27.78, 46.15, 26.47, 57.14, 51.22, 36.00, 50.00, 50.00, 44.12,3,浜名湖
2019-05-27, 71, 74, 45, 14, 30, 50, 55.56, 50.00, 46.15, 36.36, 36.84, 33.33, 88.89, 80.00, 61.54, 54.55, 47.37, 66.67,3,蒲　郡
2019-05-27, 15, 39, 54, 17, 63, 37, 39.62, 30.84, 33.91, 26.47, 34.75, 31.19, 56.60, 42.06, 47.83, 39.22, 50.00, 48.62,3,常　滑
2019-05-27, 25, 14, 13, 64, 11, 17, 38.62, 24.67, 36.11, 37.16, 35.76, 29.11, 51.72, 42.00, 52.78, 52.70, 48.34, 47.47,3,　津　
2019-05-27, 56, 50, 31, 25, 22, 34, 21.74, 71.43, 29.63, 20.83, 82.35, 38.46, 56.52, 90.48, 44.44, 41.67, 94.12, 53.85,3,鳴　門
2019-05-27,  2,  1, 36, 27, 56, 58, 27.03, 37.74, 29.20, 45.71, 40.91, 33.94, 45.95, 57.55, 45.13, 61.90, 55.45, 51.38,3,丸　亀
2019-05-27, 28,  1, 53, 48, 19, 18, 30.84, 34.00, 30.77, 34.62, 37.27, 31.53, 46.73, 50.00, 47.12, 53.85, 53.64, 47.75,3,若　松
2019-05-27, 65, 23, 43,  4,  6, 32, 33.18, 30.87, 42.15, 29.25, 39.30, 43.40, 53.00, 51.30, 61.69, 47.43, 55.25, 60.43,3,芦　屋
2019-05-27, 21, 34, 22, 41, 38, 49, 32.04, 40.83, 25.42, 32.97, 30.41, 28.90, 51.93, 56.80, 45.20, 51.89, 47.95, 49.71,3,唐　津
2019-05-27, 18, 37, 20, 76, 28, 22, 25.40, 32.76, 30.30, 42.42, 35.38, 27.59, 49.21, 43.10, 51.52, 59.09, 58.46, 46.55,3,大　村
2019-05-27, 65, 51, 35, 24, 37, 50, 38.12, 33.02, 35.62, 32.86, 31.08, 33.94, 59.64, 48.11, 50.23, 48.36, 50.45, 50.92,4,平和島
2019-05-27, 60, 59, 36, 34, 39, 43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,4,多摩川
2019-05-27, 59, 25, 51, 18, 20, 32, 63.64, 10.00, 52.78, 33.33, 32.35, 13.04, 65.91, 20.00, 63.89, 51.52, 38.24, 26.09,4,浜名湖
2019-05-27, 16, 53, 35, 62, 48, 22, 46.15, 33.33, 44.44, 35.29, 58.33, 50.00, 53.85, 33.33, 44.44, 52.94, 83.33, 75.00,4,蒲　郡
2019-05-27, 46, 23, 40, 49, 59, 53, 30.97, 26.61, 41.67, 38.79, 41.07, 33.87, 53.98, 47.71, 59.26, 50.86, 62.50, 47.58,4,常　滑
2019-05-27, 69, 28, 51, 52, 66, 54, 24.39, 32.87, 44.52, 27.95, 30.32, 50.34, 43.90, 41.26, 62.33, 50.31, 44.52, 70.07,4,　津　
2019-05-27, 61, 33, 79, 55, 30, 16, 21.74, 23.08, 25.00,  9.09, 38.46, 26.09, 26.09, 34.62, 37.50, 13.64, 50.00, 43.48,4,鳴　門
2019-05-27, 40, 31, 66, 21, 26, 35, 38.18, 25.93, 28.85, 24.53, 31.13, 43.75, 58.18, 41.67, 47.12, 40.57, 48.11, 64.29,4,丸　亀
2019-05-27, 50,  4, 20, 32, 56, 42, 39.29, 33.33, 35.51, 45.19, 38.18, 41.67, 50.89, 48.65, 42.99, 67.31, 48.18, 60.19,4,若　松
2019-05-27, 18, 13, 21, 42, 61, 38, 36.44, 36.61, 32.05, 50.66, 33.04, 42.34, 60.17, 58.27, 52.14, 65.20, 48.02, 61.69,4,芦　屋
2019-05-27, 63, 43, 48, 51, 42, 30, 37.43, 47.31, 30.60, 38.04, 28.88, 36.61, 53.48, 64.67, 50.27, 59.24, 40.64, 55.74,4,唐　津
2019-05-27, 55, 49, 50, 36, 38, 35, 32.86, 39.29, 31.82, 38.03, 59.15, 16.00, 45.71, 58.93, 40.91, 57.75, 76.06, 34.00,4,大　村
2019-05-27, 60, 16, 46, 30, 12, 54, 31.07, 38.67, 33.49, 29.86, 34.98, 50.00, 46.60, 56.44, 48.17, 47.06, 52.47, 64.16,5,平和島
2019-05-27, 66, 17, 23, 30, 48, 51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,5,多摩川
2019-05-27, 40, 38, 30, 58, 56, 45, 36.36, 37.50, 28.57, 38.24, 29.41, 34.38, 54.55, 62.50, 34.29, 61.76, 50.00, 50.00,5,浜名湖
2019-05-27, 55, 38, 41, 27, 69, 37, 42.11, 37.50, 44.44, 61.90, 44.44, 22.22, 57.89, 50.00, 66.67, 76.19, 66.67, 44.44,5,蒲　郡
2019-05-27, 61, 35, 62, 24, 43, 52, 40.00, 44.25, 29.13, 37.27, 28.30, 36.36, 56.36, 64.60, 43.69, 57.27, 48.11, 61.16,5,常　滑
2019-05-27, 23, 39, 38, 67, 47, 49, 32.52, 36.94, 27.63, 27.78, 24.34, 28.87, 49.08, 54.14, 45.39, 44.44, 42.11, 46.48,5,　津　
2019-05-27, 13, 26, 36, 67, 78, 37, 16.67, 44.44, 25.00, 16.00, 32.00, 10.71, 37.50, 66.67, 45.83, 36.00, 48.00, 46.43,5,鳴　門
2019-05-27, 60, 46, 14, 15,  7, 63, 25.44, 32.43, 39.09, 41.07, 25.23, 34.26, 42.98, 44.14, 56.36, 48.21, 51.40, 55.56,5,丸　亀
2019-05-27, 49, 43, 25, 10, 34, 31, 49.02, 30.17, 33.04, 49.55, 28.44, 37.17, 66.67, 50.86, 53.57, 70.27, 44.95, 53.98,5,若　松
2019-05-27, 63, 41, 29, 44, 45, 49, 29.82, 34.62, 33.01, 40.08, 39.45, 33.91, 46.33, 51.44, 51.46, 58.37, 54.30, 54.94,5,芦　屋
2019-05-27, 40, 65, 45, 16, 14, 33, 30.23, 33.15, 26.82, 39.76, 32.97, 26.63, 47.67, 51.09, 41.90, 60.24, 45.41, 44.02,5,唐　津
2019-05-27, 71, 66, 65, 31, 51, 25, 30.16, 45.95, 37.70, 26.98, 34.43, 48.48, 50.79, 62.16, 52.46, 46.03, 47.54, 65.15,5,大　村
2019-05-27, 11, 47, 13, 52, 14, 67, 33.33, 35.20, 36.82, 38.05, 38.18, 32.24, 48.48, 58.67, 48.64, 55.31, 56.82, 50.47,6,平和島
2019-05-27, 42, 13, 56, 50, 21, 33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,6,多摩川
2019-05-27, 27, 55, 22, 12, 52, 66, 30.30, 28.13, 29.41, 52.78, 25.93, 32.50, 48.48, 53.13, 41.18, 72.22, 59.26, 52.50,6,浜名湖
2019-05-27, 65, 51, 32, 58, 33, 21, 23.53, 33.33, 35.00, 33.33, 26.32, 23.53, 29.41, 50.00, 60.00, 50.00, 47.37, 41.18,6,蒲　郡
2019-05-27, 64,  5, 33,  7, 50, 65, 40.37, 29.59, 40.37, 45.26, 30.09, 35.14, 57.80, 46.94, 54.13, 65.26, 39.82, 50.45,6,常　滑
2019-05-27, 27, 21, 48, 68, 53, 12, 46.79, 41.01, 29.45, 32.12, 34.19, 28.87, 67.95, 60.43, 43.56, 52.55, 50.32, 50.70,6,　津　
