boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
 64, 17, 74, 71, 23, 14, 32.51, 45.65, 33.17, 32.49, 34.26, 36.32, 54.68, 59.42, 46.04, 48.73, 53.70, 52.63,2019-06-09, 23, 59, 61, 25, 46, 34, 33.80, 34.66, 41.48, 38.32, 32.75, 33.04, 46.30, 55.11, 55.68, 57.01, 54.97, 52.61,1,戸　田
 38, 45, 72, 73, 55, 61, 26.45, 33.55, 34.42, 25.32, 41.51, 32.48, 40.65, 47.37, 51.95, 40.26, 52.83, 50.32,2019-06-09, 13, 14, 49, 56, 46, 60, 29.73, 32.56, 33.33, 31.11, 41.86, 46.51, 48.65, 55.81, 52.78, 57.78, 72.09, 60.47,1,浜名湖
 42, 50, 51, 58, 46, 19, 36.62, 32.48, 35.04, 33.33, 27.93, 33.00, 48.83, 46.58, 52.56, 53.33, 48.04, 49.26,2019-06-09, 31, 14, 30,  4, 60, 62, 26.13, 22.86, 20.37, 20.19, 28.21, 29.17, 40.54, 42.86, 38.89, 28.85, 40.17, 43.33,1,常　滑
 27, 33, 49, 40, 58, 13, 31.21, 33.33, 29.63, 22.56, 40.00, 23.21, 54.14, 55.77, 51.11, 44.36, 57.14, 35.71,2019-06-09, 64, 50, 20, 41, 47, 53, 38.85, 27.06, 33.56, 37.09, 24.07, 35.76, 53.50, 39.41, 51.01, 52.32, 41.98, 52.73,1,　津　
 15, 23, 21, 12, 47, 46,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,2019-06-09, 57, 38, 13, 56, 21, 51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,1,びわこ
 22, 50, 53, 67, 62, 86, 34.09, 28.57, 42.22, 33.33, 34.78, 38.46, 52.27, 42.86, 60.00, 47.62, 52.17, 69.23,2019-06-09, 78, 81, 89, 80, 32, 16, 44.44, 37.21, 35.14, 23.91, 22.73, 31.82, 69.44, 53.49, 48.65, 54.35, 47.73, 50.00,1,住之江
 50, 39, 31, 19, 46, 48, 56.00, 14.29, 41.54, 39.51, 25.49, 45.78, 68.00, 36.51, 66.15, 54.32, 41.18, 61.45,2019-06-09, 12, 68, 39, 54, 44, 26, 35.58, 38.10, 24.51, 51.55, 26.60, 32.35, 56.73, 62.86, 34.31, 67.01, 44.68, 46.08,1,児　島
 24, 15, 22, 19, 41, 33, 25.61, 37.58, 27.39, 38.37, 34.25, 38.19, 42.07, 53.94, 39.49, 52.91, 48.62, 53.47,2019-06-09, 26, 47, 33, 72, 63, 55, 33.14, 42.50, 34.52, 30.95, 39.76, 47.50, 51.43, 61.88, 53.57, 45.83, 55.42, 67.50,1,宮　島
 37, 27, 36, 21, 42, 15, 39.67, 34.17, 35.04, 31.36, 24.76, 35.83, 62.81, 57.50, 54.70, 49.15, 37.14, 56.67,2019-06-09, 34, 44, 20, 45, 48, 22, 35.00, 50.00, 42.11, 57.14,  0.00,  5.56, 40.00, 55.00, 52.63, 85.71,  0.00, 44.44,1,徳　山
 12, 17, 39, 65, 48, 36, 37.25, 28.85, 27.45, 19.23, 33.33, 18.52, 58.82, 40.38, 41.18, 25.00, 39.22, 35.19,2019-06-09, 13, 12, 43, 37, 38, 47, 32.14, 31.11, 42.31, 34.55, 43.86, 44.64, 46.43, 51.11, 57.69, 54.55, 70.18, 62.50,1,下　関
