date,venue,raceNumber,CS_ST_1_1,CS_ST_1_10,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_10,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_10,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_10,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_10,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-06-27,桐　生,1,.13,,,.22,.20,,,,,,.20,,,.10,,,,,,,.25,,.12,.22,,,,,,,.22,,.14,.11,.18,,,,,,.09,,,.11,,,,,,,.20,,.18,.16,,,,,,,2,,,5,6,,,,,,3,,,6,,,,,,,1,,4,6,,,,,,,3,,6,2,1,,,,,,6,,,6,,,,,,,1,,2,4,,,,,,,2,,,5,6,,,,,,4,,,5,,,,,,,1,,4,6,,,,,,,3,,6,2,1,,,,,,6,,,6,,,,,,,1,,2,4,,,,,,,2,,,2,10,,,,,,3,,,9,,,,,,,4,,8,5,,,,,,,5,,12,7,11,,,,,,6,,,1,,,,,,,1,,8,11,,,,,,,２,,,６,６,,,,,,３,,,６,,,,,,,４,,５,５,,,,,,,２,,２,４,２,,,,,,６,,,５,,,,,,,１,,３,３,,,,,,,0.16,0.16,0.16,0.15,   -,0.19, 40, 43, 59, 41, 39, 19, 22.73, 42.45, 27.48, 36.62, 34.06, 33.81, 33.33, 60.43, 38.17, 53.52, 52.90, 49.64, 72, 34, 47, 17, 24, 13, 38.53, 35.24, 49.48, 32.43, 55.05, 29.92, 55.05, 52.38, 60.82, 41.44, 68.81, 49.61,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,31.03,20.00,35.29,46.30, 0.00,31.86,24.49,20.25,20.00,45.95, 0.00,29.03,51.72,20.00,35.29,68.52, 0.00,54.87,39.80,36.71,41.11,63.06, 0.00,46.24,堂　原　　洋　史,上　村　　宏　太,田野邊　　秀　樹,杉　山　　貴　博,大　塚　　雅　治,寺　本　　昇　平,3503,4945,3575,4134,5063,3947, 5.07, 3.00, 5.00, 6.81, 1.25, 5.35, 4.53, 3.95, 4.54, 6.34, 1.09, 5.08
2019-06-27,戸　田,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,0.22,0.17,0.20,   -, 19, 15, 22, 21, 30, 16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 30,  7, 28,  8, 25, 41,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,50.00,28.13,14.29, 0.00,26.67, 4.55,28.04,32.11,32.38,30.85,27.03, 1.85,66.67,53.13,28.57,22.22,46.67, 4.55,48.60,55.05,48.57,46.81,45.95, 1.85,織　田　　　　猛,浦　上　　拓　也,小　林　　基　樹,西　田　　　　靖,柴　田　　直　哉,松　本　　純　平,3858,3881,4041,3072,4892,5051, 7.00, 5.38, 3.50, 3.00, 5.00, 2.05, 4.97, 5.44, 4.89, 5.11, 4.84, 1.76
2019-06-27,平和島,1,.25,,.10,.22,,.18,.25,,,,.09,,.24,.11,,.17,.26,,,,.11,,.10,.10,,.25,.09,,,,.11,,,.37,.11,.10,,,,,.25,,,.13,.17,.15,,,,,.19,,.13,.11,,.12,.06,,,,4,,2,3,,5,6,,,,1,,5,2,,3,6,,,,5,,1,3,,2,5,,,,5,,,2,3,1,,,,,6,,,1,3,4,,,,,1,,4,2,,3,6,,,,4,,2,3,,5,6,,,,1,,5,2,,3,6,,,,5,,1,3,,2,4,,,,5,,,2,3,1,,,,,6,,,1,3,4,,,,,1,,4,2,,3,5,,,,4,,9,8,,4,8,,,,4,,10,10,,2,10,,,,7,,11,10,,3,11,,,,2,,,1,7,1,,,,,7,,,3,12,4,,,,,3,,8,6,,1,9,,,,４,,６,５,,５,５,,,,２,,４,２,,３,５,,,,４,,１,４,,３,２,,,,５,,,６,４,２,,,,,３,,,６,６,４,,,,,３,,５,３,,５,４,,,,0.15,0.19,0.19,0.17,0.21,0.19, 20, 32, 10, 57, 60, 63, 63.64, 22.22, 50.00, 75.00,  0.00,  0.00, 72.73, 22.22, 50.00,100.00,  0.00,  0.00, 60, 13, 49, 40, 25, 11, 50.00, 22.22, 40.00,  0.00,  0.00, 11.11, 80.00, 44.44, 60.00,  0.00,  0.00, 11.11,F1,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,13.33,12.00,44.44,13.56, 0.00,13.64,15.53,24.55,39.13,17.39,15.58,11.11,26.67,36.00,66.67,33.90, 0.00,31.82,27.18,36.36,55.80,34.78,33.77,27.78,中　北　　　　涼,武　藤　　綾　子,谷　川　　里　江,門　間　　雄　大,菅　野　　はやか,西　舘　　果　里,4924,3604,3302,4895,4275,4781, 3.77, 4.04, 6.56, 3.73, 0.00, 3.59, 3.81, 4.36, 5.82, 3.84, 3.96, 3.53
2019-06-27,蒲　郡,1,.29,,.18,.18,,.11,.25,.08,,.23,.43,.14,,.15,.10,.23,,.12,,.21,.34,,.06,.13,,.32,.14,.25,,.10,.29,.12,,.22,.14,.15,,.17,,.17,.32,,.22,.15,,.15,.15,.05,,.19,.21,,.25,.22,,.38,.37,.08,,.31,5,,1,3,,3,6,6,,5,6,3,,1,5,2,,6,,4,4,,3,4,,1,2,4,,2,6,4,,4,6,2,,4,,5,3,,4,5,,2,6,4,,2,3,,3,3,,1,5,6,,6,4,,1,2,,3,6,4,,4,6,3,,1,4,2,,5,,4,6,,3,4,,1,2,5,,2,6,2,,4,3,2,,1,,5,3,,4,5,,2,6,1,,2,6,,3,4,,1,5,6,,6,1,,6,9,,1,8,4,,5,5,7,,1,8,2,,2,,1,1,,10,4,,3,7,4,,1,9,8,,2,6,5,,8,,2,2,,6,1,,1,9,5,,2,3,,7,6,,1,6,1,,7,２,,５,３,,５,６,５,,６,６,４,,６,６,５,,６,,６,４,,３,５,,６,５,４,,２,３,４,,６,５,２,,４,,３,５,,６,３,,１,５,４,,５,３,,６,６,,６,６,４,,６,0.18,0.16,0.19,0.17,0.18,0.23, 71, 33, 63, 21, 62, 73, 37.93, 35.71, 34.48, 24.00, 50.00, 28.57, 51.72, 46.43, 51.72, 36.00, 64.71, 57.14, 31, 58, 32, 66, 26, 70, 24.14, 35.71, 34.21, 37.84, 31.03, 44.44, 41.38, 57.14, 55.26, 56.76, 48.28, 55.56,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,17.50,13.33,16.67,31.58,37.50, 7.14,27.37,15.31,17.78,21.25,16.95,17.95,35.00,20.00,27.78,52.63,37.50,28.57,38.95,27.55,36.67,35.00,38.98,35.90,森　　　　弘　行,河　相　　秀　行,中　西　　宏　文,松　尾　　宣　邦,坪　内　　　　実,有　田　　　　岳,3467,3417,3123,3434,3370,3398, 4.25, 3.27, 3.06, 5.47, 4.50, 3.50, 4.45, 3.63, 4.01, 4.23, 4.14, 3.77
2019-06-27,　津　,1,.15,,.14,.10,,,,,,,.16,,.18,.18,.11,,,,,,.13,,.19,.17,,,,,,,.07,,.19,.32,,,,,,,.28,,,.13,.06,,,,,,.05,,.11,.11,,,,,,,6,,3,5,,,,,,,3,,1,5,5,,,,,,1,,4,5,,,,,,,6,,5,5,,,,,,,1,,,4,5,,,,,,2,,3,4,,,,,,,6,,3,5,,,,,,,3,,1,4,5,,,,,,1,,4,5,,,,,,,6,,5,4,,,,,,,1,,,6,3,,,,,,2,,3,4,,,,,,,7,,11,8,,,,,,,1,,8,3,12,,,,,,4,,8,5,,,,,,,1,,5,2,,,,,,,6,,,2,6,,,,,,3,,8,1,,,,,,,５,,２,３,,,,,,,２,,５,５,４,,,,,,４,,３,４,,,,,,,４,,６,５,,,,,,,５,,,４,４,,,,,,３,,２,１,,,,,,,0.15,0.23,0.21,0.20,0.16,0.15, 73, 14, 58, 54, 69, 61, 34.52, 31.85, 38.93, 36.62, 34.50, 40.85, 54.76, 50.32, 56.38, 53.52, 53.22, 56.10, 24, 39, 60, 47, 64, 41, 24.44, 35.50, 25.43, 23.98, 41.01, 35.58, 38.52, 52.07, 42.20, 42.11, 56.18, 50.92,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,40.00, 0.00,20.00, 0.00,25.00, 0.00,46.56,24.47,35.56, 0.00,25.53,23.94,60.00, 0.00,65.00, 0.00,50.00,23.53,64.89,40.43,62.22, 2.27,40.43,35.21,小　坂　　尚　哉,山　口　　隆　史,松　村　　康　太,宮　村　　勇　哉,西　舘　　　　健,西　尾　　亮　輔,4295,4368,4210,5020,4345,4752, 6.24, 0.00, 5.60, 1.12, 4.88, 3.06, 6.40, 4.59, 5.98, 1.27, 4.39, 4.41
2019-06-27,びわこ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.12,0.17,0.16,0.16,0.16, 33, 70, 52, 43, 29, 11, 26.32, 45.45, 20.00, 21.05, 42.11, 75.00, 57.89, 81.82, 50.00, 31.58, 68.42, 95.00, 36, 34, 28, 56, 21, 60, 36.84, 11.76, 55.00, 33.33, 31.58, 36.36, 63.16, 35.29, 85.00, 44.44, 52.63, 54.55,F0,F0,F1,F0,F1,F0,L0,L0,L0,L0,L0,L0,43.42,38.89,24.32, 0.00,35.00,30.77,37.38,41.07,34.88,26.67,48.06,23.68,63.16,61.11,48.65, 0.00,50.00,46.15,57.94,54.46,58.14,41.11,72.09,35.96,木　村　　仁　紀,板　橋　　侑　我,上　條　　嘉　嗣,澤　崎　　雄　哉,高　田　　ひかる,梅　木　　敬　太,4743,4933,4514,4880,4804,4876, 6.14, 5.89, 4.86, 0.00, 5.23, 5.00, 5.77, 5.73, 5.66, 4.51, 6.56, 4.39
2019-06-27,鳴　門,1,.15,,.25,,,,,,,,.13,,,,,,,,,,.29,,,,,,,,,,.21,,,,,,,,,,.12,,,,,,,,,,.12,,,,,,,,,,4,,5,,,,,,,,5,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,4,,5,,,,,,,,5,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,6,,12,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,9,,,,,,,,,,8,,,,,,,,,,４,,３,,,,,,,,６,,,,,,,,,,６,,,,,,,,,,５,,,,,,,,,,２,,,,,,,,,,３,,,,,,,,,,0.15,0.13,0.19,0.23,0.19,0.16, 65, 67, 75, 33, 19, 63, 20.59, 35.29, 18.18, 41.03, 21.62, 38.89, 32.35, 58.82, 30.30, 56.41, 40.54, 61.11, 28, 15, 59, 21, 13, 52, 37.78, 46.34, 43.75, 26.32, 26.32, 43.75, 53.33, 60.98, 53.13, 55.26, 42.11, 59.38,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,41.38, 0.00,28.57, 0.00,17.65,38.89,42.65, 3.92,24.53, 0.00,13.08,31.96,75.86, 1.56,57.14, 0.00,29.41,38.89,61.76, 3.92,32.08, 5.63,30.84,39.18,谷　野　　錬　志,宮　崎　　光　基,立　具　　敬　司,大　賀　　龍之介,笠　井　　広　幸,小　倉　　康　典,4342,4968,4865,5009,3750,4203, 6.55, 1.58, 4.86, 1.71, 3.99, 4.50, 6.43, 1.98, 4.08, 1.89, 3.86, 4.41
2019-06-27,丸　亀,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.14,0.18,0.17,0.14,0.14, 49, 47, 57,  4, 54,  8, 31.12, 44.66, 34.65, 29.59, 32.12, 40.80, 46.43, 60.19, 50.00, 45.92, 45.60, 58.71, 15,  3, 50, 55,  1, 56, 37.21, 31.15, 34.56, 32.56, 39.20, 41.41, 43.41, 45.90, 50.74, 51.16, 57.60, 56.25,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,42.50,22.22, 0.00,15.38,22.22,55.56,43.84,23.19,30.53,23.94,49.19,46.28,61.50,33.33, 0.00,34.62,33.33,72.22,62.33,32.61,51.58,39.44,64.52,64.46,竹　田　　和　哉,江　頭　　賢　太,新　開　　　　航,新　田　　有　理,藤　原　　啓史朗,島　村　　隆　幸,4776,4855,4932,4870,4762,4685, 5.96, 3.72, 0.00, 4.27, 4.33, 7.28, 6.26, 4.10, 5.17, 4.58, 6.22, 6.64
2019-06-27,宮　島,1,.19,,.19,.18,.18,.15,.15,,,,.21,,,.20,.09,.23,,,,,.10,,.22,.14,,.05,,,,,.22,,.26,.08,,.29,,,,,.19,,,.08,.17,.12,,,,,.12,,.18,.25,,.11,,,,,1,,5,2,6,3,5,,,,6,,,1,4,5,,,,,3,,2,6,,1,,,,,3,,5,2,,1,,,,,2,,,3,5,4,,,,,2,,3,6,,1,,,,,1,,5,2,6,3,5,,,,6,,,1,4,5,,,,,3,,2,6,,1,,,,,3,,5,2,,1,,,,,2,,,3,5,5,,,,,2,,3,6,,1,,,,,6,,11,3,7,7,12,,,,11,,,4,8,2,,,,,1,,9,2,,3,,,,,4,,8,7,,4,,,,,7,,,1,7,9,,,,,1,,7,9,,2,,,,,２,,３,１,６,５,５,,,,６,,,２,６,６,,,,,５,,６,３,,３,,,,,５,,５,４,,６,,,,,３,,,４,３,２,,,,,３,,６,５,,４,,,,,0.16,0.18,0.19,0.17,0.17,0.14, 52, 58, 41, 54, 19, 17, 30.34, 29.76, 33.67, 37.76, 38.92, 30.39, 47.75, 50.00, 47.24, 58.16, 52.97, 45.30, 18, 69, 22, 48, 47, 39, 21.38, 28.03, 26.83, 27.33, 42.01, 22.22, 44.83, 39.49, 42.68, 43.60, 60.95, 38.19,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,36.36,17.65,25.00,33.33,23.68, 3.16,44.20,20.62,17.28,25.58,24.04, 5.95,50.00,35.29,50.00,66.67,47.37, 7.37,57.25,35.05,35.80,38.37,39.42,16.67,林　　　　祐　介,近　藤　　稔　也,金　子　　順　一,宇　土　　泰　就,泉　　　　啓　文,福　田　　慶　尚,4214,3477,3539,3752,3775,4955, 5.18, 4.00, 4.50, 6.00, 4.53, 1.94, 5.76, 4.47, 3.94, 4.57, 4.28, 2.67
2019-06-27,徳　山,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.21,0.20,0.21,0.19,0.25, 23, 30, 62, 64, 53, 25, 31.54, 52.63, 42.54, 37.78, 35.29, 35.51, 46.15, 66.17, 62.69, 59.26, 47.06, 55.07, 11, 43, 72, 48, 65, 45, 21.43, 21.62, 43.75, 18.92, 30.00, 39.02, 35.71, 27.03, 62.50, 27.03, 50.00, 65.85,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,41.79, 7.69, 0.00, 8.89, 0.00, 0.00,43.38,11.69,20.31,20.59,26.04, 8.33,56.72,15.38,55.56,15.56,35.29, 0.00,60.29,33.77,26.56,33.33,47.92,33.33,佐々木　　裕　美,西　　　　茂登子,笠　野　　友紀恵,野　田　　祥　子,中　田　　夕　貴,横　田　　悠　衣,4045,3142,3528,4088,4900,4742, 5.87, 2.85, 4.33, 2.71, 3.24, 0.00, 5.94, 3.73, 3.84, 3.82, 4.63, 3.17
