date,venue,raceNumber,CS_ST_1_1,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-06-30,戸　田,1,.20,,.13,.15,.15,.15,,,,.11,,.20,.21,.15,,,,,.07,.27,.24,,.15,,,,,.16,,.15,.10,.08,,,,,.38,.18,.17,,.23,,,,,.28,,.16,.18,.07,,,,,3,,2,5,3,4,,,,4,,1,4,5,,,,,6,3,6,,1,,,,,2,,5,4,4,,,,,3,6,2,,1,,,,,5,,1,4,6,,,,,3,,2,5,3,4,,,,3,,1,4,5,,,,,4,2,6,,1,,,,,2,,5,4,3,,,,,3,6,2,,1,,,,,5,,1,4,3,,,,,7,,2,10,6,9,,,,5,,3,8,6,,,,,6,10,4,,1,,,,,8,,2,6,1,,,,,2,8,1,,4,,,,,2,,4,10,5,,,,,２,,３,２,３,５,,,,６,,３,６,５,,,,,３,４,６,,２,,,,,４,,４,３,３,,,,,６,６,２,,６,,,,,３,,５,４,６,,,,,0.19,0.17,0.16,0.19,0.19,0.20, 56, 35, 39, 18, 44, 38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4, 15, 42, 13, 34, 26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,F0,F0,F0,F1,F1,F0,L0,L0,L0,L0,L0,L0, 0.00,25.93,12.50,37.50,33.33,22.22,25.26,19.39,39.36,22.92,23.81,15.15, 0.00,40.74,43.75,50.00,53.33,44.44,38.95,31.63,58.51,36.46,28.57,24.24,三　宅　　爾　士,瀬　川　　公　則,鈴　木　　茂　高,森　　　　照　夫,新　地　　雅　洋,東　口　　　　晃,3044,4005,3967,4753,3079,4664, 0.00, 4.30, 4.56, 4.94, 5.67, 4.67, 4.82, 4.10, 5.74, 4.31, 3.69, 3.41
2019-06-30,江戸川,1,.14,.09,.12,,,,,,,.11,.27,.15,,,,,,,.19,,.25,.29,,,,,,.11,,.15,.12,,,,,,.12,.19,.21,,,,,,,.13,,.24,.29,,,,,,3,5,6,,,,,,,4,6,1,,,,,,,6,,4,2,,,,,,6,,2,3,,,,,,6,4,2,,,,,,,3,,1,4,,,,,,3,5,6,,,,,,,4,6,1,,,,,,,6,,4,2,,,,,,6,,2,3,,,,,,6,4,2,,,,,,,3,,1,4,,,,,,1,5,2,,,,,,,5,11,6,,,,,,,6,,1,7,,,,,,5,,1,5,,,,,,2,7,4,,,,,,,6,,4,12,,,,,,５,６,５,,,,,,,５,６,５,,,,,,,５,,２,４,,,,,,４,,５,５,,,,,,５,６,４,,,,,,,２,,６,３,,,,,,0.15,0.23,0.19,0.16,0.22,0.16, 17, 63, 23, 64, 56, 36, 32.35, 32.35, 24.24, 48.57, 43.33, 40.00, 44.12, 61.76, 39.39, 80.00, 60.00, 72.00, 57, 12, 40, 45, 71, 53, 25.81, 33.33, 31.25, 33.33, 14.71, 43.75, 51.61, 36.36, 53.13, 53.33, 35.29, 68.75,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,11.54,20.00,28.57,28.57, 0.00,27.69,14.47,28.57,22.22,12.96,16.92,12.50,30.77,40.00,57.14,28.57,42.86,41.54,28.95,45.71,44.44,34.26,33.85,27.50,南　部　　圭　史,伊　藤　　紘　章,坂　井　　康　嗣,吉　田　　翔　悟,浜　本　　裕　己,マイケ　　ル田代,4221,4626,4106,4919,4834,4780, 3.38, 4.20, 5.71, 4.43, 4.86, 4.69, 3.59, 4.60, 4.59, 3.97, 4.00, 3.88
2019-06-30,浜名湖,1,.35,.20,,,,,,,,.67,.27,,,,,,,,.15,,,,,,,,,.17,,,,,,,,,.36,.09,,,,,,,,.39,,,,,,,,,5,3,,,,,,,,3,6,,,,,,,,5,,,,,,,,,6,,,,,,,,,2,6,,,,,,,,3,,,,,,,,,5,3,,,,,,,,3,6,,,,,,,,4,,,,,,,,,4,,,,,,,,,2,6,,,,,,,,3,,,,,,,,,1,6,,,,,,,,3,10,,,,,,,,4,,,,,,,,,5,,,,,,,,,1,8,,,,,,,,7,,,,,,,,,３,６,,,,,,,,６,５,,,,,,,,５,,,,,,,,,６,,,,,,,,,４,４,,,,,,,,６,,,,,,,,,0.17,0.16,0.18,0.18,0.20,0.20, 14, 76, 24, 23, 75, 63, 41.95, 38.89, 38.86, 34.46, 39.33, 35.26, 57.47, 54.32, 53.14, 50.85, 52.81, 58.38, 55, 37, 23, 48, 13, 25, 27.08, 27.12, 13.79, 31.37, 26.42, 14.04, 45.83, 49.15, 31.03, 54.90, 41.51, 29.82,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0, 7.14,25.00,20.00, 0.00,24.14,14.29,18.42,24.72,23.08, 1.72,16.84,14.67, 7.14,43.75,36.00, 5.88,48.28,57.14,39.47,43.82,43.59, 6.90,31.58,41.33,佐　竹　　太　一,宮　田　　政　勝,別　府　　正　幸,廣　瀬　　篤　哉,板　倉　　敦　史,山　口　　哲　治,4725,3734,4037,4992,4615,3025, 2.57, 4.63, 4.36, 1.94, 4.90, 5.00, 4.25, 4.51, 4.55, 2.22, 3.99, 4.29
2019-06-30,常　滑,1,.19,,,,,,,,,.18,,,,,,,,,.22,.12,,,,,,,,.29,,,,,,,,,.20,,,,,,,,,.22,.19,,,,,,,,5,,,,,,,,,4,,,,,,,,,5,3,,,,,,,,3,,,,,,,,,2,,,,,,,,,1,3,,,,,,,,6,,,,,,,,,4,,,,,,,,,6,3,,,,,,,,3,,,,,,,,,2,,,,,,,,,1,3,,,,,,,,6,,,,,,,,,3,,,,,,,,,2,11,,,,,,,,9,,,,,,,,,5,,,,,,,,,4,10,,,,,,,,４,,,,,,,,,４,,,,,,,,,４,３,,,,,,,,３,,,,,,,,,５,,,,,,,,,２,５,,,,,,,,0.16,0.18,0.15,0.16,0.14,0.18, 58, 67, 32, 49, 35, 66,100.00,  0.00, 22.22, 37.50, 42.86,  0.00,100.00,  0.00, 44.44, 37.50, 71.43,  0.00, 14,  9, 23, 60, 17, 46, 24.17, 36.88, 25.37, 27.14, 28.35, 30.71, 44.17, 51.77, 43.28, 38.57, 41.73, 52.86,F0,F0,F0,F1,F0,F0,L0,L0,L0,L0,L0,L0,37.50,33.33,35.29, 0.00,24.14,19.05,20.45,22.33,31.51,23.81,25.29,26.47,46.88,47.62,49.41, 0.00,41.38,47.62,43.18,33.01,46.58,44.05,33.33,38.24,広　瀬　　聖　仁,松　尾　　基　成,鋤　柄　　貴　俊,長　畑　　友　輔,中　林　　秀　人,森　　　　弘　行,3315,3741,3934,4274,3626,3467, 5.00, 5.10, 5.28, 0.00, 4.45, 4.57, 4.27, 4.32, 4.97, 4.69, 4.24, 4.36
2019-06-30,三　国,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,0.18,0.17,0.19,   -, 63, 38, 52, 56, 12, 11, 27.27, 38.46, 36.36, 31.91, 26.09, 24.44, 40.91, 56.41, 61.36, 59.57, 43.48, 37.78, 36, 19, 53, 62, 41, 63, 24.44, 38.78, 23.08, 22.73, 61.70, 32.61, 44.44, 55.10, 35.90, 36.36, 72.34, 54.35,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,25.00,30.00,50.00, 0.00,26.32, 0.00,40.15,22.88,20.43,14.55,30.00, 0.00,37.50,40.00,50.00, 0.00,52.63, 0.00,61.36,36.44,34.41,29.09,47.50, 0.00,河　村　　　　了,本　岡　　勝　利,守　屋　　大　地,山　口　　貢　輝,三　品　　隆　浩,為　本　　智　也,4308,4219,4672,4749,3202,5091, 5.00, 4.60, 5.50, 2.83, 5.11, 1.71, 6.36, 4.41, 3.94, 3.75, 4.96, 1.43
2019-06-30,びわこ,1,.14,.08,.32,,.11,,,,,.11,.28,.07,,.42,,,,,.16,,.16,.08,.25,,,,,.18,,.33,.16,.37,,,,,.11,,.16,.09,.10,,,,,.14,,.32,.08,.01,,,,,4,2,6,,3,,,,,2,4,6,,4,,,,,1,,5,2,4,,,,,2,,6,3,1,,,,,2,,6,3,4,,,,,5,,4,1,3,,,,,4,2,6,,3,,,,,1,4,6,,3,,,,,1,,5,2,4,,,,,2,,6,3,1,,,,,2,,6,3,4,,,,,5,,4,1,3,,,,,2,7,4,,9,,,,,2,11,11,,7,,,,,6,,2,9,8,,,,,6,,3,11,2,,,,,12,,5,9,6,,,,,10,,4,10,1,,,,,３,５,５,,３,,,,,６,６,３,,６,,,,,２,,３,２,４,,,,,５,,４,６,６,,,,,３,,４,３,４,,,,,４,,６,１,Ｆ,,,,,0.12,0.17,0.18,0.17,0.13,0.17, 65, 41, 36, 69, 57, 18, 36.36, 33.33, 45.00, 25.00, 55.56, 16.67, 54.55, 46.67, 60.00, 25.00, 55.56, 33.33, 22, 48, 14, 44, 30, 31, 35.00, 45.00, 35.00, 44.44, 60.00, 35.71, 50.00, 70.00, 60.00, 44.44, 80.00, 42.86,F0,F0,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,50.00,37.84,55.56,22.22,63.64,12.50,45.67,44.12,29.82,20.00,60.93,35.96,60.00,54.05,77.78,33.33,81.82,25.00,56.69,56.86,50.88,40.91,74.17,57.89,馬　場　　　　剛,関　野　　　　文,吉　川　　貴　仁,千　葉　　真　弥,磯　部　　　　誠,黒　野　　元　基,4769,4927,4926,4775,4586,4960, 6.30, 5.54, 7.44, 4.33, 7.91, 3.75, 6.05, 6.04, 5.21, 4.36, 7.48, 5.61
2019-06-30,住之江,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.17,0.16,0.14,0.19,0.17, 70, 35, 61, 12, 69, 85, 25.45, 20.00, 40.38, 31.25, 37.25, 18.18, 45.45, 46.00, 57.69, 54.17, 49.02, 36.36, 16, 78, 69, 56, 54, 24, 31.48, 43.14, 42.59, 20.75, 15.09, 30.36, 46.30, 66.67, 59.26, 28.30, 30.19, 51.79,F0,F0,F0,F1,F0,F1,L0,L0,L0,L0,L0,L0,28.57,26.32,29.03,12.50, 0.00,35.85,31.91,28.00,48.97,17.89,16.28,30.56,48.81,57.89,64.52,25.00, 0.00,52.83,46.81,47.00,64.83,33.68,37.21,43.52,向　　　　達　哉,遠　藤　　晃　司,長　野　　壮志郎,和　合　　俊　介,坂　本　　徳　克,沢　田　　昭　宏,3725,3336,4155,4268,3565,4411, 4.92, 5.53, 5.68, 3.63, 0.00, 5.63, 4.81, 4.99, 6.33, 3.97, 3.86, 4.87
2019-06-30,尼　崎,1,.21,,.21,.16,,,,,,.14,.17,.24,,,,,,,.11,.16,.16,.15,,,,,,.18,,.15,.18,,,,,,.26,,.24,.25,,,,,,.17,,.21,.19,,,,,,2,,3,4,,,,,,3,6,1,,,,,,,1,4,2,5,,,,,,2,,5,3,,,,,,2,,4,4,,,,,,2,,5,3,,,,,,2,,3,5,,,,,,3,6,1,,,,,,,1,4,2,5,,,,,,2,,5,3,,,,,,2,,3,4,,,,,,2,,5,3,,,,,,9,,4,8,,,,,,5,10,1,,,,,,,7,12,3,10,,,,,,10,,3,8,,,,,,1,,2,6,,,,,,5,,6,9,,,,,,５,,５,２,,,,,,５,４,５,,,,,,,１,３,５,３,,,,,,５,,３,３,,,,,,４,,４,６,,,,,,４,,５,４,,,,,,0.19,0.13,0.16,0.16,0.15,0.20, 15, 65, 39, 25, 35, 29, 34.62, 40.00, 27.27, 38.10, 30.43, 36.84, 61.54, 45.00, 40.91, 66.67, 73.91, 42.11, 13, 51, 15, 30, 48, 57, 19.23, 33.33, 41.94, 39.29, 17.24, 29.63, 42.31, 44.44, 54.84, 50.00, 41.38, 51.85,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,29.41,57.14,46.97,16.67,33.33, 5.56,29.73,31.08,64.52,23.81,10.00,14.29,58.82,71.43,71.21,41.67,44.44,16.67,45.05,45.95,79.03,33.33,25.71,36.90,天　野　　　　誠,吉　田　　健太郎,金　子　　龍　介,寺　本　　武　司,福　本　　忠　治,吉　岡　　　　誠,3787,4021,3795,3571,3325,3567, 5.53, 7.14, 6.52, 4.46, 4.44, 2.89, 4.74, 4.74, 7.35, 4.19, 3.29, 4.01
2019-06-30,鳴　門,1,.25,.31,.30,,.22,.19,.18,.17,,.27,.21,.31,,.15,.15,.27,,,.16,,.26,.20,.23,.29,.14,,,.14,,.22,.19,.18,,.26,.12,,.21,,.20,.16,.21,,.21,.10,,.13,,.08,.30,.08,.14,.12,,,2,5,6,,3,1,4,3,,5,2,6,,2,1,4,,,4,,4,1,5,6,2,,,4,,1,2,6,,5,4,,6,,5,6,6,,4,5,,5,,2,4,3,1,3,,,2,5,6,,3,1,4,3,,5,2,6,,3,1,4,,,4,,3,1,4,6,2,,,3,,1,2,6,,5,4,,6,,4,6,5,,4,5,,5,,2,4,3,1,3,,,4,11,2,,6,11,8,12,,4,8,7,,1,5,9,,,1,,3,7,1,6,4,,,7,,2,6,3,,1,6,,4,,1,5,4,,1,8,,1,,1,7,3,7,3,,,３,２,３,,２,１,４,５,,６,５,３,,２,３,３,,,３,,５,２,６,４,５,,,５,,６,４,３,,３,６,,５,,６,６,６,,５,６,,６,,２,５,４,３,６,,,0.20,0.20,0.20,0.19,0.23,0.13, 16, 31, 55, 37, 33, 67, 29.41, 35.00, 25.71, 24.32, 41.03, 35.29, 47.06, 60.00, 31.43, 37.84, 56.41, 58.82, 20, 57, 64, 12, 21, 15, 36.36, 37.50, 58.54, 45.45, 26.32, 46.34, 57.58, 53.13, 70.73, 60.61, 55.26, 60.98,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,40.74,33.33, 8.70,29.41, 0.00, 0.00,38.35,32.38,12.96,19.12, 0.00, 3.92,62.96,50.00,21.74,41.18, 0.00, 1.56,57.89,40.95,24.07,27.94, 5.63, 3.92,小　野　　勇　作,原　田　　智　和,安　東　　　　将,渥　美　　卓　郎,大　賀　　龍之介,宮　崎　　光　基,4006,3607,3695,4197,5009,4968, 5.56, 5.22, 3.57, 4.76, 1.71, 1.58, 5.65, 4.78, 3.30, 3.81, 1.89, 1.98
2019-06-30,丸　亀,1,.16,.13,.21,,.10,,,,,.08,,.13,.12,.14,,,,,.23,.16,.26,,.34,.17,,,,.23,,.22,.25,.05,,,,,.14,,.23,.21,.11,,,,,.13,,.13,.07,.11,.12,,,,3,6,5,,4,,,,,6,,1,4,5,,,,,1,4,2,,4,5,,,,5,,3,1,6,,,,,6,,4,6,1,,,,,2,,5,3,4,1,,,,3,6,5,,2,,,,,6,,1,4,3,,,,,1,4,2,,6,5,,,,5,,3,1,6,,,,,4,,3,6,1,,,,,2,,5,3,4,1,,,,4,8,10,,3,,,,,5,,4,12,3,,,,,1,9,8,,7,11,,,,9,,2,7,6,,,,,10,,6,10,6,,,,,12,,3,9,4,11,,,,３,３,５,,５,,,,,１,,１,２,４,,,,,１,２,５,,４,６,,,,６,,５,３,５,,,,,３,,３,３,６,,,,,６,,３,３,１,２,,,,0.17,0.13,0.16,0.16,0.17,0.12, 14,  5, 49, 31, 30, 17, 36.27, 44.83, 31.12, 30.69, 34.93, 29.65, 52.45, 57.64, 46.43, 47.52, 48.80, 48.74, 41, 40, 15, 46, 39,  8, 41.86, 38.76, 37.21, 29.69, 31.62, 37.21, 59.69, 58.91, 43.41, 40.63, 47.79, 53.49,F0,F1,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,45.16, 9.09,42.50,23.53, 0.00,63.64,39.52,28.71,43.84,26.19,34.48,44.00,54.84,21.21,61.50,41.18,11.11,90.91,60.48,38.61,62.33,46.43,58.62,62.00,渡　邉　　優　美,勝　浦　　真　帆,竹　田　　和　哉,楠　原　　翔　太,山　下　　流　心,大　上　　卓　人,4590,4884,4776,4684,4872,4682, 5.58, 2.58, 5.96, 4.24, 2.89, 7.82, 5.77, 4.55, 6.26, 4.70, 5.38, 6.91
