date,venue,raceNumber, 1-2-3, 1-2-4, 1-2-5, 1-2-6, 1-3-2, 1-3-4, 1-3-5, 1-3-6, 1-4-2, 1-4-3, 1-4-5, 1-4-6, 1-5-2, 1-5-3, 1-5-4, 1-5-6, 1-6-2, 1-6-3, 1-6-4, 1-6-5, 2-1-3, 2-1-4, 2-1-5, 2-1-6, 2-3-1, 2-3-4, 2-3-5, 2-3-6, 2-4-1, 2-4-3, 2-4-5, 2-4-6, 2-5-1, 2-5-3, 2-5-4, 2-5-6, 2-6-1, 2-6-3, 2-6-4, 2-6-5, 3-1-2, 3-1-4, 3-1-5, 3-1-6, 3-2-1, 3-2-4, 3-2-5, 3-2-6, 3-4-1, 3-4-2, 3-4-5, 3-4-6, 3-5-1, 3-5-2, 3-5-4, 3-5-6, 3-6-1, 3-6-2, 3-6-4, 3-6-5, 4-1-2, 4-1-3, 4-1-5, 4-1-6, 4-2-1, 4-2-3, 4-2-5, 4-2-6, 4-3-1, 4-3-2, 4-3-5, 4-3-6, 4-5-1, 4-5-2, 4-5-3, 4-5-6, 4-6-1, 4-6-2, 4-6-3, 4-6-5, 5-1-2, 5-1-3, 5-1-4, 5-1-6, 5-2-1, 5-2-3, 5-2-4, 5-2-6, 5-3-1, 5-3-2, 5-3-4, 5-3-6, 5-4-1, 5-4-2, 5-4-3, 5-4-6, 5-6-1, 5-6-2, 5-6-3, 5-6-4, 6-1-2, 6-1-3, 6-1-4, 6-1-5, 6-2-1, 6-2-3, 6-2-4, 6-2-5, 6-3-1, 6-3-2, 6-3-4, 6-3-5, 6-4-1, 6-4-2, 6-4-3, 6-4-5, 6-5-1, 6-5-2, 6-5-3, 6-5-4,placeBed
2019-10-30,多摩川,1,23.2,11.3,67.5,115.2,26.3,10.2,45.2,56.6,7.6,6.5,12.6,17.9,94.8,99.0,66.4,153.3,240.1,185.1,102.6,367.9,161.3,88.3,294.0,337.7,363.2,354.3,732.7,793.2,144.1,298.1,428.0,499.7,745.3,1310,800.5,1695,831.3,1965,939.8,1965,197.4,71.9,246.3,233.6,357.2,284.4,617.6,686.2,91.4,261.2,320.2,203.4,543.8,950.1,758.4,1879,405.9,1080,341.7,1516,23.4,16.0,22.7,28.2,73.1,135.7,167.2,200.6,50.1,146.3,156.6,119.2,50.4,118.1,128.8,82.8,72.8,185.5,146.5,134.2,650.1,459.9,258.8,613.2,1080,1394,1005,1441,675.5,1441,960.7,1801,239.5,650.1,650.1,530.4,919.8,1764,1921,1017,537.0,441.1,269.3,702.9,1200,1662,1122,1965,491.2,2161,517.7,2789,278.9,739.0,417.7,665.1,1695,2543,2789,1137,trifecta
2019-10-30,蒲　郡,1,7.2,7.0,30.6,124.7,9.8,7.2,24.5,121.6,9.6,9.7,23.4,118.5,60.8,62.1,65.1,419.2,386.3,434.4,463.2,891.9,43.1,39.4,107.3,225.9,117.9,130.6,254.0,649.9,89.4,133.2,217.2,566.5,397.3,450.7,386.3,1330,963.7,1863,1352,2149,61.2,43.4,111.6,326.2,150.8,167.3,290.1,704.5,85.6,160.3,188.4,530.6,315.2,358.3,326.2,952.7,830.1,1233,1251,1445,43.4,48.2,67.8,250.2,92.3,161.5,173.5,566.5,101.8,174.3,234.8,590.4,117.7,184.6,173.9,438.9,660.2,755.3,1061,704.5,324.9,227.8,201.5,783.6,594.6,670.7,540.9,1470,722.8,665.4,649.9,1270,262.8,473.7,336.7,1061,2045,2266,2206,1711,998.1,1470,1180,2466,1581,1905,2266,2395,2395,2540,2266,2096,1996,2266,1374,2096,3353,2994,2540,2045,trifecta
2019-10-30,常　滑,1,10.4,16.7,30.2,59.6,10.4,8.5,13.9,40.3,19.2,14.6,21.4,51.5,50.0,33.0,42.8,100.6,175.6,154.4,183.1,258.0,77.9,97.8,136.6,219.7,155.6,275.6,286.9,587.1,192.7,344.9,413.5,668.8,380.7,460.5,537.8,1114,937.9,1398,1479,1508,41.9,28.9,35.1,102.5,110.1,167.9,188.9,335.8,51.5,131.7,79.2,154.7,81.3,181.3,125.0,259.8,364.5,569.7,452.4,541.6,65.5,46.9,43.7,106.5,153.8,260.7,241.1,400.5,74.6,172.4,108.0,193.7,61.8,123.0,107.2,118.6,316.5,587.1,468.9,349.6,249.7,135.4,137.5,341.8,449.7,530.4,460.5,761.5,189.4,523.2,273.7,569.7,143.7,330.0,276.6,343.3,986.0,1672,1201,1183,674.6,635.6,663.0,1201,998.8,1788,1240,1922,915.6,1922,739.5,1068,904.8,2024,1012,1538,1569,2136,1538,1451,trifecta
2019-10-30,　津　,1,7.8,12.5,8.5,115.6,9.0,8.0,7.1,119.9,19.3,15.0,18.2,155.1,10.7,8.8,18.2,67.5,396.1,468.4,625.8,302.7,180.3,301.5,238.7,954.8,374.2,775.8,967.2,2257,683.3,1079,1619,3920,423.1,1049,1354,2979,2568,6206,2660,8275,232.0,201.3,225.7,967.2,400.4,827.5,1111,2660,398.2,942.7,1520,4655,438.1,784.0,1145,2979,3103,4655,5729,3920,407.0,275.8,359.8,1284,677.1,1006,1773,2402,443.3,760.0,1262,2660,513.6,1128,1221,1284,3546,2864,4381,4655,62.5,71.2,119.9,184.8,241.8,568.5,775.8,1201,306.5,702.6,760.0,1862,438.1,1079,1182,1655,620.6,1489,1862,2402,1655,3238,2013,2482,2758,4655,4655,9310,6206,9310,9999,9999,9310,9999,9999,9999,3238,4137,9310,6771,trifecta
2019-10-30,びわこ,1,9.4,4.2,11.4,22.7,25.6,31.6,60.4,119.3,7.7,25.8,17.2,33.8,34.4,85.5,44.8,86.2,89.9,284.9,107.8,155.9,57.5,23.5,45.5,57.6,203.4,405.6,423.8,759.9,73.7,253.3,147.2,208.5,183.6,434.9,246.7,371.4,344.3,1271,585.1,585.1,186.2,212.5,306.0,601.0,327.3,440.7,612.1,1083,391.2,459.1,759.9,1120,395.9,612.1,1296,1695,1537,1349,2003,1836,41.8,126.4,47.9,81.1,88.1,314.8,150.2,209.2,377.8,472.2,569.9,617.9,86.4,130.9,361.2,132.4,241.3,320.9,893.4,293.8,186.7,405.6,172.1,293.8,308.9,751.3,410.6,695.9,579.9,918.2,1406,1377,195.0,325.6,826.4,342.5,641.9,858.6,1739,836.9,434.9,1502,667.8,777.8,590.3,2203,787.1,1322,2361,2542,2132,2448,379.9,688.7,2542,1437,1120,1469,3305,1739,trifecta
2019-10-30,住之江,1,8.2,11.9,21.0,163.1,7.9,7.7,14.3,149.7,14.8,12.8,24.4,125.9,48.3,41.8,59.2,381.8,564.6,578.6,739.4,931.6,41.4,52.1,93.3,309.5,68.1,141.1,199.0,575.1,135.6,179.5,359.7,796.2,255.9,414.0,535.4,1693,1330,1293,2070,2329,41.0,37.1,47.9,292.9,81.5,125.9,167.8,544.8,66.2,122.4,112.9,487.7,127.6,218.7,184.1,616.9,1096,1390,1502,1579,47.4,47.3,53.7,320.1,110.6,142.4,152.4,680.0,79.9,122.7,132.7,621.1,78.5,111.4,132.1,284.0,870.7,796.2,1194,913.3,307.4,197.3,251.8,1083,487.7,529.3,544.8,1940,259.5,485.2,439.4,616.9,230.6,323.4,368.2,831.8,1757,2451,2329,2166,1225,2518,1579,4436,2911,3327,3450,6211,2823,3450,1982,3583,2911,3327,2166,3881,5822,5822,4234,3212,trifecta
2019-10-30,尼　崎,1,19.8,19.0,153.0,45.7,26.1,7.9,79.3,20.3,14.7,6.4,36.5,7.7,343.4,180.9,139.6,193.6,57.7,30.3,21.0,117.6,185.7,141.1,668.7,295.4,389.7,552.4,1323,814.4,248.1,488.6,1176,441.1,1411,1588,1868,1671,870.2,1095,934.2,2352,167.1,58.9,275.0,120.0,371.5,415.2,1095,616.7,80.2,303.9,463.7,135.1,488.6,920.7,948.2,1477,296.8,784.3,270.3,1176,39.7,20.8,65.4,19.4,163.3,221.3,516.5,213.9,59.0,263.6,305.4,82.6,251.1,547.6,463.7,246.2,40.0,128.0,72.6,140.2,1058,992.6,605.0,683.1,1296,1717,1671,1041,1221,1815,1628,1176,629.0,1588,1411,690.5,1041,1628,1815,870.2,182.5,131.8,76.6,295.4,552.4,675.8,533.8,1198,299.6,661.7,287.4,977.3,95.2,320.8,184.1,371.5,641.7,1155,992.6,610.8,trifecta
2019-10-30,鳴　門,1,6.4,6.2,8.0,102.6,11.2,15.0,17.8,163.4,9.4,17.5,15.9,116.7,14.7,23.9,22.6,90.6,369.4,551.3,515.4,253.0,67.8,64.3,70.5,368.2,219.9,413.5,384.8,1679,187.2,424.6,397.2,1259,199.3,471.6,517.8,1816,1606,2462,2052,3166,150.9,166.4,171.0,753.9,251.3,461.7,473.6,1847,288.6,675.7,839.6,1560,356.3,692.6,980.8,3078,2261,3821,2770,4433,94.4,151.6,98.8,403.0,177.0,515.4,398.6,1086,373.1,748.8,743.8,1654,143.0,259.5,457.9,571.2,1245,1560,1944,1583,90.9,140.1,109.3,283.4,202.9,554.1,463.7,1420,361.0,724.3,915.9,1944,166.9,337.8,577.2,738.8,893.7,1910,3078,1759,886.6,1166,786.0,827.0,1787,3078,2261,4433,2577,3958,3575,4433,1731,2462,2358,2703,1518,3575,1705,2995,trifecta
2019-10-30,宮　島,1,4.6,16.6,13.5,11.2,7.7,26.2,22.0,18.6,54.6,73.9,147.0,115.5,46.3,59.5,164.0,86.7,45.1,62.0,188.8,146.0,13.3,44.4,41.2,21.2,33.2,133.4,126.7,52.6,220.5,318.9,577.1,225.1,202.5,296.8,807.5,329.0,82.6,109.8,291.4,364.4,49.7,178.3,138.8,99.1,67.5,275.4,243.4,115.2,462.0,465.7,893.5,562.4,400.9,435.7,792.9,533.4,294.3,220.0,690.3,659.3,337.8,569.6,724.4,584.8,456.0,727.4,1086,553.5,822.5,912.1,1709,1047,1275,1892,2444,1375,822.5,550.1,1266,1629,212.8,316.6,768.7,386.0,315.4,517.7,1222,579.0,573.4,701.3,1760,893.5,1173,1833,2479,1557,604.9,579.0,936.3,1442,183.3,417.1,1054,693.0,242.1,287.6,669.3,1079,598.7,395.5,1143,1629,1892,972.5,1419,2667,1035,1397,2095,2839,trifecta
2019-10-30,下　関,1,17.4,9.3,11.4,78.5,24.3,13.0,16.5,71.2,10.1,14.2,7.9,43.4,16.0,22.9,11.7,44.5,171.1,211.4,146.8,106.9,156.4,126.9,143.5,358.2,375.1,813.3,728.2,1547,349.3,986.0,518.2,1505,322.9,1061,557.1,1238,1591,4457,2102,1663,168.8,84.0,83.0,272.4,390.9,728.2,728.2,1768,142.1,523.1,203.3,478.2,148.1,306.9,210.2,355.9,709.7,1092,1081,884.3,96.3,104.1,46.5,136.8,289.4,831.5,359.4,913.3,197.2,602.3,235.5,562.7,65.6,180.3,218.4,176.0,462.3,705.2,1310,497.4,100.2,136.3,74.2,176.5,259.7,831.5,484.4,905.9,225.1,784.7,390.9,705.2,111.9,319.2,365.3,333.6,435.2,758.0,1051,602.3,1071,1569,1125,790.2,3482,4844,4285,3714,1989,5306,1921,2717,1591,4285,2370,1888,1125,2228,2717,1447,trifecta
