date,venue,raceNumber,CS_ST_1_1,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_2_1,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_3_1,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_4_1,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_5_1,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_6_1,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_cource_1_1,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_2_1,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_3_1,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_4_1,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_5_1,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_6_1,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_frame_1_1,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_2_1,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_3_1,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_4_1,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_5_1,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_6_1,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_race_1_1,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_2_1,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_3_1,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_4_1,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_5_1,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_6_1,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_rank_1_1,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_2_1,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_3_1,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_4_1,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_5_1,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_6_1,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-05-10,桐　生,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.17,0.14,0.19,0.17, 59, 36, 26, 73, 24, 44, 31.07, 41.96, 30.19, 26.53, 37.84, 28.57, 38.83, 59.82, 43.40, 38.78, 54.05, 42.86, 40, 50, 23, 61, 38, 45, 23.08, 32.04, 20.29, 17.02, 15.69, 37.93, 32.31, 49.51, 46.38, 38.30, 29.41, 56.32,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,27.12,13.04,51.52,40.00,19.32,10.00,17.24,19.10,27.47,64.91,11.94,20.48,44.07,39.13,69.70,60.00,38.64,35.00,32.76,31.46,42.86,83.33,20.90,31.33,太　田　　克　哉,市　川　　　　猛,尾　形　　栄　治,山　田　　康　二,川　俣　　昌　史,藤　井　　　　理,3560,3668,3868,4500,3791,3846, 4.39, 4.00, 6.27, 6.10, 4.15, 3.95, 3.41, 3.79, 4.81, 8.20, 3.18, 4.13
2019-05-10,戸　田,1,.11,,,,,,,.15,,,,,,,.24,,,,,,,.15,,,,,,,.09,,,,,,,.20,,,,,,,6,,,,,,,3,,,,,,,2,,,,,,,6,,,,,,,4,,,,,,,6,,,,,,,5,,,,,,,3,,,,,,,2,,,,,,,6,,,,,,,4,,,,,,,6,,,,,,,6,,,,,,,1,,,,,,,2,,,,,,,9,,,,,,,9,,,,,,,1,,,,,,,エ,,,,,,,４,,,,,,,５,,,,,,,６,,,,,,,３,,,,,,,５,,,,,,,0.18,0.20,0.19,0.21,0.16,   -, 30, 23, 17, 68, 50, 35, 37.37, 36.60, 43.59, 36.36, 32.40, 37.77, 59.47, 56.19, 58.12, 50.57, 42.46, 51.60, 61, 15, 53,  3, 51, 59, 38.85, 39.43, 36.89, 40.91, 31.56, 35.58, 54.78, 57.14, 53.88, 59.09, 51.11, 57.06,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,30.56, 0.00, 0.00, 0.00, 0.00, 0.00,10.53, 6.38,18.60, 2.56, 4.76, 0.00,44.44, 0.00, 9.09, 0.00, 0.00, 0.00,23.68,25.53,33.72, 8.97,16.67, 0.00,小　巻　　良　至,片　岡　　大　地,田　中　　浩　之,来　田　　衣　織,島　倉　　　　都,吉　田　　杏　美,3698,4911,3709,5003,4987,5072, 4.92, 1.33, 2.27, 1.00, 1.44, 0.00, 3.16, 3.23, 4.13, 2.08, 2.38, 0.00
2019-05-10,浜名湖,1,.20,,,,,,,.28,.22,,,,,,.21,,,,,,,.35,,,,,,,.41,,,,,,,.17,,,,,,,5,,,,,,,6,4,,,,,,6,,,,,,,6,,,,,,,3,,,,,,,2,,,,,,,5,,,,,,,5,3,,,,,,6,,,,,,,5,,,,,,,3,,,,,,,2,,,,,,,9,,,,,,,3,7,,,,,,8,,,,,,,1,,,,,,,5,,,,,,,4,,,,,,,４,,,,,,,６,６,,,,,,４,,,,,,,６,,,,,,,４,,,,,,,６,,,,,,,0.19,0.18,0.16,   -,0.17,0.16, 66, 12, 20, 17, 65, 64, 33.10, 28.80, 20.33, 43.06, 34.48, 36.36, 54.23, 45.60, 34.15, 57.64, 51.03, 56.64, 41, 39, 58, 32, 29, 25, 20.00, 52.38, 23.53, 18.75, 28.00, 16.67, 32.00, 66.67, 52.94, 37.50, 44.00, 29.17,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,12.50, 9.09,25.00, 0.00, 0.00, 0.00,21.50,18.75,37.38, 0.00,20.41,32.69,25.00,18.18,25.00, 0.00, 0.00,17.65,39.25,18.75,60.75, 2.04,43.88,48.08,村　岡　　　　賢,武　藤　　直　志,岩　永　　雅　人,田　嶋　　　　塁,溝　口　　海義也,水　原　　　　慎,4343,4862,4630,5062,4958,4691, 4.00, 2.67, 4.13, 0.00, 0.00, 2.35, 4.39, 3.23, 5.75, 1.29, 4.80, 4.94
2019-05-10,常　滑,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.17,0.21,0.19,   -, 60, 29, 39, 49, 75, 44, 34.30, 28.06, 40.69, 35.55, 37.11, 34.15, 49.76, 43.37, 59.31, 54.98, 52.06, 49.27, 45,  5, 48, 60, 49, 31, 44.23, 29.67, 24.21, 26.04, 38.53, 29.90, 58.65, 47.25, 40.00, 38.54, 50.46, 46.39,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,29.51,47.62,25.00,43.48,26.92, 0.00,35.77,29.67,28.83,50.00,20.41, 0.00,47.54,66.67,44.44,65.22,46.15, 0.00,58.54,56.04,46.85,70.00,39.80, 0.00,黒　野　　元　基,関　根　　彰　人,沢　田　　昭　宏,岡　　　　祐　臣,山　口　　　　亮,大　澤　　誠　也,4960,4258,4411,4261,4728,5074, 4.89, 6.19, 5.03, 6.65, 4.81, 0.00, 5.63, 5.24, 4.89, 6.56, 4.56, 0.00
2019-05-10,　津　,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.13,0.17,0.13,0.16,0.13, 24, 22, 29, 37, 57, 48, 32.58, 36.79, 29.46, 41.18, 35.59, 40.67, 44.70, 46.23, 42.64, 58.82, 51.69, 56.67, 40, 60, 21, 12, 16, 38, 38.16, 26.45, 41.30, 30.08, 33.77, 27.46, 54.61, 41.94, 60.87, 52.63, 52.60, 45.07,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,53.33,91.67,11.11,52.63,60.00,58.33,62.96,58.18,43.41,45.05,50.00,43.80,76.67,00.00,55.56,78.95,65.00,64.58,74.07,81.82,65.89,65.77,61.61,57.02,村　松　　修　二,吉　川　　元　浩,平　石　　和　男,中　辻　　崇　人,太　田　　和　美,柳　沢　　　　一,4816,3854,3251,3876,3557,4074, 7.13, 8.67, 5.89, 7.11, 7.45, 6.92, 7.28, 8.05, 6.48, 6.44, 6.95, 6.40
2019-05-10,びわこ,1,.28,.34,.31,,.14,.14,,.13,.21,.15,,.08,,,.22,,.35,.22,.27,.15,,.14,.26,.14,,.14,,,.21,.18,.21,,.22,,,.39,,.08,.16,.05,.14,,6,3,6,,4,2,,5,6,1,,3,,,2,,4,1,3,5,,3,2,5,,6,,,4,1,6,,2,,,2,,4,5,1,3,,6,3,5,,4,2,,5,6,1,,3,,,2,,4,1,3,5,,3,2,5,,6,,,4,1,6,,2,,,2,,4,5,1,3,,4,8,9,,2,12,,5,9,2,,3,,,2,,1,9,8,11,,1,7,5,,1,,,1,8,5,,6,,,8,,8,11,2,7,,３,１,４,,転,３,,５,６,４,,５,,,３,,１,２,５,４,,４,４,６,,６,,,５,３,５,,５,,,２,,２,６,１,４,,0.18,0.15,0.20,0.18,0.18,0.13, 34, 12, 58, 68, 23, 44, 47.60, 33.64, 32.44, 34.13, 41.79, 40.28, 63.94, 47.27, 45.33, 46.63, 56.22, 55.56, 11, 63, 53, 43, 32, 30, 45.11, 33.48, 30.73, 43.22, 42.51, 36.75, 61.70, 55.22, 50.00, 59.75, 56.28, 53.42,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,50.00,20.00,23.77,26.09,38.10,32.14,50.00,20.83,26.32,11.54,17.39,28.77,64.93,30.00,50.00,30.43,66.67,50.00,70.16,38.89,42.11,19.23,34.78,42.47,深　井　　利　寿,西　尾　　亮　輔,西　川　　真　人,小　野　　信　樹,安　田　　吉　宏,吉　田　　健太郎,3918,4752,4253,3305,4461,4021, 6.33, 3.60, 4.99, 4.09, 6.14, 4.68, 6.61, 4.40, 4.80, 3.19, 4.04, 4.55
2019-05-10,宮　島,1,.15,.18,.17,,.24,.20,,.31,,.17,.19,.23,,,.13,,.25,.35,.23,.16,,.13,,.21,.09,.20,,,.28,,.21,.27,.23,,,.22,,.19,.25,.21,,,4,4,3,,5,2,,1,,5,4,6,,,2,,4,1,3,6,,4,,3,2,5,,,1,,6,5,3,,,5,,1,3,6,,,6,4,3,,5,2,,1,,5,4,6,,,2,,5,1,3,6,,6,,3,2,5,,,1,,6,4,3,,,5,,1,3,5,,,3,10,9,,6,10,,8,,5,9,2,,,5,,2,7,1,7,,1,,5,10,3,,,3,,5,11,4,,,2,,3,11,11,,,２,１,４,,１,２,,６,,５,５,４,,,５,,１,３,１,５,,６,,２,５,６,,,３,,３,４,２,,,２,,２,６,６,,,0.17,0.20,0.20,0.18,0.20,0.16, 66, 29, 70, 17, 18, 59, 34.75, 36.11, 36.88, 28.99, 33.58, 36.84, 45.39, 52.08, 63.13, 44.93, 47.76, 48.68, 15, 69, 11, 54, 34, 66, 33.58, 28.07, 31.76, 27.27, 21.90, 29.41, 51.49, 41.23, 52.03, 41.32, 40.00, 46.41,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,31.82,35.71,41.38,25.00,33.33, 0.00,35.16,26.74,19.79,31.46,30.14,24.29,63.64,50.00,58.62,62.50,70.37, 0.00,61.54,45.35,36.46,51.69,46.58,32.86,宮　武　　英　司,大　田　　　　誠,篠　原　　俊　夫,津　留　　浩一郎,三　苫　　晃　幸,澤　崎　　雄　哉,3442,3925,3187,3773,4463,4880, 6.05, 4.93, 5.72, 5.63, 6.15, 0.00, 5.88, 4.49, 4.18, 5.27, 5.14, 4.27
2019-05-10,徳　山,1,.34,.18,.13,,.15,.21,,.10,.13,.09,,.16,,,.21,,.25,.15,.14,,,.14,,.09,.11,.03,.11,,.18,.06,.17,,.09,.10,,.17,,.01,.06,.11,,,5,3,2,,1,4,,3,6,4,,5,,,5,,4,1,2,,,3,,6,2,5,1,,5,3,4,,2,6,,2,,4,3,1,,,6,3,2,,1,4,,3,6,4,,5,,,5,,4,1,2,,,3,,6,2,5,1,,5,3,4,,2,6,,2,,4,3,1,,,6,12,8,,2,11,,1,5,11,,5,,,2,,4,10,11,,,7,,2,9,4,9,,4,8,10,,3,12,,6,,1,6,8,,,４,２,２,,１,５,,２,４,３,,２,,,６,,５,１,４,,,２,,１,３,２,１,,２,１,２,,２,６,,６,,２,５,２,,,0.19,0.18,0.21,0.16,0.15,0.15, 60, 51, 33, 20, 34, 56, 33.98, 32.26, 40.20, 39.80, 27.47, 27.66, 52.43, 44.09, 63.73, 51.02, 40.66, 48.94, 19, 35, 11, 20, 24, 51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,42.86,28.95,15.79,29.63,31.82,10.53,45.04,29.41,43.36,25.00,28.00,13.13,57.14,47.37,21.05,59.26,36.36,15.79,63.36,46.08,66.37,39.00,48.00,24.24,安　田　　政　彦,大　井　　清　貴,池　本　　輝　明,木　場　　雄二郎,浜　崎　　準　也,中　北　　　　涼,3572,4425,3282,4158,4782,4924, 6.24, 4.87, 4.32, 5.41, 4.73, 2.63, 6.40, 4.74, 6.28, 4.45, 4.99, 3.74
2019-05-10,下　関,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.18,0.17,0.18,0.14,0.19, 62, 35, 39, 24, 65, 16, 41.38, 48.15, 23.53, 36.36, 12.12, 31.25, 62.07, 62.96, 38.24, 51.52, 18.18, 53.13, 23, 68, 41, 19, 50, 18, 18.75, 38.71, 31.43, 25.00, 34.48, 26.09, 34.38, 45.16, 57.14, 36.11, 62.07, 30.43,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,45.95,29.41,23.53, 0.00,16.67,36.36,44.04,26.92,14.47,11.29,23.46,34.55,66.22,47.06,41.18, 0.00,22.22,54.55,68.81,37.18,30.26,30.65,30.86,57.27,森　永　　　　隆,赤　池　　修　平,佐　竹　　太　一,片　山　　雅　雄,中　林　　秀　人,松　下　　直　也,4703,4636,4725,4662,3626,4105, 6.28, 4.24, 4.53, 0.00, 3.11, 5.36, 6.33, 4.41, 3.68, 3.74, 4.07, 5.35
2019-05-10,若　松,1,.21,.09,.19,,,,,.21,,.05,.21,,,,.18,.14,.37,,,,,.17,,.14,.07,,,,.21,,.23,.28,,,,.25,,.28,.14,,,,3,5,6,,,,,6,,6,6,,,,4,5,5,,,,,3,,6,2,,,,1,,6,2,,,,3,,1,4,,,,2,5,6,,,,,5,,6,4,,,,4,5,2,,,,,3,,6,2,,,,1,,6,2,,,,3,,1,4,,,,4,11,5,,,,,4,,3,7,,,,1,9,7,,,,,1,,1,6,,,,3,,2,12,,,,2,,3,12,,,,４,６,２,,,,,３,,６,２,,,,５,６,４,,,,,２,,６,５,,,,４,,５,６,,,,５,,４,４,,,,0.16,0.20,0.17,0.16,0.14,0.17, 57, 56, 54, 46, 19, 68, 27.37, 23.50, 33.52, 31.49, 32.79, 24.65, 50.00, 42.62, 45.60, 45.30, 48.09, 42.96, 55, 43, 30, 29, 37, 58, 35.48, 31.63, 26.67, 33.00, 28.95, 41.67, 54.84, 52.04, 40.00, 50.00, 43.42, 61.46,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0, 6.25, 0.00,30.00, 5.88,24.32,29.41,17.05,19.32,22.22, 4.55,21.05,23.53,12.50,20.00,50.00,17.65,43.24,41.18,29.55,38.64,36.36,15.15,43.42,41.18,尾　崎　　雄　二,木　場　　悠　介,岩　井　　　　繁,原　田　　才一郎,道　上　　千　夏,真　子　　奈津実,4695,4948,3797,5028,3509,4525, 2.81, 2.67, 5.40, 2.76, 4.51, 4.68, 3.57, 4.14, 4.25, 2.89, 4.49, 4.35
