date,venue,raceNumber,CS_ST_1_1,CS_ST_1_10,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_10,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_10,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_10,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_10,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-09-22,戸　田,1,.16,,.16,,,,,,,,.08,,.04,,,,,,,,.13,,,,,,,,,,.18,,.16,,,,,,,,.15,,,,,,,,,,.08,,.20,,,,,,,,3,,5,,,,,,,,3,,5,,,,,,,,5,,,,,,,,,,3,,5,,,,,,,,2,,,,,,,,,,3,,1,,,,,,,,3,,5,,,,,,,,3,,5,,,,,,,,5,,,,,,,,,,3,,5,,,,,,,,2,,,,,,,,,,3,,1,,,,,,,,2,,7,,,,,,,,5,,10,,,,,,,,8,,,,,,,,,,1,,5,,,,,,,,7,,,,,,,,,,3,,8,,,,,,,,５,,３,,,,,,,,４,,４,,,,,,,,５,,,,,,,,,,３,,６,,,,,,,,１,,,,,,,,,,４,,２,,,,,,,,0.16,0.13,0.16,0.19,0.15,0.18, 68, 22, 32, 35, 29, 67, 20.83, 30.61, 55.00, 16.28, 47.62, 35.09, 43.75, 51.02, 57.50, 30.23, 61.90, 50.88, 29, 30, 56, 45, 37, 43, 36.73, 46.94, 25.00, 38.30, 41.86, 20.51, 57.14, 55.10, 36.11, 48.94, 51.16, 51.28,F1,F0,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,24.29,27.78,18.18,24.24,14.29,30.43,14.43,23.42,17.19,22.73,16.67,25.93,37.14,50.00,28.41,45.45,14.29,47.83,23.71,30.63,31.25,37.50,20.83,37.96,池　上　　裕　次,宮　嵜　　隆太郎,染　川　　直　哉,庄　司　　孝　輔,船　越　　健　吾,塩　崎　　優　司,3245,3825,4859,4360,4946,3730, 4.44, 5.00, 3.56, 4.73, 2.57, 5.39, 3.74, 3.98, 3.70, 4.20, 3.38, 4.56
2019-09-22,平和島,1,.27,,.18,.16,,.18,,.13,,,.11,,,.10,.21,.23,.21,.15,,,.17,,,.13,.25,.15,,.29,,,.23,,,.26,.29,.19,.18,.07,,,.12,,.18,.09,,.17,,.23,.14,,.22,,,.17,.17,.13,,.08,,,3,,5,2,,4,,5,,,1,,,4,6,2,5,3,,,4,,,5,2,3,,1,,,1,,,4,6,2,5,3,,,3,,5,1,,4,,2,6,,3,,,1,4,6,,2,,,3,,4,2,,4,,5,,,1,,,4,6,2,5,3,,,4,,,5,2,3,,1,,,1,,,4,6,2,5,3,,,3,,5,1,,4,,2,6,,3,,,1,4,5,,2,,,1,,7,5,,5,,4,,,5,,,3,12,1,8,2,,,1,,,1,12,4,,6,,,6,,,1,11,4,10,8,,,5,,10,4,,10,,1,5,,4,,,1,5,2,,5,,,６,,５,６,,３,,２,,,４,,,３,５,２,４,５,,,３,,,６,転,６,,４,,,１,,,４,６,５,４,１,,,５,,３,３,,６,,４,５,,６,,,３,４,６,,４,,,0.20,0.18,0.19,0.19,0.17,0.20, 55, 72, 21, 34, 73, 61, 37.29, 45.76, 30.30, 23.64, 36.21, 25.00, 62.71, 64.41, 51.52, 38.18, 53.45, 41.07, 67, 36, 52, 59, 32, 72, 30.19, 19.15, 43.10, 32.14,  7.69, 33.33, 47.17, 36.17, 56.90, 53.57, 19.23, 43.86,F0,F0,F1,F1,F0,F0,L0,L0,L0,L0,L0,L0,16.67,23.33,10.53,35.29,37.50,23.91, 8.93,21.90,21.05,27.27,39.84,11.48,42.86,41.67,26.32,52.94,50.00,30.43,14.29,43.81,39.47,47.93,57.72,29.51,高　木　　圭　右,増　田　　　　進,下　河　　雅　史,田　中　　孝　明,森　　　　貴　洋,坂　本　　徳　克,4542,3569,4395,4393,3904,3565, 4.00, 4.70, 3.47, 5.41, 5.00, 4.02, 2.61, 4.88, 4.21, 5.17, 5.93, 3.62
2019-09-22,蒲　郡,1,.20,,.24,.09,,.20,.17,.15,,,.19,,,.12,.17,.18,.26,.21,,,.11,,,.08,.14,.18,,.07,.09,,.18,,,.15,.20,.27,,.22,,,.12,,.20,.10,.12,.10,.19,.03,.14,,.18,,,.16,.06,.15,,.17,.15,,3,,6,2,,1,5,4,,,5,,,5,4,4,2,1,,,4,,,3,5,1,,5,2,,6,,,6,6,6,,6,,,2,,6,4,3,4,1,4,1,,1,,,4,5,2,,3,5,,3,,6,2,,1,5,4,,,4,,,6,3,5,2,1,,,4,,,3,5,1,,4,2,,6,,,6,4,6,,5,,,2,,6,5,3,4,1,3,1,,1,,,4,5,2,,3,5,,6,,11,8,,6,10,7,,,5,,,4,11,5,11,8,,,10,,,3,7,8,,3,9,,3,,,1,5,7,,6,,,5,,12,5,12,7,11,4,10,,6,,,3,12,7,,2,8,,５,,５,３,,３,５,３,,,５,,,２,４,５,５,５,,,２,,,５,３,１,,６,３,,６,,,６,６,６,,６,,,２,,５,３,３,３,２,１,１,,２,,,３,６,２,,３,３,,0.18,0.18,0.14,0.22,0.16,0.19, 74, 15, 66, 57, 73, 60, 30.56, 25.40, 40.54, 28.79, 30.43, 28.74, 54.17, 44.44, 52.70, 51.52, 50.72, 40.23, 47, 50, 12, 49, 52, 48, 39.78, 34.41, 28.95, 32.98, 32.76, 49.45, 51.61, 51.61, 42.11, 48.94, 44.83, 67.03,F0,F0,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,42.31,16.67,50.00, 0.00,24.14,29.41,31.91,38.89,30.77, 0.00,48.09,32.43,65.38,36.67,60.00, 0.00,37.93,58.82,56.38,59.52,52.88, 0.00,63.36,51.35,茶　谷　　信　次,藤　田　　浩　人,前　出　　達　吉,横　川　　光　弥,谷　川　　祐　一,塩　田　　雄　一,3968,4515,4711,4972,4594,3578, 6.12, 4.53, 6.20, 1.50, 4.79, 5.06, 5.29, 6.06, 5.41, 1.08, 6.34, 5.35
2019-09-22,常　滑,1,.17,,,.23,.14,,,,,,.14,,.10,.15,,,,,,,.23,,,.18,.16,,,,,,.22,,,.46,.18,,,,,,.25,,.19,.10,,,,,,,.19,,.21,.06,,,,,,,2,,,3,4,,,,,,2,,5,3,,,,,,,2,,,4,5,,,,,,1,,,6,2,,,,,,6,,6,6,,,,,,,1,,5,5,,,,,,,2,,,3,4,,,,,,2,,5,3,,,,,,,2,,,4,5,,,,,,1,,,6,2,,,,,,5,,6,5,,,,,,,1,,4,5,,,,,,,3,,,1,9,,,,,,1,,5,7,,,,,,,2,,,1,5,,,,,,8,,,2,7,,,,,,2,,8,9,,,,,,,2,,7,3,,,,,,,６,,,５,６,,,,,,６,,６,６,,,,,,,５,,,１,６,,,,,,３,,,６,５,,,,,,６,,６,５,,,,,,,４,,４,５,,,,,,,0.18,0.17,0.21,0.20,0.21,0.17, 35, 32, 75, 61, 67, 45, 28.85, 40.63, 29.41, 33.33, 24.44, 28.85, 46.15, 64.06, 50.98, 41.03, 35.56, 48.08,  7, 35, 62, 27, 22,  1, 39.66, 46.56, 30.41, 32.60, 33.33, 31.87, 60.34, 66.14, 47.94, 44.20, 51.15, 50.00,F0,F1,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,14.29,12.50,31.71,14.29, 0.00,22.73,24.66, 6.67,26.32,10.20, 6.12,20.00,28.57,25.00,41.46,38.10, 0.00,31.82,43.84, 8.89,42.11,20.41, 8.16,37.14,落　合　　敬　一,中　村　　聡　志,伊　藤　　紘　章,村　上　　祐　次,鈴　木　　孝　明,豊　田　　訓　靖,3151,4916,4626,4265,5066,3544, 3.71, 2.71, 4.95, 4.05, 1.25, 4.18, 4.79, 1.96, 4.37, 2.98, 2.12, 4.10
2019-09-22,　津　,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.19,0.18,0.16,0.19,0.17, 50, 48, 47, 53, 60, 64,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 48, 57, 28, 35, 19, 32, 50.00, 11.11, 18.18, 22.22, 20.00, 16.67, 60.00, 22.22, 18.18, 44.44, 20.00, 33.33,F0,F1,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,56.14,48.28,11.11,14.29,10.00, 0.00,44.83,25.26,24.42,36.80,23.40,21.25,63.16,62.07,22.22,57.14,25.00,16.67,64.83,44.21,39.53,56.00,36.17,41.25,烏　野　　賢　太,後　藤　　孝　義,小　黒　　竜　吾,小　坂　　宗　司,柳　内　　敬　太,門　間　　雄　大,3304,3591,3748,4593,4790,4895, 6.89, 5.76, 3.89, 4.57, 3.75, 2.17, 6.19, 4.72, 4.42, 5.65, 4.34, 4.76
2019-09-22,三　国,1,.12,,,.06,,.13,.09,.04,,,.40,,,.19,.23,.18,,.20,,,.16,,,.11,.25,.21,,.16,,,.16,,.06,.07,,.15,.19,.13,,,.31,,,.22,,.20,.20,.32,,,.05,,,.14,,.11,.14,.07,,,4,,,5,,5,2,3,,,6,,,1,6,2,,3,,,6,,,5,1,2,,6,,,4,,2,1,,5,4,4,,,6,,,6,,6,6,6,,,6,,,1,,5,3,2,,,3,,,4,,5,2,3,,,6,,,1,4,2,,3,,,4,,,5,1,2,,6,,,4,,2,1,,5,3,6,,,5,,,4,,1,3,6,,,5,,,1,,6,3,2,,,10,,,9,,5,10,9,,,9,,,2,6,12,,10,,,2,,,2,7,4,,1,,,3,,8,11,,4,10,10,,,5,,,2,,2,6,2,,,7,,,10,,2,9,6,,,３,,,３,,６,５,５,,,５,,,１,３,５,,６,,,６,,,５,５,６,,３,,,２,,３,１,,５,４,５,,,６,,,６,,６,６,６,,,４,,,１,,３,６,２,,,0.16,0.14,0.17,0.14,0.17,0.12, 26, 18, 70, 15, 43, 23, 35.79, 22.86, 34.74, 54.64, 31.63, 44.90, 52.63, 44.76, 47.37, 72.16, 51.02, 60.20, 23, 27, 40, 29, 60, 19, 43.69, 41.51, 24.27, 37.37, 30.19, 40.20, 59.22, 63.21, 42.72, 54.55, 41.51, 56.86,F0,F1,F1,F0,F2,F0,L0,L0,L0,L0,L0,L0,40.00,47.06,55.56,27.78,35.71,24.14,47.29,50.00,47.57,51.28,36.78,45.69,40.00,67.65,55.56,55.56,53.57,37.93,60.47,72.88,63.11,65.38,57.47,62.93,白　神　　　　優,松　山　　将　吾,高　田　　ひかる,石　丸　　海　渡,上　條　　嘉　嗣,馬　場　　　　剛,4713,4828,4804,4772,4514,4769, 5.10, 6.38, 6.00, 4.92, 5.89, 4.48, 6.23, 6.60, 6.22, 6.42, 5.95, 6.31
2019-09-22,尼　崎,1,.13,,,,,,,,,,.10,,,,,,,,,,.17,,.16,,,,,,,,.17,,,,,,,,,,.25,,,,,,,,,,.56,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,4,,,,,,,,,,8,,,,,,,,,,9,,,,,,,,,,7,,11,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,６,,,,,,,,,,４,,,,,,,,,,３,,１,,,,,,,,５,,,,,,,,,,６,,,,,,,,,,６,,,,,,,,,,0.16,0.17,0.18,0.19,0.18,0.21, 42, 44, 63, 39, 27, 12, 36.90, 35.96, 14.77, 34.57, 24.14, 34.88, 50.00, 51.69, 38.64, 53.09, 44.83, 54.65, 28, 52, 27, 50, 35,  6, 26.44, 34.41, 33.33, 43.68, 25.56, 26.14, 40.23, 52.69, 49.46, 56.32, 47.78, 37.50,F1,F0,F0,F0,F0,F1,L0,L0,L0,L0,L0,L0,16.67,31.58,50.00, 0.00, 0.00,17.39,28.21,30.28,44.64,25.96, 0.00,18.18,33.33,36.84,63.33,44.44, 0.00,39.13,37.18,50.46,60.71,44.23, 7.14,40.26,丹　下　　　　健,上　野　　秀　和,間　嶋　　仁　志,森　　　　弘　行,数　原　　　　魁,篠　木　　亜衣花,4139,4180,3362,3467,5060,4548, 4.67, 4.74, 6.77, 3.78, 1.00, 3.96, 4.53, 5.13, 6.43, 4.77, 1.79, 4.51
2019-09-22,徳　山,1,.09,,,.09,.12,.12,.04,.08,.22,,.13,,.10,.16,,.37,.12,.09,,,.17,,.22,.13,,.15,,.14,.38,,.15,,,.16,.11,.06,,.09,.12,,.19,,.12,.11,,.11,.06,.08,,,.17,,,.16,,.36,.15,.17,,,2,,,5,3,1,4,5,2,,2,,4,3,,5,1,5,,,3,,6,4,,5,,2,1,,5,,,3,3,6,,3,1,,4,,6,2,,6,3,1,,,6,,,6,,6,5,6,,,2,,,5,3,1,4,6,2,,2,,4,3,,5,1,5,,,3,,6,4,,5,,2,1,,5,,,3,2,6,,3,1,,4,,5,2,,6,3,1,,,6,,,6,,6,4,5,,,7,,,3,12,2,6,3,9,,3,,11,11,,1,7,2,,,1,,6,4,,7,,5,10,,3,,,1,6,8,,3,8,,1,,10,3,,2,11,6,,,4,,,8,,1,10,8,,,２,,,５,６,１,２,５,２,,１,,６,１,,６,３,６,,,３,,２,６,,５,,５,３,,５,,,３,４,５,,４,２,,４,,６,２,,５,５,１,,,６,,,６,,５,６,６,,,0.14,0.17,0.19,0.16,0.19,0.19, 40, 53, 24, 14, 29, 20, 40.11, 34.07, 29.07, 38.42, 22.60, 37.93, 55.37, 47.25, 46.51, 54.24, 39.55, 50.00, 27, 43, 31, 28, 14, 55, 30.00, 18.57, 25.35, 28.41, 29.21, 43.08, 51.11, 24.29, 43.66, 48.86, 59.55, 56.92,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0, 0.00,33.33,12.82,33.33,25.00, 2.70,43.12,29.03,12.50,18.68,18.18, 2.70, 0.00,33.33,20.51,66.67,35.00, 2.70,61.47,50.54,25.00,32.97,34.34, 5.41,廣　瀬　　将　亨,内　野　　省　一,菊　池　　宏　志,黒　田　　誠　司,浅　見　　宗　孝,高　木　　圭　大,4040,3666,4871,3630,3880,5011, 0.00, 4.00, 3.36, 6.00, 4.50, 1.54, 6.08, 4.91, 3.64, 4.04, 4.28, 2.22
2019-09-22,下　関,1,.05,,,,,,,,,,.17,,,,,,,,,,.07,,,,,,,,,,.29,,,,,,,,,,.25,,,,,,,,,,.13,,.19,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,9,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,3,,7,,,,,,,,５,,,,,,,,,,３,,,,,,,,,,４,,,,,,,,,,６,,,,,,,,,,５,,,,,,,,,,３,,５,,,,,,,,0.18,0.19,0.16,0.20,0.18,0.19, 58, 67, 51, 52, 19, 54, 33.33, 40.21, 42.42, 41.90, 33.33, 31.68, 50.00, 62.89, 55.56, 57.14, 47.47, 50.50, 39, 54, 22, 26, 60, 47, 38.14, 32.22, 43.88, 30.19, 34.00, 41.18, 51.55, 42.22, 63.27, 50.94, 50.00, 56.86,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,27.59, 6.25, 0.00,19.23,29.03,29.03,53.33,25.00,24.42,20.80,29.17,34.38,51.72,31.25, 0.00,38.46,49.46,51.61,68.15,47.83,40.70,40.80,48.33,47.92,深　井　　利　寿,木　村　　亮　太,泉　　　　具　巳,阪　本　　勇　介,加　木　　　　郁,岡　部　　　　哲,3918,4648,3339,4562,3581,3807, 5.69, 3.94, 0.00, 4.46, 5.13, 5.55, 6.70, 4.79, 4.67, 4.46, 4.98, 5.13
2019-09-22,若　松,1,.15,,.17,.18,,.25,,.21,.29,,.08,,,.19,.09,.11,,.21,.31,,.15,,.14,.14,,.15,.17,.17,,,.25,,,.33,.17,.23,,.25,.20,,.17,,,.23,.18,.31,,.11,.26,,.17,,.09,.31,,.02,.24,.33,,,2,,5,1,,6,,4,6,,3,,,2,4,6,,1,6,,5,,2,6,,1,3,2,,,5,,,2,3,1,,5,4,,1,,,6,5,3,,4,2,,4,,3,2,,3,5,4,,,2,,5,1,,6,,4,6,,3,,,2,5,6,,1,4,,5,,2,6,,1,3,4,,,5,,,2,3,1,,6,4,,1,,,6,5,3,,4,2,,4,,3,2,,3,5,2,,,3,,10,4,,10,,2,11,,7,,,2,8,5,,2,7,,3,,11,3,,2,12,4,,,7,,,1,7,4,,1,11,,4,,,4,9,9,,3,7,,3,,9,3,,1,5,4,,,２,,６,３,,４,,３,６,,４,,,５,３,４,,１,６,,４,,４,４,,２,２,６,,,６,,,２,４,６,,４,４,,６,,,４,３,６,,６,４,,６,,５,５,,６,６,４,,,0.19,0.18,0.17,0.19,0.17,0.19, 14, 49, 55, 18, 68, 44, 35.29, 21.15, 32.00, 34.04, 30.61, 27.45, 52.94, 36.54, 46.00, 59.57, 48.98, 47.06, 59, 26, 52, 46, 28, 27, 32.78, 41.28, 22.64, 25.68, 29.44, 43.58, 49.44, 63.37, 42.77, 40.54, 46.11, 57.54,F1,F0,F1,F1,F1,F0,L0,L0,L0,L0,L0,L0,12.50,25.00,44.44,17.65,25.00,40.00,20.00,14.46,20.00,16.67,29.17,23.48,25.00,37.50,44.44,52.94,41.67,50.00,41.25,36.14,30.77,35.00,43.33,39.13,関　　　　　　道,齋　藤　　真　之,須　藤　　隆　雄,品　川　　賢　次,吉　原　　聖　人,山　川　　雄　大,3865,4563,3889,3653,3516,4902, 3.75, 4.38, 5.00, 4.76, 4.75, 5.50, 4.45, 3.96, 3.78, 3.97, 4.64, 4.38
