date,venue,raceNumber,CS_ST_1_1,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-11-23,桐　生,1,.03,,.13,,.11,,.15,.13,,.17,,.08,,.07,.17,.15,,,.18,,.24,,.01,,.08,,,.09,,.27,,.06,,.06,,,.07,.15,.11,,.12,,.22,,,.17,,.28,,.18,.13,.16,,,4,,3,,6,,5,2,,3,,2,,4,1,6,,,6,,1,,4,,6,,,3,,5,,2,,1,,,2,4,3,,5,,4,,,5,,2,,6,3,1,,,4,,3,,6,,5,2,,3,,2,,4,1,6,,,5,,1,,4,,6,,,3,,5,,2,,1,,,2,6,3,,5,,4,,,4,,2,,6,3,1,,,1,,9,,1,,1,5,,11,,11,,1,11,5,,,9,,1,,5,,12,,,5,,1,,1,,5,,,5,9,11,,1,,9,,,9,,5,,5,9,9,,,２,,５,,５,,５,６,,５,,４,,２,１,５,,,４,,５,,１,,５,,,４,,６,,６,,１,,,３,５,２,,３,,２,,,３,,２,,４,４,１,,,0.16,0.16,0.18,0.16,0.16,0.17, 50, 57, 54, 49, 63, 61,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 63, 25, 49, 16, 71, 23, 29.59, 31.49, 30.26, 27.85, 31.14, 28.48, 45.92, 49.36, 49.74, 39.24, 46.49, 48.10,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,57.14,75.00,29.79,50.00,40.00,52.94,39.10,40.18,41.01,30.77,54.17,41.75,71.43,87.50,51.06,60.00,66.67,70.59,49.62,58.93,60.43,49.57,74.31,55.34,落　合　　直　子,寺　田　　千　恵,水　野　　望　美,西　村　　美智子,香　川　　素　子,向　井　　美　鈴,4289,3435,4678,4313,3900,4017, 7.29, 8.88, 5.26, 5.90, 6.37, 7.59, 5.53, 6.21, 6.02, 5.18, 6.90, 5.88
2019-11-23,多摩川,1,.16,,,,,,,,,.14,,,,,,,,,.21,,,,,,,,,.11,.13,,,,,,,,.32,,,,,,,,,.28,,,,,,,,,6,,,,,,,,,5,,,,,,,,,2,,,,,,,,,2,6,,,,,,,,2,,,,,,,,,6,,,,,,,,,6,,,,,,,,,5,,,,,,,,,2,,,,,,,,,2,6,,,,,,,,2,,,,,,,,,6,,,,,,,,,7,,,,,,,,,9,,,,,,,,,6,,,,,,,,,3,10,,,,,,,,5,,,,,,,,,1,,,,,,,,,５,,,,,,,,,６,,,,,,,,,３,,,,,,,,,１,２,,,,,,,,６,,,,,,,,,６,,,,,,,,,0.17,0.17,0.20,0.18,0.20,   -,180,177,124,130,133,152, 23.16, 24.56, 20.62, 30.93, 36.27, 33.67, 32.63, 42.11, 41.24, 49.48, 55.88, 58.16, 27, 49, 26, 30, 51, 41, 42.39, 27.27, 28.97, 31.78, 33.04, 32.98, 59.78, 36.36, 45.79, 54.21, 48.21, 50.00,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,51.85, 0.00,46.67,50.00,25.58, 0.00,35.09,19.70,22.92,38.40,19.28, 0.00,70.37, 0.00,66.67,67.50,44.19, 0.00,57.89,30.30,43.75,55.20,25.30, 2.13,川　口　　貴　久,廣　中　　良　一,佐　藤　　　　旭,別　府　　昌　樹,太　田　　克　哉,生　方　　靖　亜,4128,3875,4273,3873,3560,5090, 6.52, 0.00, 6.07, 6.23, 4.47, 0.00, 5.63, 3.64, 4.58, 5.50, 3.54, 1.49
2019-11-23,浜名湖,1,.12,,.10,.10,.08,,,,,.16,,.10,.12,.08,,,,,.12,,.11,.25,.18,,,,,.19,,.19,.15,.16,,,,,.20,,.20,.19,.12,,,,,.19,.13,.25,,.13,.15,,,,4,,2,3,6,,,,,3,,1,5,5,,,,,1,,4,5,2,,,,,6,,4,1,2,,,,,2,,6,6,6,,,,,5,2,4,,5,3,,,,4,,2,3,6,,,,,3,,1,5,6,,,,,1,,4,5,2,,,,,6,,5,1,2,,,,,2,,6,4,3,,,,,5,2,4,,5,3,,,,1,,3,11,6,,,,,4,,5,11,8,,,,,8,,3,9,4,,,,,4,,1,9,10,,,,,8,,3,7,8,,,,,1,6,9,,1,10,,,,２,,５,６,６,,,,,２,,５,５,４,,,,,３,,４,５,２,,,,,５,,５,１,３,,,,,６,,６,６,６,,,,,６,５,６,,４,６,,,,0.17,   -,0.19,0.17,0.15,0.17, 16, 60, 40, 49, 39, 52, 44.44,  0.00, 11.11, 50.00, 25.00,  0.00, 55.56,  0.00, 11.11, 80.00, 75.00,  0.00, 59, 21, 24,  2, 38,  6, 55.15, 30.97, 37.41, 33.33, 30.95, 37.93, 66.91, 46.90, 51.80, 50.76, 48.41, 55.17,F0,F0,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,14.06, 0.00,26.32,11.11, 0.00, 6.67, 7.69,59.09,28.81,35.56, 1.96, 5.88,20.31, 0.00,52.63,22.22, 0.00,13.33,20.51,68.18,51.69,46.67, 5.88,16.47,勝　又　　　　桜,淺　田　　千亜希,加　藤　　　　綾,藤　崎　　小百合,濱　崎　　寿里矢,島　倉　　　　都,4830,3645,4300,4304,4997,4987, 2.98, 0.00, 4.74, 4.89, 1.22, 2.13, 3.08, 6.55, 5.14, 5.38, 1.61, 2.78
2019-11-23,常　滑,1,.13,,,,,,,,,.12,.24,,,,,,,,.15,,,,,,,,,.51,,,,,,,,,.16,,,,,,,,,.11,,,,,,,,,6,,,,,,,,,4,3,,,,,,,,6,,,,,,,,,6,,,,,,,,,2,,,,,,,,,6,,,,,,,,,6,,,,,,,,,4,3,,,,,,,,5,,,,,,,,,5,,,,,,,,,2,,,,,,,,,6,,,,,,,,,9,,,,,,,,,5,10,,,,,,,,2,,,,,,,,,7,,,,,,,,,4,,,,,,,,,1,,,,,,,,,３,,,,,,,,,５,４,,,,,,,,４,,,,,,,,,４,,,,,,,,,６,,,,,,,,,転,,,,,,,,,0.15,0.16,0.18,0.20,0.19,   -, 67, 71, 24, 35, 52, 63, 24.44, 33.33, 36.67, 35.23, 40.63, 33.72, 37.78, 51.72, 52.22, 51.14, 55.21, 47.67, 36, 10, 32, 52, 26, 54, 39.73, 33.92, 34.36, 40.82, 33.78, 28.05, 55.25, 57.71, 51.54, 56.73, 56.00, 46.15,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0, 0.00,38.10, 6.25, 0.00, 6.67, 0.00,26.19,42.99,24.00, 7.58,13.43, 0.00, 0.00,54.76,12.50, 0.00,33.33, 0.00,58.33,54.21,48.00,12.12,32.84, 0.00,小　羽　　正　作,金　子　　良　昭,小　寺　　拳　人,秦　　　　直　也,田　嶋　　　　茂,小　原　　聡　将,3683,3156,4800,4971,2941,5095, 0.00, 5.88, 3.19, 0.00, 3.67, 0.00, 5.44, 5.71, 5.00, 2.59, 3.88, 1.43
2019-11-23,　津　,1,.13,.11,,,,,,,,.19,.22,,,,,,,,.21,.20,,,,,,,,.27,,,,,,,,,.19,,,,,,,,,.21,,,,,,,,,6,3,,,,,,,,1,5,,,,,,,,4,5,,,,,,,,6,,,,,,,,,4,,,,,,,,,4,,,,,,,,,6,3,,,,,,,,1,5,,,,,,,,4,5,,,,,,,,6,,,,,,,,,4,,,,,,,,,4,,,,,,,,,4,12,,,,,,,,2,7,,,,,,,,5,9,,,,,,,,6,,,,,,,,,1,,,,,,,,,8,,,,,,,,,１,５,,,,,,,,２,５,,,,,,,,４,５,,,,,,,,４,,,,,,,,,３,,,,,,,,,５,,,,,,,,,0.13,0.19,0.17,0.19,0.14,0.20, 13, 35, 48, 68, 56, 46, 40.00, 29.17, 47.62, 27.50, 26.47, 30.00, 54.29, 45.83, 69.05, 45.00, 44.12, 40.00, 28, 16, 27, 44, 38, 54, 38.00, 28.30, 36.17, 40.38, 35.29, 37.78, 48.00, 52.83, 57.45, 65.38, 54.90, 48.89,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,55.26,34.91,36.11,22.58,17.24,11.11,57.03,29.27,31.52,27.78,29.70,28.38,68.42,53.77,47.22,45.16,27.59,29.63,75.00,47.56,52.17,47.78,48.51,51.35,深　谷　　知　博,乃　村　　康　友,川　崎　　公　靖,後　藤　　隼　之,井　手　　良　太,田　中　　　　堅,4524,4618,4271,4676,4675,4491, 6.89, 5.22, 4.81, 4.68, 3.41, 3.89, 7.52, 5.05, 5.17, 5.00, 4.86, 5.23
2019-11-23,三　国,1,.16,.12,,,,,,,,.20,.22,,,,,,,,.16,,,,,,,,,.11,,,,,,,,,.05,,,,,,,,,.26,,,,,,,,,5,2,,,,,,,,6,4,,,,,,,,4,,,,,,,,,4,,,,,,,,,1,,,,,,,,,6,,,,,,,,,6,2,,,,,,,,6,4,,,,,,,,4,,,,,,,,,3,,,,,,,,,1,,,,,,,,,6,,,,,,,,,6,12,,,,,,,,4,9,,,,,,,,4,,,,,,,,,7,,,,,,,,,7,,,,,,,,,2,,,,,,,,,５,２,,,,,,,,６,５,,,,,,,,５,,,,,,,,,４,,,,,,,,,１,,,,,,,,,転,,,,,,,,,0.17,0.17,0.20,0.18,0.18,   -, 48, 31, 14, 64, 17, 41, 30.82, 37.84, 33.57, 48.00, 34.29, 28.28, 50.00, 54.05, 49.65, 64.00, 54.29, 49.66, 58, 41, 19, 25, 16, 49, 32.24, 46.53, 37.50, 20.00, 43.36, 29.41, 54.61, 58.33, 56.25, 38.18, 57.34, 43.14,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,45.83,27.03,12.00,18.52,20.69, 0.00,50.00,29.81,21.11,17.02,15.12, 0.00,66.67,51.35,24.00,37.04,48.28, 0.00,65.94,50.00,36.67,34.04,31.40, 0.00,渡　邉　　英　児,吉　永　　泰　弘,鈴　木　　唯　由,片　山　　雅　雄,三　品　　隆　浩,小　林　　孝　彰,3502,3710,3235,4662,3202,5114, 6.46, 5.24, 3.32, 3.81, 5.07, 0.00, 6.57, 5.06, 4.18, 3.98, 4.09, 0.00
2019-11-23,びわこ,1,.33,,.25,.19,.13,.16,.13,.25,,.18,,.16,.15,.22,.15,.25,,,.14,.18,.17,,.16,.11,.18,,,.16,.10,.14,,.12,,.12,.05,,.42,,.19,.27,.20,,.21,.28,,.14,,.14,.18,.18,,.15,,,6,,4,4,2,1,2,5,,5,,2,3,5,4,1,,,3,5,2,,4,6,1,,,5,6,6,,5,,6,5,,2,,4,2,5,,3,2,,6,,5,6,6,,6,,,6,,4,3,2,1,2,5,,5,,2,3,6,4,1,,,3,5,2,,4,6,1,,,4,6,6,,5,,5,4,,2,,4,1,6,,3,2,,6,,6,6,5,,5,,,8,,2,7,3,9,5,11,,4,,1,8,5,9,7,,,1,6,4,,2,12,2,,,1,5,7,,1,,4,8,,8,,1,7,6,,1,6,,6,,1,6,5,,3,,,５,,３,１,２,１,２,４,,４,,２,４,３,５,５,,,３,４,３,,３,５,３,,,４,６,３,,５,,４,転,,４,,４,５,３,,５,４,,６,,６,５,６,,６,,,0.19,0.20,0.17,0.16,0.20,   -, 48, 71, 55, 30, 20, 51, 30.00, 33.96, 45.05, 27.84, 25.47, 44.74, 44.55, 50.94, 62.16, 42.27, 39.62, 56.14, 49, 58, 45, 33, 48, 35, 37.80, 42.74, 41.18, 14.74, 30.43, 30.00, 55.91, 58.06, 52.21, 24.21, 47.83, 48.46,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,45.00,36.36,22.22, 5.56, 0.00, 0.00,30.61,22.62,28.44, 4.82,19.64, 0.00,60.00,54.55,44.44,22.22,16.67, 0.00,43.88,33.33,52.29,18.07,39.29, 1.82,川　添　　英　正,板　倉　　敦　史,楠　原　　翔　太,松　井　　友　汰,池　田　　真　治,大　澤　　誠　也,3566,4615,4684,5049,3561,5074, 5.90, 5.45, 4.33, 2.83, 2.83, 0.00, 5.10, 4.19, 4.92, 2.71, 4.29, 1.51
2019-11-23,尼　崎,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.19,0.18,0.19,0.20,0.22, 33, 13, 59, 34, 44, 53, 43.10, 40.34, 21.88, 30.08, 40.00, 40.68, 56.90, 52.94, 37.50, 46.34, 54.17, 53.39,  5, 60, 33, 17, 41, 20, 32.80, 33.06, 15.87, 40.98, 42.28, 42.06, 48.00, 49.19, 23.02, 66.39, 56.10, 63.49,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,16.44,20.83,43.18,18.75,14.29, 0.00, 9.33,14.29,49.32,28.26,13.24, 2.08,39.73,29.17,65.91,25.00,25.00, 0.00,32.00,25.00,72.60,48.91,22.06, 6.25,角　山　　雄　哉,前　田　　義　哲,岡　瀬　　正　人,塩　田　　雄　一,村　田　　友　也,宮　村　　勇　哉,4735,3759,3746,3578,4333,5020, 4.25, 3.92, 6.07, 4.13, 3.36, 1.17, 3.63, 3.18, 6.66, 4.93, 3.21, 1.83
2019-11-23,丸　亀,1,.01,.29,.29,,,,,,,.09,.16,.07,,,,,,,.11,.19,.22,,,,,,,.16,.14,.25,,,,,,,.11,.17,.09,,,,,,,.18,,.23,.21,,,,,,3,6,2,,,,,,,4,5,1,,,,,,,4,6,2,,,,,,,2,6,1,,,,,,,6,6,6,,,,,,,5,,5,5,,,,,,3,6,2,,,,,,,4,5,1,,,,,,,4,6,2,,,,,,,2,5,1,,,,,,,5,6,6,,,,,,,4,,3,5,,,,,,3,11,9,,,,,,,3,9,2,,,,,,,2,7,3,,,,,,,1,6,3,,,,,,,2,8,5,,,,,,,6,,1,5,,,,,,５,４,４,,,,,,,３,５,１,,,,,,,４,５,５,,,,,,,５,４,１,,,,,,,６,５,５,,,,,,,６,,５,６,,,,,,0.18,0.17,0.17,0.18,   -,0.25, 10, 46, 25, 32, 11, 63, 29.41, 24.14, 27.59, 40.91, 24.56, 41.54, 50.00, 37.93, 44.83, 59.09, 42.11, 56.92, 18, 50, 35,  7,  8,  2,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,F0,F0,F1,F0,F0,F0,L0,L0,L0,L0,L0,L0,40.00,36.30, 0.00,28.57, 0.00,16.67,34.44,36.99,17.31,25.64, 5.00,19.79,76.00,54.79, 0.00,46.43, 0.00,33.33,56.67,56.16,33.65,32.05, 6.67,32.29,茶　谷　　信　次,森　安　　弘　雅,豊　田　　訓　靖,小　野　　信　樹,野見山　　拓　己,小　澤　　　　学,3968,4154,3544,3305,5071,4145, 5.96, 5.49, 0.00, 4.64, 0.00, 3.83, 5.48, 5.58, 3.92, 4.04, 1.93, 4.05
2019-11-23,児　島,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.20,0.17,0.20,0.17,0.20, 49, 25, 23, 64, 32, 17, 38.21, 37.14, 37.38, 30.17, 28.45, 38.95, 55.19, 52.14, 54.67, 43.97, 46.55, 63.95, 70, 61, 72, 64, 44, 20, 47.00, 40.69, 38.76, 33.94, 28.43, 46.91, 63.50, 57.84, 55.02, 48.17, 43.15, 66.49,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,23.53,34.44,44.44, 0.00,25.00,21.74,30.00,19.59,15.66,21.11,14.29,26.19,47.06,56.67,55.56, 0.00,37.50,32.61,54.00,38.14,32.53,41.11,22.86,38.10,貞　兼　　淳　二,井　川　　真　人,白　石　　浩　二,西　岡　　育　未,小　川　　時　光,高　橋　　悠　花,3702,3585,3498,4878,4186,4841, 4.59, 5.43, 6.22, 2.00, 3.75, 3.96, 5.22, 4.25, 3.95, 4.40, 3.40, 4.07
