date,venue,raceNumber,CS_ST_1_1,CS_ST_1_11,CS_ST_1_2,CS_ST_1_3,CS_ST_1_4,CS_ST_1_5,CS_ST_1_6,CS_ST_1_7,CS_ST_1_8,CS_ST_1_9,CS_ST_2_1,CS_ST_2_10,CS_ST_2_11,CS_ST_2_2,CS_ST_2_3,CS_ST_2_4,CS_ST_2_5,CS_ST_2_6,CS_ST_2_7,CS_ST_2_8,CS_ST_2_9,CS_ST_3_1,CS_ST_3_10,CS_ST_3_11,CS_ST_3_2,CS_ST_3_3,CS_ST_3_4,CS_ST_3_5,CS_ST_3_6,CS_ST_3_7,CS_ST_3_8,CS_ST_3_9,CS_ST_4_1,CS_ST_4_10,CS_ST_4_11,CS_ST_4_2,CS_ST_4_3,CS_ST_4_4,CS_ST_4_5,CS_ST_4_6,CS_ST_4_7,CS_ST_4_8,CS_ST_4_9,CS_ST_5_1,CS_ST_5_10,CS_ST_5_11,CS_ST_5_2,CS_ST_5_3,CS_ST_5_4,CS_ST_5_5,CS_ST_5_6,CS_ST_5_7,CS_ST_5_8,CS_ST_5_9,CS_ST_6_1,CS_ST_6_10,CS_ST_6_11,CS_ST_6_2,CS_ST_6_3,CS_ST_6_4,CS_ST_6_5,CS_ST_6_6,CS_ST_6_7,CS_ST_6_8,CS_ST_6_9,CS_cource_1_1,CS_cource_1_11,CS_cource_1_2,CS_cource_1_3,CS_cource_1_4,CS_cource_1_5,CS_cource_1_6,CS_cource_1_7,CS_cource_1_8,CS_cource_1_9,CS_cource_2_1,CS_cource_2_10,CS_cource_2_11,CS_cource_2_2,CS_cource_2_3,CS_cource_2_4,CS_cource_2_5,CS_cource_2_6,CS_cource_2_7,CS_cource_2_8,CS_cource_2_9,CS_cource_3_1,CS_cource_3_10,CS_cource_3_11,CS_cource_3_2,CS_cource_3_3,CS_cource_3_4,CS_cource_3_5,CS_cource_3_6,CS_cource_3_7,CS_cource_3_8,CS_cource_3_9,CS_cource_4_1,CS_cource_4_10,CS_cource_4_11,CS_cource_4_2,CS_cource_4_3,CS_cource_4_4,CS_cource_4_5,CS_cource_4_6,CS_cource_4_7,CS_cource_4_8,CS_cource_4_9,CS_cource_5_1,CS_cource_5_10,CS_cource_5_11,CS_cource_5_2,CS_cource_5_3,CS_cource_5_4,CS_cource_5_5,CS_cource_5_6,CS_cource_5_7,CS_cource_5_8,CS_cource_5_9,CS_cource_6_1,CS_cource_6_10,CS_cource_6_11,CS_cource_6_2,CS_cource_6_3,CS_cource_6_4,CS_cource_6_5,CS_cource_6_6,CS_cource_6_7,CS_cource_6_8,CS_cource_6_9,CS_frame_1_1,CS_frame_1_11,CS_frame_1_2,CS_frame_1_3,CS_frame_1_4,CS_frame_1_5,CS_frame_1_6,CS_frame_1_7,CS_frame_1_8,CS_frame_1_9,CS_frame_2_1,CS_frame_2_10,CS_frame_2_11,CS_frame_2_2,CS_frame_2_3,CS_frame_2_4,CS_frame_2_5,CS_frame_2_6,CS_frame_2_7,CS_frame_2_8,CS_frame_2_9,CS_frame_3_1,CS_frame_3_10,CS_frame_3_11,CS_frame_3_2,CS_frame_3_3,CS_frame_3_4,CS_frame_3_5,CS_frame_3_6,CS_frame_3_7,CS_frame_3_8,CS_frame_3_9,CS_frame_4_1,CS_frame_4_10,CS_frame_4_11,CS_frame_4_2,CS_frame_4_3,CS_frame_4_4,CS_frame_4_5,CS_frame_4_6,CS_frame_4_7,CS_frame_4_8,CS_frame_4_9,CS_frame_5_1,CS_frame_5_10,CS_frame_5_11,CS_frame_5_2,CS_frame_5_3,CS_frame_5_4,CS_frame_5_5,CS_frame_5_6,CS_frame_5_7,CS_frame_5_8,CS_frame_5_9,CS_frame_6_1,CS_frame_6_10,CS_frame_6_11,CS_frame_6_2,CS_frame_6_3,CS_frame_6_4,CS_frame_6_5,CS_frame_6_6,CS_frame_6_7,CS_frame_6_8,CS_frame_6_9,CS_race_1_1,CS_race_1_11,CS_race_1_2,CS_race_1_3,CS_race_1_4,CS_race_1_5,CS_race_1_6,CS_race_1_7,CS_race_1_8,CS_race_1_9,CS_race_2_1,CS_race_2_10,CS_race_2_11,CS_race_2_2,CS_race_2_3,CS_race_2_4,CS_race_2_5,CS_race_2_6,CS_race_2_7,CS_race_2_8,CS_race_2_9,CS_race_3_1,CS_race_3_10,CS_race_3_11,CS_race_3_2,CS_race_3_3,CS_race_3_4,CS_race_3_5,CS_race_3_6,CS_race_3_7,CS_race_3_8,CS_race_3_9,CS_race_4_1,CS_race_4_10,CS_race_4_11,CS_race_4_2,CS_race_4_3,CS_race_4_4,CS_race_4_5,CS_race_4_6,CS_race_4_7,CS_race_4_8,CS_race_4_9,CS_race_5_1,CS_race_5_10,CS_race_5_11,CS_race_5_2,CS_race_5_3,CS_race_5_4,CS_race_5_5,CS_race_5_6,CS_race_5_7,CS_race_5_8,CS_race_5_9,CS_race_6_1,CS_race_6_10,CS_race_6_11,CS_race_6_2,CS_race_6_3,CS_race_6_4,CS_race_6_5,CS_race_6_6,CS_race_6_7,CS_race_6_8,CS_race_6_9,CS_rank_1_1,CS_rank_1_11,CS_rank_1_2,CS_rank_1_3,CS_rank_1_4,CS_rank_1_5,CS_rank_1_6,CS_rank_1_7,CS_rank_1_8,CS_rank_1_9,CS_rank_2_1,CS_rank_2_10,CS_rank_2_11,CS_rank_2_2,CS_rank_2_3,CS_rank_2_4,CS_rank_2_5,CS_rank_2_6,CS_rank_2_7,CS_rank_2_8,CS_rank_2_9,CS_rank_3_1,CS_rank_3_10,CS_rank_3_11,CS_rank_3_2,CS_rank_3_3,CS_rank_3_4,CS_rank_3_5,CS_rank_3_6,CS_rank_3_7,CS_rank_3_8,CS_rank_3_9,CS_rank_4_1,CS_rank_4_10,CS_rank_4_11,CS_rank_4_2,CS_rank_4_3,CS_rank_4_4,CS_rank_4_5,CS_rank_4_6,CS_rank_4_7,CS_rank_4_8,CS_rank_4_9,CS_rank_5_1,CS_rank_5_10,CS_rank_5_11,CS_rank_5_2,CS_rank_5_3,CS_rank_5_4,CS_rank_5_5,CS_rank_5_6,CS_rank_5_7,CS_rank_5_8,CS_rank_5_9,CS_rank_6_1,CS_rank_6_10,CS_rank_6_11,CS_rank_6_2,CS_rank_6_3,CS_rank_6_4,CS_rank_6_5,CS_rank_6_6,CS_rank_6_7,CS_rank_6_8,CS_rank_6_9,ave_start_time_1,ave_start_time_2,ave_start_time_3,ave_start_time_4,ave_start_time_5,ave_start_time_6,boatNo_1,boatNo_2,boatNo_3,boatNo_4,boatNo_5,boatNo_6,boat_place2Ratio_1,boat_place2Ratio_2,boat_place2Ratio_3,boat_place2Ratio_4,boat_place2Ratio_5,boat_place2Ratio_6,boat_place3Ratio_1,boat_place3Ratio_2,boat_place3Ratio_3,boat_place3Ratio_4,boat_place3Ratio_5,boat_place3Ratio_6,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,num_false_start_1,num_false_start_2,num_false_start_3,num_false_start_4,num_false_start_5,num_false_start_6,num_late_start_1,num_late_start_2,num_late_start_3,num_late_start_4,num_late_start_5,num_late_start_6,place2Ratio_local_1,place2Ratio_local_2,place2Ratio_local_3,place2Ratio_local_4,place2Ratio_local_5,place2Ratio_local_6,place2Ratio_national_1,place2Ratio_national_2,place2Ratio_national_3,place2Ratio_national_4,place2Ratio_national_5,place2Ratio_national_6,place3Ratio_local_1,place3Ratio_local_2,place3Ratio_local_3,place3Ratio_local_4,place3Ratio_local_5,place3Ratio_local_6,place3Ratio_national_1,place3Ratio_national_2,place3Ratio_national_3,place3Ratio_national_4,place3Ratio_national_5,place3Ratio_national_6,racer_1,racer_2,racer_3,racer_4,racer_5,racer_6,racer_id_1,racer_id_2,racer_id_3,racer_id_4,racer_id_5,racer_id_6,win_rate_local_1,win_rate_local_2,win_rate_local_3,win_rate_local_4,win_rate_local_5,win_rate_local_6,win_rate_national_1,win_rate_national_2,win_rate_national_3,win_rate_national_4,win_rate_national_5,win_rate_national_6
2019-12-12,平和島,1,.19,,,.32,.11,.03,,,,,.18,,,,.24,.10,.19,,,,,.15,,,.21,.12,.12,.11,,,,,.16,,,,.19,.14,.29,.18,,,,.10,,,,.26,.12,.17,,,,,.15,,,,.37,,.15,.27,,,,6,,,3,6,2,,,,,1,,,,5,3,4,,,,,3,,,1,4,5,2,,,,,6,,,,4,2,3,1,,,,6,,,,3,2,4,,,,,6,,,,6,,6,6,,,,6,,,3,5,2,,,,,1,,,,5,3,4,,,,,3,,,1,4,5,2,,,,,6,,,,4,2,3,1,,,,6,,,,3,2,4,,,,,6,,,,6,,5,6,,,,6,,,2,7,6,,,,,6,,,,6,10,10,,,,,4,,,10,3,10,9,,,,,9,,,,4,11,4,9,,,,7,,,,5,10,8,,,,,1,,,,3,,1,5,,,,５,,,６,４,３,,,,,１,,,,３,６,５,,,,,１,,,２,１,２,１,,,,,４,,,,５,２,２,２,,,,４,,,,５,５,５,,,,,５,,,,６,,４,６,,,,0.20,0.19,0.14,0.16,0.19,   -, 29, 54, 48, 33, 75, 32, 30.93, 35.14, 40.95, 29.21, 31.82, 32.35, 39.18, 51.35, 54.29, 49.44, 50.00, 47.06, 22, 58, 57, 11, 59, 33, 32.65, 21.35, 43.30, 23.91, 34.69, 35.00, 46.94, 39.33, 55.67, 40.22, 53.06, 51.00,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0, 0.00, 0.00,42.86, 0.00, 0.00, 0.00,12.50,34.69,55.37,41.03,13.70, 0.00, 0.00, 0.00,57.14, 0.00, 0.00, 0.00,25.00,57.14,71.90,58.97,34.25, 2.13,竹　下　　大　樹,百　武　　　　翔,関　　　　浩　哉,中　田　　達　也,菊　池　　宏　志,滝　沢　　　　崚,5018,4822,4851,4802,4871,5077, 0.00, 2.83, 6.36, 0.00, 0.00, 1.22, 3.43, 5.60, 6.98, 5.88, 3.90, 1.26
2019-12-12,多摩川,1,.17,,,,,,,,,,.24,,,,,,,,,,,.17,,,.13,,,,,,,,.28,,,.15,,,,,,,,.41,,,,,,,,,,,.42,,,.20,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,1,,,4,,,,,,,,3,,,6,,,,,,,,3,,,,,,,,,,,6,,,6,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,1,,,4,,,,,,,,3,,,6,,,,,,,,2,,,,,,,,,,,5,,,6,,,,,,,,10,,,,,,,,,,9,,,,,,,,,,,2,,,8,,,,,,,,2,,,12,,,,,,,,4,,,,,,,,,,,4,,,9,,,,,,,,４,,,,,,,,,,５,,,,,,,,,,,１,,,３,,,,,,,,５,,,５,,,,,,,,６,,,,,,,,,,,５,,,３,,,,,,,,0.17,0.19,0.18,0.15,0.21,   -,151,160,167,171,144,146, 31.19, 34.86, 39.09, 35.78, 26.73, 33.33, 42.20, 48.62, 59.09, 49.54, 44.55, 46.85, 35, 75, 64, 57, 23, 36, 34.48, 31.96, 33.01, 35.09, 42.59, 33.62, 51.72, 48.45, 47.57, 51.75, 59.26, 51.72,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,48.65,40.63,22.22,46.67, 0.00, 0.00,38.46,29.67,16.47,50.39, 4.44,11.32,60.81,46.88,38.89,46.67, 2.22, 0.00,50.96,47.25,28.24,73.64, 4.44,20.75,渡　邉　　睦　広,鈴　木　　峻　佑,本　岡　　勝　利,水　摩　　　　敦,近　藤　　雄一郎,佐　藤　　　　航,3385,4380,4219,4413,5007,5087, 6.32, 5.53, 5.11, 5.80, 1.33, 1.86, 5.45, 4.90, 4.12, 6.75, 1.87, 2.85
2019-12-12,　津　,1,.19,,.11,,,,,,,,.16,,,.19,,,,,,,,.13,,,.10,,,,,,,,.26,,,,,,,,,,,.05,,,.17,,,,,,,,.21,,,,,,,,,,,4,,2,,,,,,,,6,,,6,,,,,,,,4,,,3,,,,,,,,2,,,,,,,,,,,4,,,6,,,,,,,,6,,,,,,,,,,,4,,2,,,,,,,,5,,,6,,,,,,,,6,,,4,,,,,,,,2,,,,,,,,,,,3,,,6,,,,,,,,5,,,,,,,,,,,3,,10,,,,,,,,1,,,6,,,,,,,,1,,,5,,,,,,,,2,,,,,,,,,,,5,,,9,,,,,,,,4,,,,,,,,,,,２,,１,,,,,,,,４,,,４,,,,,,,,２,,,４,,,,,,,,５,,,,,,,,,,,１,,,４,,,,,,,,６,,,,,,,,,,,0.17,0.20,0.13,0.17,0.19,   -, 11, 66, 36, 38, 63, 23, 32.08, 33.33, 48.72, 25.58, 34.62, 18.60, 56.60, 41.18, 58.97, 48.84, 53.85, 32.56, 18, 66, 53, 71, 22, 49, 45.21, 26.98, 33.78, 26.98, 18.75, 32.81, 60.27, 47.62, 52.70, 42.86, 27.08, 54.69,F0,F0,F1,F0,F0,F0,L0,L0,L0,L0,L0,L0,41.67,30.00, 0.00,15.38, 0.00, 0.00,47.93,20.45,26.67,24.14, 6.86, 0.00,61.11,48.00, 0.00,30.77, 0.00, 0.00,65.29,42.05,34.29,37.93,15.69, 0.00,西　野　　翔　太,佐　藤　　　　旭,宮　嵜　　隆太郎,村　田　　浩　司,山　下　　夏　鈴,柴　田　　愛　梨,4302,4273,3825,4226,5013,5108, 5.92, 4.82, 2.60, 3.69, 1.62, 0.00, 6.24, 4.42, 4.20, 4.32, 2.65, 1.29
2019-12-12,尼　崎,1,.19,,,,,,,,,,.18,,,,,,,,,,,.11,,,,,,,,,,,.11,,,.14,,,,,,,,.19,,,,,,,,,,,.27,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,3,,,1,,,,,,,,3,,,,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,3,,,1,,,,,,,,3,,,,,,,,,,,5,,,,,,,,,,,7,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,2,,,11,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,３,,,,,,,,,,４,,,,,,,,,,,６,,,,,,,,,,,３,,,１,,,,,,,,５,,,,,,,,,,,５,,,,,,,,,,,0.20,0.20,0.21,0.16,0.18,0.22, 68, 18, 21, 43, 64, 33, 32.37, 30.15, 43.18, 42.64, 35.11, 40.63, 46.76, 49.26, 56.06, 63.57, 51.91, 56.25,  3, 51, 40, 53, 23, 13, 27.59, 35.25, 49.31, 40.71, 34.75, 30.56, 42.07, 48.20, 70.83, 59.29, 58.87, 50.69,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,27.62,23.53, 0.00,44.12,28.57,40.74,20.73,21.43,22.00,40.88,25.58,27.96,35.24,41.18, 0.00,61.76,38.10,62.96,31.71,38.10,30.00,66.42,37.21,45.16,渡　　　　修　平,篠　原　　俊　夫,鈴　木　　貴　司,山　崎　　義　明,遠　藤　　晃　司,広　瀬　　聖　仁,3535,3187,3276,3319,3336,3315, 4.53, 4.35, 1.63, 6.15, 5.05, 5.85, 3.79, 4.57, 3.72, 6.19, 4.52, 4.75
2019-12-12,鳴　門,1,.25,,.17,.10,,,,,,,.21,,,,.15,.16,,,,,,.23,,,,.15,.15,,,,,,.31,,,.24,.14,,,,,,,.20,,,.18,.13,,,,,,,.27,,,.19,.20,,,,,,,6,,4,2,,,,,,,6,,,,4,1,,,,,,1,,,,2,5,,,,,,3,,,5,2,,,,,,,2,,,4,1,,,,,,,6,,,5,6,,,,,,,6,,4,2,,,,,,,6,,,,4,1,,,,,,1,,,,2,5,,,,,,3,,,5,2,,,,,,,2,,,4,1,,,,,,,6,,,5,4,,,,,,,8,,12,9,,,,,,,3,,,,4,10,,,,,,5,,,,1,9,,,,,,3,,,9,5,,,,,,,1,,,7,5,,,,,,,1,,,8,8,,,,,,,５,,４,１,,,,,,,５,,,,３,３,,,,,,５,,,,３,６,,,,,,６,,,６,６,,,,,,,４,,,５,５,,,,,,,６,,,６,５,,,,,,,0.15,0.17,0.20,0.20,0.21,0.21, 16, 36, 50, 75, 19, 52, 35.34, 39.10, 40.48, 31.06, 25.00, 22.90, 53.38, 56.39, 60.32, 48.48, 41.67, 42.75, 30, 26, 71, 53, 36, 75, 40.43, 30.60, 33.10, 28.47, 44.08, 35.48, 58.87, 46.27, 50.00, 43.80, 63.82, 52.26,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,52.38, 0.00,25.83, 0.00,18.18, 0.00,50.49,24.44,14.75,25.64,16.67, 0.00,61.90, 0.00,36.42, 0.00,35.61, 0.00,65.05,41.11,26.23,38.46,23.08, 2.08,村　松　　修　二,松　浦　　　　勝,村　田　　友　也,森　田　　太　陽,松　下　　　　潤,上　田　　紗　奈,4816,3867,4333,4849,3456,5057, 6.29, 0.00, 4.32, 1.38, 4.10, 0.00, 6.50, 4.44, 3.41, 4.51, 3.69, 1.56
2019-12-12,丸　亀,1,.28,,,,,,,,,,.23,,,,,,,,,,,.14,,,,,,,,,,,.29,,,,,,,,,,,.20,,,,,,,,,,,.22,,,.23,,,,,,,,5,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,,4,,,,,,,,6,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,,4,,,,,,,,2,,,,,,,,,,8,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,3,,,10,,,,,,,,２,,,,,,,,,,５,,,,,,,,,,,１,,,,,,,,,,,２,,,,,,,,,,,３,,,,,,,,,,,５,,,６,,,,,,,,0.20,0.16,0.18,0.18,0.22,0.18, 64, 19, 62, 58, 14, 11, 36.36, 26.32, 23.75, 26.32, 44.44, 18.67, 55.84, 39.47, 36.25, 48.68, 62.96, 32.00, 65, 15, 16, 52, 18, 21,  0.00, 41.67, 33.33, 20.00, 27.27, 20.00,  0.00, 41.67, 50.00, 50.00, 36.36, 30.00,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,33.33,12.50,36.56,27.27,31.25,26.09,27.17,23.00,37.23,30.16,31.52,30.77,47.62,43.75,54.84,54.55,43.75,47.83,48.91,39.00,55.32,49.21,52.17,54.81,小　野　　勇　作,水　原　　　　慎,嶋　田　　貴　支,古　澤　　信　二,松　本　　浩　貴,加　木　　　　郁,4006,4691,3478,3670,3860,3581, 5.48, 4.25, 5.52, 5.00, 4.63, 4.83, 5.25, 4.25, 5.54, 4.97, 5.25, 5.31
2019-12-12,宮　島,1,.13,,.30,.24,,,,,,,.19,,,,.22,.31,,,,,,.08,,,.33,.14,,,,,,,.21,,,.15,.07,,,,,,,.05,,,.11,.13,,,,,,,.14,,,.18,.25,,,,,,,2,,4,6,,,,,,,6,,,,1,3,,,,,,1,,,2,4,,,,,,,2,,,6,1,,,,,,,1,,,4,3,,,,,,,6,,,3,2,,,,,,,2,,4,5,,,,,,,6,,,,1,3,,,,,,1,,,2,5,,,,,,,2,,,6,1,,,,,,,1,,,4,3,,,,,,,6,,,3,2,,,,,,,6,,11,10,,,,,,,3,,,,2,10,,,,,,3,,,7,3,,,,,,,1,,,10,5,,,,,,,5,,,10,6,,,,,,,1,,,9,2,,,,,,,２,,６,３,,,,,,,６,,,,２,５,,,,,,３,,,６,６,,,,,,,２,,,６,２,,,,,,,１,,,１,２,,,,,,,落,,,２,４,,,,,,,0.18,0.19,0.18,0.15,0.15,0.17, 55, 19, 14, 45, 13, 44, 22.22, 36.67, 17.39, 46.00, 34.48, 11.76, 41.67, 50.00, 43.48, 68.00, 55.17, 17.65, 32, 35, 61, 41, 29, 45, 35.90, 48.28, 42.50, 46.88, 46.67, 41.38, 58.97, 68.97, 60.00, 75.00, 60.00, 44.83,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,34.29,23.93,28.95,20.00,85.71,17.86,37.38,22.62,29.07,22.06,54.05,16.67,51.43,40.17,42.11,20.00,00.00,42.86,57.94,39.29,39.53,35.29,64.86,33.33,上　田　　隆　章,加　藤　　雅　之,尾　崎　　鉄　也,堂　原　　洋　史,田　頭　　　　実,松　浦　　　　努,3401,3372,2912,3503,3257,3424, 5.29, 4.54, 4.89, 3.53, 9.00, 4.25, 5.76, 4.49, 4.55, 3.93, 6.59, 3.53
2019-12-12,下　関,1,.15,,.22,.17,.19,.14,.20,,,,.03,,,,.12,.17,.06,,,,,.25,,,,.10,.23,.14,,,,,.10,,,,.12,.11,.11,,,,,.01,,,.20,.12,,.26,,,,,.22,,,.13,.16,,.18,,,,,4,,3,5,1,6,2,,,,4,,,,2,5,5,,,,,2,,,,4,3,5,,,,,2,,,,5,4,3,,,,,3,,,2,5,,3,,,,,3,,,5,1,,2,,,,,4,,3,5,1,6,2,,,,3,,,,2,5,4,,,,,2,,,,4,3,5,,,,,2,,,,5,4,3,,,,,4,,,2,6,,6,,,,,3,,,5,1,,2,,,,,5,,12,3,9,4,10,,,,2,,,,1,6,6,,,,,7,,,,1,8,5,,,,,3,,,,2,9,5,,,,,2,,,10,7,,1,,,,,1,,,5,8,,4,,,,,１,,４,３,４,４,３,,,,１,,,,３,６,６,,,,,３,,,,２,３,５,,,,,５,,,,２,３,４,,,,,Ｆ,,,５,２,,６,,,,,４,,,５,１,,６,,,,,0.17,0.18,0.20,0.16,0.21,0.17, 37, 41, 17, 60, 56, 54, 28.57, 32.00, 38.36, 30.82, 29.80, 29.25, 43.54, 46.67, 50.00, 50.00, 54.30, 46.94, 37, 18, 61, 66, 50, 51, 32.43, 25.35, 26.39, 29.86, 37.84, 30.07, 52.70, 40.85, 44.44, 47.22, 51.35, 51.05,F0,F0,F0,F0,F1,F0,L0,L0,L0,L0,L0,L0,44.05, 2.38,23.26,25.00,33.33,36.36,45.60, 9.38,23.81,28.87,30.10,42.67,64.29, 4.76,39.53,53.57,46.67,54.55,66.40,12.50,42.86,49.48,50.49,60.00,森　永　　　　隆,上　野　　　　励,酒　見　　峻　介,森　　　　智　也,吉　田　　　　光,戸　塚　　邦　好,4703,4820,4652,4633,3809,4575, 6.15, 1.83, 4.40, 4.96, 4.87, 5.36, 6.34, 2.75, 4.40, 4.99, 5.01, 5.75
2019-12-12,唐　津,1,.26,,,,,,,,,,.19,,,,,,,,,,,.26,,,,,,,,,,,.17,,,,,,,,,,,.23,,,,,,,,,,,.26,,,.26,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,5,,,1,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,5,,,1,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,9,,,,,,,,,,,3,,,7,,,,,,,,１,,,,,,,,,,６,,,,,,,,,,,３,,,,,,,,,,,５,,,,,,,,,,,３,,,,,,,,,,,６,,,２,,,,,,,,0.18,   -,0.20,0.16,0.24,0.21, 65, 85, 53, 44, 79, 90, 35.26, 34.18, 31.37, 33.33, 37.82, 32.68, 48.08, 50.00, 47.71, 54.94, 54.49, 49.02, 46, 17, 70, 43, 65, 67, 36.51, 36.23, 37.88, 30.43, 23.68, 38.03, 55.56, 57.97, 56.06, 44.93, 39.47, 56.34,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,34.04,23.53, 0.00,38.89, 4.23, 0.00,37.88,20.00,15.94,30.99,11.82,19.44,59.57,41.18,44.44,50.00,16.90,11.11,56.82,32.00,33.33,43.66,30.00,30.56,水　野　　望　美,仁　科　　さやか,柳　澤　　千　春,今　井　　裕　梨,山　本　　梨　菜,笠　野　　友紀恵,4678,4408,3254,4240,4994,3528, 5.70, 4.00, 4.11, 5.44, 2.82, 1.78, 5.75, 3.56, 3.88, 4.87, 3.91, 4.00
2019-12-12,大　村,1,.31,,.13,.01,,.13,.09,.09,,.09,.22,.12,,.03,.25,,.06,.22,.03,,.17,.05,.14,,,.03,.10,.23,.22,.25,,.15,.23,.14,,.16,.14,,.12,.11,.15,,.17,.11,,,.25,.27,,.23,,.14,.17,.16,.25,.17,,,.08,.19,.12,,.35,.17,.18,5,,3,4,,2,1,6,,5,5,5,,1,4,,6,4,2,,3,3,2,,,5,1,4,6,2,,5,2,6,,6,1,,4,3,5,,2,6,,,2,5,,5,,1,3,3,3,5,,,2,5,1,,4,6,3,5,,3,4,,2,1,6,,5,5,5,,1,3,,6,4,2,,3,3,2,,,5,1,4,6,2,,5,2,6,,6,1,,4,3,5,,2,6,,,2,4,,5,,1,3,3,3,5,,,2,5,1,,4,6,3,2,,9,1,,1,6,10,,10,3,6,,7,4,,3,8,1,,1,7,5,,,1,7,1,7,2,,1,4,6,,10,6,,2,9,1,,3,1,,,5,4,,1,,3,8,4,4,8,,,1,5,4,,2,6,2,４,,５,４,,１,１,３,,６,６,４,,１,３,,４,４,６,,３,６,３,,,６,１,６,５,３,,６,４,５,,６,１,,６,２,２,,１,６,,,５,６,,４,,５,５,６,６,２,,,３,４,１,,６,５,４,0.16,0.19,0.14,0.16,0.18,0.18, 47, 58, 63, 62, 69, 75, 30.00, 33.70, 34.38, 34.69, 33.67, 41.05, 49.00, 52.17, 43.75, 56.12, 53.06, 57.89, 75, 41, 25, 57, 50, 30, 30.51, 31.91, 43.10, 28.49, 38.66, 28.81, 50.28, 46.28, 61.49, 46.24, 52.06, 41.24,F0,F0,F0,F0,F0,F0,L0,L0,L0,L0,L0,L0,46.15,84.62,56.79,23.53,43.48,53.57,53.15,68.54,51.15,55.81,43.24,45.11,84.62,92.31,77.78,35.29,60.87,60.71,72.97,77.53,67.94,71.32,63.96,71.43,吉　村　　正　明,三井所　　尊　春,西　山　　貴　浩,枝　尾　　　　賢,山　崎　　裕　司,岡　瀬　　正　人,4108,4101,4371,4148,4163,3746, 7.00, 8.69, 7.47, 5.00, 6.41, 6.64, 7.08, 7.51, 7.13, 7.08, 6.31, 6.53
