racerName_1,count,mean,count_rank_1,ratio_rank_1,count_rank_2,ratio_rank_2,count_rank_3,ratio_rank_3,count_rank_4,ratio_rank_4,count_rank_5,ratio_rank_5,count_rank_6,ratio_rank_6,rank_ratio_rank_1
一　宮　　稔　弘,52,1.2884615384615385,43.0,0.8269230769230769,4.0,0.07692307692307693,4.0,0.07692307692307693,1.0,0.019230769230769232,0.0,0.0,0.0,0.0,27.0
一　柳　　和　孝,26,2.6923076923076925,11.0,0.4230769230769231,4.0,0.15384615384615385,2.0,0.07692307692307693,3.0,0.11538461538461539,3.0,0.11538461538461539,3.0,0.11538461538461539,826.0
一　瀬　　　　明,62,1.6612903225806452,37.0,0.5967741935483871,17.0,0.27419354838709675,2.0,0.03225806451612903,4.0,0.06451612903225806,2.0,0.03225806451612903,0.0,0.0,472.0
一　色　　雅　昭,22,2.6818181818181817,4.0,0.18181818181818182,8.0,0.36363636363636365,5.0,0.22727272727272727,3.0,0.13636363636363635,0.0,0.0,2.0,0.09090909090909091,1134.0
三　原　　　　司,26,2.076923076923077,12.0,0.46153846153846156,6.0,0.23076923076923078,3.0,0.11538461538461539,4.0,0.15384615384615385,1.0,0.038461538461538464,0.0,0.0,747.5
三　品　　隆　浩,21,2.9523809523809526,5.0,0.23809523809523808,5.0,0.23809523809523808,3.0,0.14285714285714285,5.0,0.23809523809523808,0.0,0.0,3.0,0.14285714285714285,1094.5
三　好　　　　一,38,2.3684210526315788,14.0,0.3684210526315789,11.0,0.2894736842105263,4.0,0.10526315789473684,4.0,0.10526315789473684,4.0,0.10526315789473684,1.0,0.02631578947368421,930.0
三　好　　勇　人,46,1.4782608695652173,33.0,0.717391304347826,9.0,0.1956521739130435,1.0,0.021739130434782608,2.0,0.043478260869565216,0.0,0.0,1.0,0.021739130434782608,197.0
三　宅　　　　潤,43,1.744186046511628,30.0,0.6976744186046512,3.0,0.06976744186046512,5.0,0.11627906976744186,2.0,0.046511627906976744,2.0,0.046511627906976744,1.0,0.023255813953488372,247.0
三　宅　　健　太,26,1.8461538461538463,14.0,0.5384615384615384,7.0,0.2692307692307692,2.0,0.07692307692307693,1.0,0.038461538461538464,2.0,0.07692307692307693,0.0,0.0,597.5
